brand_name_clean,substance_clean
"""clopra-""""yellow""""""",metoclopramide hydrochloride
"""germa-medica """"mg""""""",hexachlorophene
"""hy-pam """"25""""""",hydroxyzine pamoate
111indium-zevalin,indium in 111 ibritumomab tiuxetan
5.f.u.,fluorouracil
8-hour bayer,aspirin
8-mop,methoxsalen
a-cys,acetylcysteine
a-hydrocort,hydrocortisone sodium succinate
a-methapred,methylprednisolone sodium succinate
a-poxide,chlordiazepoxide hydrochloride
a.t. 10,dihydrotachysterol
a/t/s,erythromycin
a180,danofloxacin
abacavir,abacavir
abacavir sulfate,abacavir sulfate
abacavir sulfate component of epzicom,abacavir sulfate
abacavir sulfate component of kivexa,abacavir sulfate
abacavir sulfate component of triumeq,abacavir sulfate
abacavir sulfate component of trizivir,abacavir sulfate
abaloparatide,abaloparatide
abamectin,abamectin
abametapir,abametapir
abarelix,abarelix
abasaglar,insulin glargine
abasaglar (previously abasria),insulin glargine
abasaglar kwikpen,insulin glargine
abatacept,abatacept
abbloraz,lorazepam
abboflox,floxacillin
abbokinase,urokinase
abbolactone,spironolactone
abciximab,abciximab
abdine,acetaminophen
abecma,idecabtagene vicleucel
abediterol,abediterol
abegrin,etaracizumab
abegrin vitaxin,etaracizumab
abelcet,amphotericin b
abemaciclib,abemaciclib
abequolixron,abequolixron
abequolixron zinc,abequolixron zinc
abetimus sodium,abetimus sodium
abevmy,bevacizumab
abexinostat,abexinostat
abicipar pegol,abicipar pegol
abilify,aripiprazole
abilify asimtufii,aripiprazole
abilify maintena,aripiprazole
abilify maintena kit,aripiprazole
abilify mycite,aripiprazole
abilify mycite kit,aripiprazole
abilit,sulpiride
abiraterone accord,abiraterone acetate
abiraterone acetate,abiraterone acetate
abiraterone acetate component of akeega,abiraterone acetate
abiraterone krka,abiraterone acetate
abiraterone mylan,abiraterone acetate
abitrexate,methotrexate sodium
abivertinib,abivertinib
abivertinib maleate,abivertinib maleate
ablavar,gadofosveset trisodium
ablavar (previously vasovist),gadofosveset trisodium
ablukast,ablukast
ablysinol,alcohol
abobotulinumtoxina,abobotulinumtoxina
abp 710,infliximab
abraxane,paclitaxel
abreva,docosanol
abrilumab,abrilumab
abrineurin,abrineurin
abrocitinib,abrocitinib
abrucomstat,abrucomstat
abrysvo,"respiratory syncytial virus vaccine (bivalent, recombinant)"
abseamed,epoetin alfa
absimky,ustekinumab
absorica,isotretinoin
absorica ld,isotretinoin
abstral,fentanyl citrate
"abt-348, a-968660",ilorasertib
abtard,oxycodone hydrochloride
abthrax,raxibacumab
abtrim,clotrimazole
abylqis,arachis hypogaea extract
