"pip_procedure_number","pip_decision_number","ema_url","decision_type_code","decision_type_text","decision_title","decision_date","active_substance","therapeutic_area","condition","compliance_check_done","has_full_waiver","has_partial_waiver","has_deferral","pdf_url","parse_confidence","fetched_at","ema_feed_timestamp"
"EMEA-001776-PIP01-15-M01","P/497/2022","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001776-pip01-15-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","02/12/2022","risankizumab","Dermatology","Treatment of psoriasis","Positive",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001811-PIP03-20","P/372/2021","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001811-pip03-20","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","08/09/2021","ligelizumab","Pneumology-allergology","Treatment of food allergy","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003268-PIP01-22","P/270/2023","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003268-pip01-22","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","14/07/2023","1-(4-(6-chloropyridazin-3-yl)piperazin-1-yl)-2-(4-cyclopropyl-3- fluorophenyl)ethan-1-one (BBP-671)","Other","Treatment of Pantothenate Kinase Associated Neurodegeneration","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003071-PIP02-23","P/543/2023","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003071-pip02-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","21/12/2023","cedazuridine;decitabine","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of myelodysplastic syndromes, including juvenile myelomonocytic leukaemia","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003318-PIP01-22","P/255/2023","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003318-pip01-22","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","14/07/2023","modRNA encoding 4 influenza HA antigens (2 for influenza A and 2 for influenza B strains) (qIRV)","Vaccines","Prevention of influenza","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001484-PIP01-13-M01","P/218/2016","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001484-pip01-13-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","15/08/2016","Elobixibat","Gastroentology-Hepatology","Treatment of chronic constipation","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000814-PIP01-09","P/222/2010","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000814-pip01-09","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","29/10/2010","birch pollen;alder pollen;hazel pollen","Pneumology-allergology","Treatment of allergic rhinitis / rhino-conjunctivitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000811-PIP01-09","P/219/2010","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000811-pip01-09","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","29/10/2010","grass pollen;rye pollen;birch pollen","Pneumology-allergology","Treatment of allergic rhinitis / rhino-conjunctivitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000815-PIP01-09-M01","P/225/2019","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000815-pip01-09-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","05/07/2019","Dermatophagoides pteronyssinus and Dermatophagoides farinae extracts (50%/50%)","Pneumology-allergology","Treatment of allergic rhinitis / rhino-conjunctivitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000808-PIP01-09-M01","P/224/2019","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000808-pip01-09-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","05/07/2019","Birch, hazel and alder pollen extracts","Pneumology-allergology","Treatment of allergic rhinitis / rhino-conjunctivitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000806-PIP01-09","P/216/2010","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000806-pip01-09","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","29/10/2010","12 Grass Pollen Extract and Cultivated Rye Pollen Extract","Pneumology-allergology","Treatment of allergic rhinitis / rhino-conjunctivitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000807-PIP01-09","P/203/2010","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000807-pip01-09","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","27/10/2010","Dermatophagoides pteronyssinus and Dermatophagoides farinae extracts (50%/50%)","Pneumology-allergology","Treatment of allergic rhinitis / rhino-conjunctivitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000812-PIP01-09","P/220/2010","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000812-pip01-09","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","29/10/2010","12 grass pollen extract, cultivated rye pollen extract and birch/alder/hazel pollen extract","Pneumology-allergology","Treatment of allergic rhinitis / rhino-conjunctivitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
,"P/28/2010","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/p-28-2010","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","05/03/2010","dalcetrapib","Cardiovascular diseases","Lipoprotein deficiency","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002101-PIP02-18-M01","P/322/2020","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002101-pip02-18-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","10/08/2020","iodine (131-I) murine IgG1 monoclonal antibody against B7-H3 (131I-omburtamab)","Oncology","Treatment of neuroblastoma","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001964-PIP02-19","P/95/2020","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001964-pip02-19","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","18/03/2020","cannabidiol","Neurology","Treatment of Rett syndrome","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001964-PIP03-21","P/234/2022","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001964-pip03-21","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","08/07/2022","cannabidiol","Neurology","Epilepsy with myoclonic atonic seizures","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002142-PIP01-17","P/396/2017","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002142-pip01-17","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","19/12/2017","trazodone (hydrochloride)","Neurology","Treatment of insomnia","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000977-PIP01-10","P/34/2011","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000977-pip01-10","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","28/01/2011","house dust mites allergen extract from Dermatophagoides pteronyssinus and Dermatophagoides farinae (50/50)","Pneumology-allergology","Treatment of allergic rhinitis / rhino-conjunctivitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003277-PIP02-23","P/153/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003277-pip02-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","06/05/2024","live attenuated respiratory syncytial virus (RSV)","Infections and infestations","Prevention of respiratory syncytial virus disease","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMA/PE/0000232315",,"https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/ema-pe-0000232315","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","19/03/2025","spesolimab","Congenital, familial and genetic disorders","Treatment of Netherton syndrome","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001272-PIP02-13-M01","P/217/2015","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001272-pip02-13-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","02/10/2015","azacitidine","Haematology-Hemostaseology","Treatment of acute myeloid leukaemia;Treatment of myelodysplastic syndrome (including juvenile myelomonocytic leukaemia)","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002741-PIP01-20-M02","P/73/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002741-pip01-20-m02","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","08/03/2024","fordadistrogene movaparvovec","Congenital, familial and genetic disorders","Treatment of Duchenne muscular dystrophy","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
