"sponsor_name","baseline_date"
"1. Frauenklinik Der Lmu- Innenstadt","2026-05-05"
"1globe Health Institute","2026-05-05"
"1st Dep. Of Medicine, General University Hospital Vfn In Prague","2026-05-05"
"2100 Aps","2026-05-05"
"3.Med. Department, Academic Hospital Bogenhausen","2026-05-05"
"35pharma","2026-05-05"
"3m","2026-05-05"
"4 Wojskowy Szpital Kliniczny Z Polikliniką Samodzielny Publiczny Zaklad Opieki Zdrowotnej We Wroclawiu","2026-05-05"
"480 Biomedical","2026-05-05"
"4D","2026-05-05"
"4D Molecular","2026-05-05"
"4living","2026-05-05"
"4moving","2026-05-05"
"4sc","2026-05-05"
"4teen4","2026-05-05"
"7tm","2026-05-05"
"858","2026-05-05"
"89bio","2026-05-05"
"A","2026-05-05"
"A. . 2","2026-05-05"
"A. . 2 Savona","2026-05-05"
"A. . To 2","2026-05-05"
"A. Carlsson","2026-05-05"
"A. Menarini Farmaceutica Internazionale","2026-05-05"
"A. MENARINI I.F.R","2026-05-05"
"A. MENARINI U.K","2026-05-05"
"A. N. M. C. O","2026-05-05"
"A. O. Istituti Ospitalieri Di Cremona","2026-05-05"
"A.C.O.M. Advanced Center Macerata","2026-05-05"
"A.C.R.A.F","2026-05-05"
"A.C.R.A.F. SpA Angelini SpA","2026-05-05"
"A.I.L. ASSOCIAZIONE ITALIANA CONTRO LE LEUCEMIE, LINFOMI E MIELOMI","2026-05-05"
"A.I.Virtanen Insitute, University of Kuopio","2026-05-05"
"A.N.M.C.O","2026-05-05"
"A.O PAPA GIOVANNI XXIII- BERGAMO","2026-05-05"
"A.O. OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI","2026-05-05"
"A.O. SAN GERARDO","2026-05-05"
"A.O. San Gerardo di Monza","2026-05-05"
"A.O. SAN GERARDO DI MONZA","2026-05-05"
"A.O.U. Universit degli Studi della Campania Luigi Vanvitelli","2026-05-05"
"A.P","2026-05-05"
"A.R.T.I.C Association pour la Recherche de Thrapeutiques Innovantes en Cancrologie","2026-05-05"
"A.R.T.I.C. Association pour la Recherche de Thrapeutiques Innovantes en Cancrologie","2026-05-05"
"A.T","2026-05-05"
"A.U. . RIMINI","2026-05-05"
"A.Vogel","2026-05-05"
"Aalborg Psychiatric Hospital","2026-05-05"
"Aalborg Psychiatric Hospital, Unit","2026-05-05"
"Aalborg Sygehus","2026-05-05"
"Aalborg Sygehus Syd","2026-05-05"
"Aalborg Universitets Hospital","2026-05-05"
"Aalborg Universitetshospital","2026-05-05"
"Aalborg University","2026-05-05"
"Aalborg University Hospital","2026-05-05"
"Aalborg University Hospital Dept. Of Rheumatology","2026-05-05"
"Aalborg University Hospital, Aalborg Psychiatric Hospital","2026-05-05"
"Aalst Dermatology","2026-05-05"
"Aalto-Yliopiston Kylmlaboratorion Aivotutkimusyksikk","2026-05-05"
"Aarhus University Hospital","2026-05-05"
"Aastrom","2026-05-05"
"Aavantgarde Bio","2026-05-05"
"Ab2 Bio","2026-05-05"
"Abalos","2026-05-05"
"Abbisko Co","2026-05-05"
"Abbott","2026-05-05"
"AbbVie","2026-05-05"
"Abcentra","2026-05-05"
"Abcsg","2026-05-05"
"Abcsg / Alliance Foundation Trials","2026-05-05"
"Abcsg Austrian Breast Colorectal Cancer Study","2026-05-05"
"Abcuro","2026-05-05"
"Abel Garca Garca","2026-05-05"
"Abelardo Garcia De Lorenzo","2026-05-05"
"Abeona","2026-05-05"
"Abertawe Bro Morgannwg University Health Board","2026-05-05"
"Abertawe Bro Morgannwg University Lhb","2026-05-05"
"Abertawe Bro Morgannwg University Nhs Trust","2026-05-05"
"Abide","2026-05-05"
"Ability","2026-05-05"
"Abiogen","2026-05-05"
"Abiogen Spa","2026-05-05"
"Abivax","2026-05-05"
"Ablative Solutions","2026-05-05"
"Abliva","2026-05-05"
"Ablynx","2026-05-05"
"Abnoba","2026-05-05"
"Aboca","2026-05-05"
"Aboca . Societ Agricola","2026-05-05"
"Aboleris Holdco","2026-05-05"
"Abraxis","2026-05-05"
"Abscience","2026-05-05"
"Abscint","2026-05-05"
"Abteilung Fr Anaesthesiologie Und Intensivmedizin","2026-05-05"
"Abteilung Fr Ansthesie, Intensiv- Und Schmerzmedizin, Wilhelminenspital Der Stadt Wien","2026-05-05"
"Abteilung Fr Augenheilkunde, Akh Linz","2026-05-05"
"Abteilung Fr Hals- Nasen- Ohrenkrankheiten Muw, Akh Wien","2026-05-05"
"Abteilung Fr Hals-, Nasen- Und Ohrenkrankheiten Muw, Akh Wien","2026-05-05"
"Abteilung Fr Herz-Thorax","2026-05-05"
"Abteilung Fr Neurologie Der Medizinischen Universitt Innsbruck","2026-05-05"
"Abteilung Fr Pulmologie, Landesklinikum Thermenregion Hochegg","2026-05-05"
"Abteilung Klinische Chemie, Ukl Freiburg","2026-05-05"
"Abx","2026-05-05"
"Abx Advanced Biochemical Compounds","2026-05-05"
"Ac Immune","2026-05-05"
"Acacia","2026-05-05"
"Academic Ms Center Limburg","2026-05-05"
"Acadia","2026-05-05"
"Accare","2026-05-05"
"Accelerator Advanced Application","2026-05-05"
"Acceleron","2026-05-05"
"Accenture","2026-05-05"
"Access","2026-05-05"
"Accession","2026-05-05"
"Accord","2026-05-05"
"Accord Academic And Clinical Central Office For","2026-05-05"
"Accord Office","2026-05-05"
"Accord University Of Edinburgh","2026-05-05"
"Accure Tx Sasu","2026-05-05"
"Ace Aps","2026-05-05"
"Acelyrin","2026-05-05"
"Acep","2026-05-05"
"Acerta","2026-05-05"
"Acerus","2026-05-05"
"Acesion Aps","2026-05-05"
"Acetylon","2026-05-05"
"Achaogen","2026-05-05"
"Achieve Life","2026-05-05"
"Achilles","2026-05-05"
"Achillion","2026-05-05"
"Acino Supply","2026-05-05"
"Aclaris","2026-05-05"
"Aco Hud Nordic","2026-05-05"
"Aco-Asso","2026-05-05"
"Acorn","2026-05-05"
"Acosog","2026-05-05"
"Acousia","2026-05-05"
"Acraf","2026-05-05"
"Acrivon","2026-05-05"
"Across","2026-05-05"
"Across Associaci Catalana De Recerca Oncolgica I Les Seves Implicacions Sanitries I Socials","2026-05-05"
"Across Associaci Catalana Per La Recerca Oncolgica I Les Seves Implicacions Sanitries I Socials","2026-05-05"
"Across: Associaci Catalana Per A La Recerca Oncolgica I Les Seves Implicacions Sanitries I Socials","2026-05-05"
"Across:associaci Catalana Per A La Recerca Oncolgica I Les Seves Implicacions Sanitries I Socials","2026-05-05"
"Acrotech","2026-05-05"
"Acrux Pty","2026-05-05"
"Acs Biomarker","2026-05-05"
"Act","2026-05-05"
"Acta","2026-05-05"
"Actavis","2026-05-05"
"Actavis Gygyszermarketing S Kereskedelmi Korltolt Felelssg Trsasg","2026-05-05"
"Actavis Ptc Ehf","2026-05-05"
"Actelion","2026-05-05"
"Acticor","2026-05-05"
"Actinogen Medical","2026-05-05"
"Action","2026-05-05"
"Actitrexx","2026-05-05"
"Activaero","2026-05-05"
"Activartis","2026-05-05"
"Active","2026-05-05"
"Activus Co","2026-05-05"
"Activx","2026-05-05"
"Actogenix","2026-05-05"
"Actrevo","2026-05-05"
"Actuate","2026-05-05"
"Acucela","2026-05-05"
"Acucort","2026-05-05"
"Acuity","2026-05-05"
"Acumen","2026-05-05"
"Acusphere","2026-05-05"
"Adagio","2026-05-05"
"Adamas","2026-05-05"
"Adamed","2026-05-05"
"Adaptimmune","2026-05-05"
"Adare","2026-05-05"
"Adare Us","2026-05-05"
"Adarx","2026-05-05"
"Adc","2026-05-05"
"Adcendo Aps","2026-05-05"
"Adcytherix","2026-05-05"
"Addenbrookes Hospital","2026-05-05"
"Addenbrookes Hospital Trust","2026-05-05"
"Addex","2026-05-05"
"Addiction Center Stockholm","2026-05-05"
"Addmedica","2026-05-05"
"Addmedica S","2026-05-05"
"Adds Advanced Drug Services","2026-05-05"
"Adelaida Lamas Ferreiro","2026-05-05"
"Adelaide Meath Hospital","2026-05-05"
"Adelaide Meath Hospital, Incorporating The National Childrens Hospital","2026-05-05"
"Adenobio","2026-05-05"
"Adenovir","2026-05-05"
"Adeptio","2026-05-05"
"Adial","2026-05-05"
"Adienne","2026-05-05"
"Adimmune","2026-05-05"
"Adiposs","2026-05-05"
"Adj,Professor, Torsten Gordh","2026-05-05"
"Adjutec As","2026-05-05"
"Adlai Nortye Usa","2026-05-05"
"Administration Management, Ludwig-Maximilians","2026-05-05"
"Adocia","2026-05-05"
"Adrenomed","2026-05-05"
"Adrfarcp","2026-05-05"
"Advancecor","2026-05-05"
"Advanced Accelerator Applications","2026-05-05"
"Advanced Biodesign","2026-05-05"
"Advanced Biohealing","2026-05-05"
"Advanced Life","2026-05-05"
"Advancell Advanced In Vitro Cell Technologies","2026-05-05"
"Advantage","2026-05-05"
"Advaxis","2026-05-05"
"Advenchen","2026-05-05"
"Adventrx","2026-05-05"
"Adverum Biotechnologies","2026-05-05"
"Advicenne","2026-05-05"
"Adyton, s.r.o","2026-05-05"
"Aegera","2026-05-05"
"Aegerion","2026-05-05"
"Aeglea Biotherapeutics","2026-05-05"
"Aelis Farma","2026-05-05"
"Aelix","2026-05-05"
"Aer","2026-05-05"
"Aerie","2026-05-05"
"Aerogen","2026-05-05"
"Aerovance","2026-05-05"
"Aerovate","2026-05-05"
"Aesca","2026-05-05"
"AESCA Ges.m.b.H","2026-05-05"
"Aesca Gesmbh","2026-05-05"
"Aesculap","2026-05-05"
"Aesculapius Farmaceutici","2026-05-05"
"Aesrx","2026-05-05"
"Aeterna Zentaris","2026-05-05"
"Afar","2026-05-05"
"Afd. A, Ouh","2026-05-05"
"Afdeling For Traumatisk Hjerneskade","2026-05-05"
"Afdeling Heelkunde, Universitair Medisch Centrum Sint Radboud","2026-05-05"
"Afdeling Klinische Neuropsychologie Vrije Universiteit Amsterdam","2026-05-05"
"Afdeling Urologie, Isala Klinieken","2026-05-05"
"Affectis","2026-05-05"
"Afferent","2026-05-05"
"Affibody","2026-05-05"
"Affimed","2026-05-05"
"Affimed / Affimed","2026-05-05"
"Affiris","2026-05-05"
"Affymax","2026-05-05"
"Afimmune","2026-05-05"
"Aflofarm Farmacja Sp. z o.o","2026-05-05"
"Afsnit 360, Gastroenheden","2026-05-05"
"Aft","2026-05-05"
"Afyx","2026-05-05"
"Agalimmune","2026-05-05"
"Agence Nationale De Recherches Sur Le Sida Et Les Hpatites Virales","2026-05-05"
"Agence Nationale De Recherches Sur Le Sida Et Les Hpatites Virales Anrs","2026-05-05"
"Agence Nationale De Recherches Sur Le Sida Et Les Hpatites Virales. Anrs","2026-05-05"
"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, M.P. CSIC","2026-05-05"
"Agennix","2026-05-05"
"Agensys","2026-05-05"
"Agenus","2026-05-05"
"Ageo","2026-05-05"
"Agi","2026-05-05"
"Agiana As","2026-05-05"
"Agile","2026-05-05"
"Agios","2026-05-05"
"Agis Industries 1983","2026-05-05"
"Agmt","2026-05-05"
"Agmt Arbeitsgemeinschaft Medikamentse Tumortherapie Gemeinntzige","2026-05-05"
"Agmt Gemeinntzige","2026-05-05"
"Agmt Ggmbh","2026-05-05"
"Agmt: Arbeitsgemeinschaft Medikamentse Tumortherapie","2026-05-05"
"Agneta Blanck Olerup","2026-05-05"
"Ago","2026-05-05"
"Agomab","2026-05-05"
"Agomab U","2026-05-05"
"Agustn Albillos Martinez","2026-05-05"
"Ahsc Joint Office, Imperial College","2026-05-05"
"Aibili","2026-05-05"
"Aibili Association For Innovation And Biomedical On Light And Image","2026-05-05"
"AIBILI EVICR.net","2026-05-05"
"Aicuris","2026-05-05"
"Aicuris Anti","2026-05-05"
"Aicuris Anti-Infective Cures","2026-05-05"
"Aids Treatment Network Infectious Disease Foundation Neat Id","2026-05-05"
"Aids Vaccine Initiative","2026-05-05"
"AIEOP","2026-05-05"
"Aigo","2026-05-05"
"Ail Catania Associazione Italiana Contro Leucemie","2026-05-05"
"Aileron","2026-05-05"
"Aim Immunotech","2026-05-05"
"Aimmune","2026-05-05"
"Ainara Aguirre Caballero","2026-05-05"
"Ainincar","2026-05-05"
"Aino Ruohola","2026-05-05"
"Aintree Hospitals Nhs Trust And University Of Liverpool","2026-05-05"
"Aintree University Hospital Nhs Foundation Trust","2026-05-05"
"Aintree University Hospitals Nhs Trust","2026-05-05"
"Aio Studien Ggmbh","2026-05-05"
"Aio-Studien Ggmbh","2026-05-05"
"Aio-Studien-Ggmbh","2026-05-05"
"Air Liquide","2026-05-05"
"Air Liquide Sant","2026-05-05"
"Aires","2026-05-05"
"Airna","2026-05-05"
"Airway","2026-05-05"
"Airway . / Airway","2026-05-05"
"Aisar Associazione Italiana Per Lo Studio Degli Antimicrobici E Delle Resistenze","2026-05-05"
"Aisf","2026-05-05"
"Aissm Onlus","2026-05-05"
"Ajax","2026-05-05"
"Akademische Eigenstudie, Sektion Fr Hygiene Und Medizinische Mikrobiologie","2026-05-05"
"Akademiska University Hospital","2026-05-05"
"Akamis Bio","2026-05-05"
"Akari","2026-05-05"
"Akaza","2026-05-05"
"Akcea","2026-05-05"
"Akebia","2026-05-05"
"Akela","2026-05-05"
"Aker Biomarine Antarctic As","2026-05-05"
"Aker Universitetssykehus","2026-05-05"
"Aker University Hospital","2026-05-05"
"Akero","2026-05-05"
"Akershus Universitetssykehus","2026-05-05"
"Akershus University Hospital","2026-05-05"
"Akershus University Hospital Trust Hf","2026-05-05"
"Akh Linz","2026-05-05"
"Akh Vienna","2026-05-05"
"Akh Wien","2026-05-05"
"Akh Wien, Klinik Fr Innere Medizin I, Onkologie","2026-05-05"
"Akh Wien, Universittsklinik Fr Physikalische Medizin Und Rehabilitation","2026-05-05"
"Akinion","2026-05-05"
"Akl","2026-05-05"
"Akouos","2026-05-05"
"Akron Molecules","2026-05-05"
"Akros","2026-05-05"
"Akston","2026-05-05"
"Aktion Bronchialkarzinom ABC e.V","2026-05-05"
"Aktion Bronchialkarzinom e.V","2026-05-05"
"Al-S","2026-05-05"
"Alba","2026-05-05"
"Albert Schweitzer Hospital","2026-05-05"
"Albert-Ludwig University Freiburg","2026-05-05"
"Alberto Capelastegui Sainz","2026-05-05"
"Alberto Forteza","2026-05-05"
"Albimmune","2026-05-05"
"Albireo","2026-05-05"
"Albireo / Albireo","2026-05-05"
"Alcedis","2026-05-05"
"Alchemia Pty","2026-05-05"
"Alcon","2026-05-05"
"Alcon d.o.o","2026-05-05"
"Alcon Hungarian","2026-05-05"
"Alcon-Couvreur","2026-05-05"
"Aldagen","2026-05-05"
"Alder","2026-05-05"
"Alder Hey Childrens Foundation Nhs Trust","2026-05-05"
"Alder Hey Childrens Nhs Foundation Trust","2026-05-05"
"Alector","2026-05-05"
"Alejandra Garcia Botella","2026-05-05"
"Alejandro Rodriguez Oviedo Critical Care Department Hospital Universitario De Tarragona Joan Xxiii","2026-05-05"
"Aleksander Krag","2026-05-05"
"Alentis","2026-05-05"
"Alesta","2026-05-05"
"Alexander Egeberg","2026-05-05"
"Alexander Iv Sp. Partnership Ortopedika Surgery Specialistic Center","2026-05-05"
"Alexion","2026-05-05"
"Alfa Wassermann","2026-05-05"
"Alfa Wassermann Sp. z o.o","2026-05-05"
"Alfa Wassermann Spa","2026-05-05"
"Alfacell","2026-05-05"
"Alfact Innovation","2026-05-05"
"Alfasigma","2026-05-05"
"ALFASIGMA s.r.o","2026-05-05"
"Alfred E. Tiefenbacher","2026-05-05"
"Alfred Health","2026-05-05"
"Alfredo Tagarro Garcia","2026-05-05"
"Algemeen Ziekenhuis Delta","2026-05-05"
"Algemeen Ziekenhuis Rivierenland","2026-05-05"
"Algernon","2026-05-05"
"Algeta As","2026-05-05"
"Algeta Asa","2026-05-05"
"Algiax","2026-05-05"
"Algipharma As","2026-05-05"
"Algorx","2026-05-05"
"Algotherapeutix","2026-05-05"
"Alianza Espaola De Familias De Von Hippel-Lindau","2026-05-05"
"Alicia Pareja Ros","2026-05-05"
"Aligos","2026-05-05"
"Alimentary Health","2026-05-05"
"Alimentiv","2026-05-05"
"Alimera","2026-05-05"
"ALIO MEDICA Sp. z o.o","2026-05-05"
"Alios","2026-05-05"
"Alita","2026-05-05"
"Alize","2026-05-05"
"Alizyme","2026-05-05"
"Alk","2026-05-05"
"ALK-Abello","2026-05-05"
"Alkahest","2026-05-05"
"Alkaloid Ad Skopje","2026-05-05"
"Alkem","2026-05-05"
"Alkermes","2026-05-05"
"All Co-Operative","2026-05-05"
"All Co-Operative Icorg","2026-05-05"
"All Cooperative","2026-05-05"
"All Cooperative Icorg","2026-05-05"
"Allakos","2026-05-05"
"Allan Flyvbjerg","2026-05-05"
"Allan Vaag, Steno Diabetes Center","2026-05-05"
"Allarity Aps","2026-05-05"
"Allecra","2026-05-05"
"Allegria Onlus","2026-05-05"
"Allena","2026-05-05"
"Allerderm","2026-05-05"
"Allergan","2026-05-05"
"Allergie-Centrum","2026-05-05"
"Allergiklinikken","2026-05-05"
"Allergopharma Joachim Ganzer","2026-05-05"
"Allergopharma Joachim Ganzer An Afilliate Of Merck , Darmstadt","2026-05-05"
"Allergy","2026-05-05"
"Allergy ( )","2026-05-05"
"Allergy Centre","2026-05-05"
"Allergy Unit Department Of Oto-Rhino-Laryngology Lund/Malm University Hospital","2026-05-05"
"Allgemeines Krankenhaus Wien, Medizinische Un Iversitt Wien","2026-05-05"
"Alliance","2026-05-05"
"Alliance Foundation Trials","2026-05-05"
"Alliance Pour La Recherche En Cancrologie","2026-05-05"
"Allievex","2026-05-05"
"Alligator","2026-05-05"
"Alllergopharma Joachim Ganzer","2026-05-05"
"Allogene","2026-05-05"
"Alloksys Life","2026-05-05"
"Allon","2026-05-05"
"Allos","2026-05-05"
"Allovir","2026-05-05"
"Allrock Bio","2026-05-05"
"Allysta","2026-05-05"
"Alma Mater Studiorum Universit Di Bologna","2026-05-05"
"Almac Discovery","2026-05-05"
"Almirall","2026-05-05"
"Almirall Spa","2026-05-05"
"Almirall, S. A","2026-05-05"
"Almirall, S. A., Centre","2026-05-05"
"Alnylam","2026-05-05"
"Alnylam . / Alnylam . / Alnylam","2026-05-05"
"Alpha Bioresearch . / Yaqrit","2026-05-05"
"Alpine Immune","2026-05-05"
"Altana","2026-05-05"
"Altavant","2026-05-05"
"Alteon","2026-05-05"
"Alter Farmacia","2026-05-05"
"Alterity","2026-05-05"
"Alterome","2026-05-05"
