raw_name,source,suggested_canonical,other_names
"""Anpharm"" Przedsiębiorstwo Farmaceutyczne S.A.",epar_mah,"""Anpharm"" Przedsiebiorstwo Farmaceutyczne",NA
AbZ-Pharma GmbH,epar_mah,Abz-Pharma,NA
ACE Pharmaceuticals BV,epar_mah,Ace,NA
Acino AG,epar_mah,Acino,NA
Acino Pharma GmbH,epar_mah,Acino Pharma,Axunio Pharma GmbH
Adienne S.r.l. S.U.,epar_mah,Adienne,NA
A.C.O.M. - Advanced Center Oncology,epar_mah,Advanced Center,NA
Advanz Pharma Limited,epar_mah,Advanz Pharma,NA
Agenzia Industrie Difesa-Stabilimento Chimico Farmaceutico Militare,epar_mah,Agenzia Industrie Difesa-Stabilimento Chimico Farmaceutico Militare,NA
Agepha Pharma s.r.o.,epar_mah,Agepha Pharma,NA
Agios Netherlands B.V.,epar_mah,Agios,NA
Akebia Europe Limited,epar_mah,Akebia,NA
Alcon Laboratories (U.K.) Limited.,epar_mah,Alcon Laboratories,NA
Alimenterics B.V.,epar_mah,Alimenterics,NA
Alkermes Pharma Ireland Ltd.,epar_mah,Alkermes Pharma,NA
Alnylam Netherlands B.V.,epar_mah,Alnylam,NA
Amdipharm Limited,epar_mah,Amdipharm,NA
Amersham Sorin.S.r.l.,epar_mah,Amersham Sorin,NA
Amivas Ireland Ltd,epar_mah,Amivas,NA
Ammtek,epar_mah,Ammtek,NA
Amneal Pharma Europe Ltd,epar_mah,Amneal Pharma,NA
Amphastar France Pharmaceuticals,epar_mah,Amphastar,NA
Amryt AG,epar_mah,Amryt,NA
B And O Pharm,epar_mah,And Pharm,NA
Apellis Europe B.V.,epar_mah,Apellis,NA
Archie Samiel s.r.o.,epar_mah,Archie Samiel,Archie Samuel s.r.o.
Arena Pharmaceutical Enterprises Limited,epar_mah,Arena Pharmaceutical Enterprises,NA
Ark Therapeutics,epar_mah,Ark,NA
Ascend GmbH,epar_mah,Ascend,NA
Atnahs Pharma Netherlands B.V.,epar_mah,Atnahs Pharma,NA
Averoa,epar_mah,Averoa,NA
Avimedical B.V.,epar_mah,Avimedical,NA
Bausch  Lomb Ireland,epar_mah,Bausch Lomb,Bausch + Lomb Ireland Limited
Beecham Group plc,epar_mah,Beecham Group,NA
Belpharma s.a.,epar_mah,Belpharma,NA
bene-Arzneimittel GmbH,epar_mah,Bene-Arzneimittel,NA
betapharm Arzneimittel GmbH,epar_mah,Betapharm Arzneimittel,NA
"Bial - Portela  Cª, S.A.",epar_mah,Bial Portela Cª,"BIAL - Portela & Ca, S.A. | Bial Portela & Companhia S.A."
Billev Pharma Aps,epar_mah,Billev Pharma,NA
Biocryst,epar_mah,Biocryst,BioCryst Ireland Limited
Biogaran,epar_mah,Biogaran,NA
Biohaven Bioscience Ireland Limited,epar_mah,Biohaven Bioscience,NA
Biolitec Pharma Ltd,epar_mah,Biolitec Pharma,Biolitec pharma Limited Zweigniederlassung Jena
BioMimetic Therapeutics Ltd,epar_mah,Biomimetic,NA
BioNet Europe,epar_mah,Bionet,NA
BioNTech Manufacturing GmbH,epar_mah,Biontech Manufacturing,NA
Biosimilar Collaborations Ireland Limited,epar_mah,Biosimilar Collaborations,NA
Biovest Europe Ltd,epar_mah,Biovest,NA
Cancer Prevention Pharma (Ireland) Limited,epar_mah,Cancer Prevention Pharma,NA
CATS Consultants GmbH,epar_mah,Cats Consultants,NA
Ceft Biopharma s.r.o.,epar_mah,Ceft Biopharma,NA
CellSeed Europe Ltd,epar_mah,Cellseed,NA
Centauri Biotech SL,epar_mah,Centauri Biotech,NA
Centus Biotherapeutics Europe Limited,epar_mah,Centus Biotherapeutics,NA
Ceva Santé Animale,epar_mah,Ceva Sante Animale,NA
CEVA-Phylaxia Zrt.,epar_mah,Ceva-Phylaxia Zrt,NA
ChemGenex Europe SAS,epar_mah,Chemgenex,NA
CHEPLAPHARM Arzneimittel GmbH,epar_mah,Cheplapharm Arzneimittel,NA
CHEPLAPHARM Registration GmbH,epar_mah,Cheplapharm Registration,Cheplapharm Registration GmbH
CinnaGen Co Unipessoal LDA,epar_mah,Cinnagen Co Unipessoal Lda,NA
Cipla (EU) Limited,epar_mah,Cipla Eu,NA
CNX Therapeutics Ireland Limited,epar_mah,Cnx,NA
Cordex Biologics International Limited,epar_mah,Cordex Biologics,NA
Corza Medical GmbH,epar_mah,Corza Medical,NA
Covis Pharma Europe B.V.,epar_mah,Covis Pharma,NA
CP-Pharma Handelsgesellschaft mbH,epar_mah,Cp-Pharma Handelsgesellschaft,NA
Cstone Pharmaceuticals Ireland Limited,epar_mah,Cstone,NA
CTI Life Sciences Ltd,epar_mah,Cti Life,CTI Life Sciences Limited
CuraTeQ Biologics s.r.o,epar_mah,Curateq Biologics,CuraTeQ Biologics (Malta) Limited
Curium Romania S.R.L.,epar_mah,Curium,NA
Cycle Pharmaceuticals (Europe) Ltd,epar_mah,Cycle,NA
Dechra Veterinary Products A/S,epar_mah,Dechra Veterinary Products,NA
Dipharma Arzneimittel GmbH,epar_mah,Dipharma Arzneimittel,NA
DLRC Pharma Services Ltd,epar_mah,Dlrc Pharma Services,NA
DOR BIOPHARMA UK Ltd,epar_mah,Dor Biopharma,NA
Dynavax GmbH,epar_mah,Dynavax,Dynavax International B.V.
Eagle Laboratories Ltd.   ,epar_mah,Eagle Laboratories,NA
Eckert  Ziegler Radiopharma GmbH,epar_mah,Eckert Ziegler Radiopharma,Eckert & Ziegler Radiopharma GmbH
Ecuphar,epar_mah,Ecuphar,NA
Elanco GmbH,epar_mah,Elanco,Elanco Europe Ltd
Elanco animal health,epar_mah,Elanco Animal Health,NA
Emdoka BVBA,epar_mah,Emdoka Bvba,NA
Emmaus Medical Europe Ltd,epar_mah,Emmaus Medical,NA
Endoceutics S.A.,epar_mah,Endoceutics,NA
Epitopoietic Research Corporation-Belgium (E.R.C.),epar_mah,Epitopoietic Research Corporation-,NA
ERA Consulting GmbH,epar_mah,Era Consulting,NA
Essential Pharma Limited,epar_mah,Essential Pharma,NA
"Esteve Pharmaceuticals, S.A.",epar_mah,Esteve,Esteve Pharmaceuticals GmbH
Eurocept International BV,epar_mah,Eurocept,Eurocept International B. V.
EuroGen Pharmaceuticals Ltd,epar_mah,Eurogen,NA
EuroGenerics Holdings B.V.,epar_mah,Eurogenerics Holdings,NA
Evans Vaccines Ltd.,epar_mah,Evans Vaccines,NA
Evive Biotechnology Ireland Limited,epar_mah,Evive Biotechnology,NA
Extrovis EU Ltd,epar_mah,Extrovis Eu,NA
FGK Representative Service GmbH,epar_mah,Fgk Representative Service,NA
Galderma International,epar_mah,Galderma,NA
Galpharm Healthcare Ltd.,epar_mah,Galpharm Healthcare,NA
Gan & Lee Pharmaceuticals Europe GmbH,epar_mah,Gan And Lee,NA
Gedeon Richter,epar_mah,Gedeon Richter,NA
Gen.Orph,epar_mah,Gen Orph,NA
Gendux Molecular Limited,epar_mah,Gendux Molecular,NA
Generics (UK) Limited,epar_mah,Generics,NA
Gennisium Pharma,epar_mah,Gennisium Pharma,NA
Glaxo Group Limited ,epar_mah,Glaxo Group,Glaxo Group Limited
Glenmark Arzneimittel GmbH,epar_mah,Glenmark Arzneimittel,NA
Guidehouse Germany GmbH,epar_mah,Guidehouse,NA
Haleon Ireland Dungarvan Limited,epar_mah,Haleon Dungarvan,NA
HCS bvba ,epar_mah,Hcs Bvba,NA
Helsinn Birex Pharmaceuticals Ltd,epar_mah,Helsinn Birex,Helsinn Birex Pharmaceuticals Ltd.
Hikma Farmaceutica (Portugal) S.A.,epar_mah,Hikma Farmaceutica,NA
Hipra Human Health S.L.,epar_mah,Hipra Human Health,NA
Holostem s.r.l.,epar_mah,Holostem,NA
Inceptua AB,epar_mah,Inceptua,NA
Incline Therapeutics Europe Ltd,epar_mah,Incline,NA
Intas Third Party Sales 2005 S.L.,epar_mah,Intas Third Party Sales,NA
Intervet International BV,epar_mah,Intervet,Intervet International B.V.
Intrabio Ireland Limited,epar_mah,Intrabio,NA
Istituto Gentili S.r.l.,epar_mah,Istituto Gentili,NA
ITM Medical Isotopes GmbH,epar_mah,Itm Medical Isotopes,NA
Jenson Pharmaceutical Services Limited,epar_mah,Jenson Pharmaceutical Services,NA
JensonR+ Limited,epar_mah,Jensonr+,NA
Koanaa Healthcare GmbH,epar_mah,Koanaa Healthcare,NA
Krystal Biotech Netherlands B.V.,epar_mah,Krystal Biotech,NA
