alias_clean,sponsor_clean,resolves_to,resolves_source,resolves_status,triage,conflict
fundacio sant joan de deu,Fundació Sant Joan de Déu,Hospital Sant Joan de Deu,llm_reviewed,accepted,alias key taken by another canonical,alias key already maps to: Hospital Sant Joan de Deu
fundacion cris de investigacion para vencer el cancer,Fundación CRIS de Investigación para Vencer el Cáncer,Fundación CRIS contra el Cáncer,llm_reviewed,accepted,alias key taken by another canonical,alias key already maps to: Fundación CRIS contra el Cáncer
fundacion para la investigacion biomedica del hospital clinico san carlos,Fundación para la Investigación Biomédica del Hospital Clínico San Carlos,IRICYS - Fundación para la Investigación Biomédica del Hospital Clínico San Carlos,llm_reviewed,accepted,alias key taken by another canonical,alias key already maps to: IRICYS - Fundación para la Investigación Biomédica del Hospital Clínico San Carlos
institut bergonie,Institut Bergonié,Institut Bergoni - Centre Rgional de Lutte Contre le Cancer de Bordeaux et du Sud-ouest,llm_reviewed,accepted,alias key taken by another canonical,alias key already maps to: Institut Bergoni - Centre Rgional de Lutte Contre le Cancer de Bordeaux et du Sud-ouest
instituto aragons de ciencias de la salud,Instituto Aragons de Ciencias de la Salud,Instituto Aragonés de Ciencias de la Salud,llm_reviewed,accepted,alias key taken by another canonical,alias key already maps to: Instituto Aragonés de Ciencias de la Salud
instituto cientifico y tecnologico de navarra,Instituto Científico y Tecnológico de Navarra,ICT de Navarra,llm_reviewed,accepted,alias key taken by another canonical,alias key already maps to: ICT de Navarra
medical university of graz,Medical University of Graz,Medical University Of Graz,llm_curated,accepted,alias key taken by another canonical,alias key already maps to: Medical University Of Graz
university of edinburgh / nhs lothian health board,University of Edinburgh / NHS Lothian Health Board,NHS Lothian,llm_reviewed,accepted,alias key taken by another canonical,alias key already maps to: NHS Lothian
zealand university hospital,Zealand University Hospital,NA,negative_aliases,rejected,alias key taken by another canonical,alias key already maps to: Region Sjælland
aboca s p a societa agricola,ABOCA S.p.A. Società Agricola,ABOCA,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: ABOCA
achillion pharmaceuticals inc a wholly owned subsidiary of alexion pharmaceuticals,"Achillion Pharmaceuticals, Inc., a wholly owned subsidiary of Alexion Pharmaceuticals",Achillion Pharmaceuticals,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Achillion Pharmaceuticals
allergie-centrum-charite universitatsmedizin berlin,Allergie-Centrum-Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,containment:llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Charité Universitätsmedizin Berlin
almirall hermal,Almirall Hermal,Almirall,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Almirall
angelini farmaceutici acraf,"Angelini Farmaceutici, ACRAF",Angelini,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Angelini
associacio per a la recerca oncologica apro,Associació per a la Recerca Oncològica APRO,APRO,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: APRO
atvb - verein zur forderung der forschung auf dem gebiet der arteriosklerose thrombose und vaskularen biologie,"ATVB - Verein zur Förderung der Forschung auf dem Gebiet der Arteriosklerose, Thrombose und vaskulären Biologie",ATVB Verein,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: ATVB Verein
azienda ospedaliero universitaria maggiore della carita di novara,Azienda Ospedaliero Universitaria Maggiore della Carità di Novara,Azienda Ospedaliero-Universitaria Maggiore Della Carita,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Azienda Ospedaliero-Universitaria Maggiore Della Carita
azienda ospedaliero-universitaria di udine,Azienda Ospedaliero-Universitaria di Udine,Azienda Ospedaliero-Universitaria di Cagliari,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Azienda Ospedaliero-Universitaria di Cagliari
azienda ospedaliero-universitaria ospedali riuniti umberto i - g m lancisi - g salesi,Azienda Ospedaliero-Universitaria Ospedali Riuniti Umberto I - G.M. Lancisi - G. Salesi,Azienda Ospedaliero-Universitaria di Cagliari,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Azienda Ospedaliero-Universitaria di Cagliari
azienda ospedaliero-universitaria san martino genova,Azienda Ospedaliero-Universitaria San Martino Genova,Azienda Ospedaliero-Universitaria di Cagliari,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Azienda Ospedaliero-Universitaria di Cagliari
azienda ospedaliero-universitaria senese,Azienda Ospedaliero-Universitaria Senese,Azienda Ospedaliero-Universitaria di Cagliari,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Azienda Ospedaliero-Universitaria di Cagliari
azienda ospedaliero-universitaria spedali civili di brescia,Azienda Ospedaliero-Universitaria Spedali Civili di Brescia,Azienda Ospedaliero-Universitaria di Cagliari,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Azienda Ospedaliero-Universitaria di Cagliari
bauschlomb dr gerhard mann chem -fabrik,BauschLomb Dr Gerhard Mann chem.-Fabrik,Bausch & Lomb,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Bausch & Lomb
bracco altana pharma,Bracco ALTANA Pharma,Bracco,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Bracco
bracco imaging deutschland,Bracco Imaging Deutschland,Bracco,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Bracco
centre hospitalier regional universitaire de besancon,Centre Hospitalier Régional Universitaire de Besançon,Centre Hospitalier Régional et Universitaire,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Centre Hospitalier Régional et Universitaire
centro nacional de investigaciones cardiovasculares cnic,Centro Nacional de Investigaciones Cardiovasculares (CNIC),CNIC Centro Nacional de Investigaciones Cardiológicas,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: CNIC Centro Nacional de Investigaciones Cardiológicas
charite research organisation,Charité Research Organisation,Charité Universitätsmedizin Berlin,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Charité Universitätsmedizin Berlin
chiron behring,Chiron Behring,Chiron,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Chiron
chiron vaccines,Chiron Vaccines,Chiron,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Chiron
ciber - consorcio centro de investigacion biomedica en red,CIBER - Consorcio Centro de Investigación Biomédica en Red,Consorcio Centro De Investigacion Biomedica En Red,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Consorcio Centro De Investigacion Biomedica En Red
ciber - idibell,CIBER - IDIBELL,IDIBELL - Institut d'Investigació Biomèdica de Bellvitge,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: IDIBELL - Institut d'Investigació Biomèdica de Bellvitge
clinical director daiichi sankyo,"Clinical Director, Daiichi Sankyo",Daiichi Sankyo,containment:llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Daiichi Sankyo
copenhagen university hospital - bispebjerg and frederiksberg,Copenhagen University Hospital - Bispebjerg and Frederiksberg,Rigshospitalet,llm_curated,accepted,deliberate mapping — self-alias would override,label already resolves to: Rigshospitalet
deutsches herzzentrum munchen,Deutsches Herzzentrum München,Deutsches Herzzentrum Berlin,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Deutsches Herzzentrum Berlin
dipartimento biomedicina e prevenzione - universita degli studi di roma tor vergata,Dipartimento Biomedicina e Prevenzione - Università degli Studi di Roma Tor Vergata,Universita' Degli Studi Di Roma Tor Vergata,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Universita' Degli Studi Di Roma Tor Vergata
domain therapeutics australia pty,Domain Therapeutics Australia Pty,Domain Therapeutics,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Domain Therapeutics
dr august wolff gmbh and co kg arzneimittel,Dr. August Wolff GmbH & Co. KG Arzneimittel,Dr. Gerhard Mann chem.-pharm. Fabrik GmbH,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Dr. Gerhard Mann chem.-pharm. Fabrik GmbH
dr franz kohler chemie,Dr. Franz Köhler Chemie,Dr. Gerhard Mann chem.-pharm. Fabrik GmbH,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Dr. Gerhard Mann chem.-pharm. Fabrik GmbH
dr kade pharmazeutische fabrik,Dr. Kade Pharmazeutische Fabrik,Dr. Gerhard Mann chem.-pharm. Fabrik GmbH,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Dr. Gerhard Mann chem.-pharm. Fabrik GmbH
federation francophone de cancerologie digestive - ffcd,Fédération Francophone de Cancérologie Digestive - FFCD,Fédération Francophone de Cancérologie Digestive,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Fédération Francophone de Cancérologie Digestive
fidia farmaceutici,Fidia Farmaceutici,FIDIA,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: FIDIA
fimabis - fundacion publica andaluza para la investigacion de malaga en biomedicina y salud,FIMABIS - Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud,FIMABIS,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: FIMABIS
folktandvarden landstinget dalarna,Folktandvården Landstinget Dalarna,Landstinget Dalarna,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Landstinget Dalarna
fondazione giscad - gruppo italiano per lo studio dei carcinomi dell'apparato digerente,Fondazione GISCAD - Gruppo Italiano per lo Studio dei Carcinomi dell'Apparato Digerente,GISCAD,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: GISCAD
fondazione nibit - network italiano per la bioterapia dei tumori,Fondazione NIBIT - Network Italiano per la Bioterapia dei Tumori,NIBIT,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: NIBIT
forschergruppe diabetes e v am helmholtz zentrum munchen,Forschergruppe Diabetes e. V. am Helmholtz Zentrum München,Forschergruppe Diabetes e. V.,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Forschergruppe Diabetes e. V.
fovea pharmaceuticals,Fovea Pharmaceuticals,FOVEA,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: FOVEA
fresenius kabi swissbiosim,Fresenius Kabi SwissBioSim,Fresenius Kabi,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Fresenius Kabi
fujisawa healthcare,Fujisawa Healthcare,Fujisawa,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Fujisawa
fundacio de recerca clinic barcelona idibaps,Fundació de Recerca Clínic Barcelona (IDIBAPS),IDIBAPS,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: IDIBAPS
fundacion de investigacion biomedica del hospital universitario de la princesa,Fundación de Investigación Biomédica del Hospital Universitario de La Princesa,Hospital Universitario La Princesa,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Hospital Universitario La Princesa
fundacion de la comunidad valenciana hospital provincial de castellon,Fundación de la Comunidad Valenciana Hospital Provincial de Castellón,Fundación Hospital Provincial de Castellón,final_family_map,accepted,deliberate mapping — self-alias would override,label already resolves to: Fundación Hospital Provincial de Castellón
fundacion investigacion biomedica del hospital clinico san carlos,Fundación Investigación Biomédica del Hospital Clínico San Carlos,Hospital Clínico San Carlos,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Hospital Clínico San Carlos
fundacion publica andaluza para la gestion de salud en sevilla fisevi,Fundación Pública Andaluza para la Gestión de Salud en Sevilla FISEVI,FISEVI,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: FISEVI
geicam fundacion grupo espanol de investigacion en cancer de mama,GEICAM Fundación Grupo Español de Investigación en Cáncer de Mama,Grupo Espanol De Investigacion En Cancer De Mama,containment:ctis_businesskey,accepted,deliberate mapping — self-alias would override,label already resolves to: Grupo Espanol De Investigacion En Cancer De Mama
geis - grupo espanol de investigacion en sarcomas,GEIS - Grupo Español de Investigación en Sarcomas,GEIS,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: GEIS
gem - grupo espanol multidisciplinar de melanoma,GEM - Grupo Español Multidisciplinar de Melanoma,Grupo Español Multidisciplinar de Melanoma,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Grupo Español Multidisciplinar de Melanoma
gemcad grupo espanol multidisciplinar en cancer digestivo,GEMCAD Grupo Español Multidisciplinar en Cáncer Digestivo,GEMCAD,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: GEMCAD
geneva university hospitals hug,Geneva University Hospitals (HUG),Hôpitaux Universitaires de Genève,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Hôpitaux Universitaires de Genève
goim - gruppo oncologico dell'italia meridionale,GOIM - Gruppo Oncologico dell'Italia Meridionale,Gruppo Oncologico dell'Italia Meridionale,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Gruppo Oncologico dell'Italia Meridionale
grupo espanol de investigacion en sarcomas geis,Grupo Español de Investigación en Sarcomas GEIS,GEIS,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: GEIS
grupo espanol de oncologia genitourinaria sogug,Grupo Español de Oncología Genitourinaria SOGUG,Spanish Oncology Genitourinary Group SOGUG,llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: Spanish Oncology Genitourinary Group SOGUG
grupo espanol de tumores neuroendocrinos y endocrinos getne,Grupo Español de Tumores Neuroendocrinos y Endocrinos GETNE,GETNE Grupo Español de Tumores Neuroendocrinos,containment:llm_reviewed,accepted,deliberate mapping — self-alias would override,label already resolves to: GETNE Grupo Español de Tumores Neuroendocrinos
