cache_key,raw_sponsor,model_id,prompt_version,candidates_sha256,chosen,confidence,reason,abstained,decided_at_utc,batch_id
6454e2153835c176e926f8c6276738d3fc3f60d8a5f7871ade3a87377953fa64,"AKH Wien, Klinik fr Innere Medizin I, Onkologie",claude-opus-5,sponsor-resolve-v1,52ea039715bf0c37e3efaeb7fd13ce109ae53e1c1bb1579e8d14826d79f79799,AKH Wien,high,Department of internal medicine I oncology at AKH Wien resolves to parent AKH Wien.,FALSE,2026-08-11T12:20:15Z,NA
022295f76821f0a2c1ba17de844532985af4d5100ec1178dfd9a0f6f5ca1d28f,ALFREDO TAGARRO GARCIA,claude-opus-5,sponsor-resolve-v1,f634a7aafcdcaff9ad44e107598fc5deffb621082cd825f2c619b048b8db4fbc,NA,high,Individual investigator Alfredo Tagarro Garcia matches none of the listed persons or companies.,TRUE,2026-08-11T12:20:21Z,NA
874e330281da99296ef528caccbf1c9bd037818fad578636aaaa330511884949,ANGELA PUENTE,claude-opus-5,sponsor-resolve-v1,7bdcdec8e194be6e6dbd6738727ef30500d3791224555642e0d55bd2c3a4507b,NA,high,Individual named Angela Puente is a different person from Luis Puente Maestu; no candidate matches.,TRUE,2026-08-11T12:20:26Z,NA
1fb5f6575e09cac616229587a22c701cfdd2546d5fab89b7ab421e3c34e65326,AZIENDA UNIT SANITARIA LOCALE DELLA ROMAGNA,claude-opus-5,sponsor-resolve-v1,1cb34a2a2b38be4fb565f467715454652e6e34d8fa157ac1e4483a58c748e160,Azienda Sanitaria Locale della Provincia di Biella,low,placeholder,FALSE,2026-08-11T12:29:32Z,msgbatch_0111Tu7WbEXjJeqkwD6h3G6S
5558c11cf09c4ac68b99c5f5b4ecde5281dec479f7a646ac00753ae8a082dbfa,AZIENDA UNIT SANITARIA LOCALE DI MODENA,claude-opus-5,sponsor-resolve-v1,117377b87cdee89bc93ad977c3a22b88cb7753aea759bef3af3c8678fc18e21f,Azienda Unità Sanitaria Locale di Modena,high,placeholder,FALSE,2026-08-11T12:29:32Z,msgbatch_0111Tu7WbEXjJeqkwD6h3G6S
c552040d91513e3a86ee739530ee80641db1f919b13f6e84e89cfff39b35adb1,"Abteilung Klinische Chemie, UKL Freiburg",claude-opus-5,sponsor-resolve-v1,cddb1666a9f59f57f173a22eff63953742255547cd1e555036665ffe3b9a0a0f,Universitätsklinikum Freiburg,high,placeholder,FALSE,2026-08-11T12:33:15Z,NA
9f330ca9044bca4a196913f44a5908f1cdca884cc8bd8df5efb88e43c7e12be5,"Abteilung fr Ansthesie, Intensiv- und Schmerzmedizin, Wilhelminenspital der Stadt Wien",claude-opus-5,sponsor-resolve-v1,3fa80006264683cd6a753dbf65ec81e95b4b851f41e5d734b701bba4bc19da56,Wilhelminenspital der Stadt Wien,high,Department of anesthesia at Wilhelminenspital der Stadt Wien; exact parent name in list.,FALSE,2026-08-11T12:33:20Z,NA
a55b4e8aa567873c173fb8384aee1af5330d2485fd1e53a8501ef2d35aa86bf7,"Abteilung fr Augenheilkunde, AKH Linz",claude-opus-5,sponsor-resolve-v1,0aa0b738c0465ffc658a1df885862aea26a14dab08f5cc969199ea39a6a77d58,Kepler Universitätsklinikum,high,AKH Linz (Allgemeines Krankenhaus Linz) merged into Kepler Universitätsklinikum; ophthalmology department resolves to parent.,FALSE,2026-08-11T12:33:27Z,NA
619fe654aeb906ecbe132a002f0413440a61a830b04c8c4dcee3bd15f972baef,"Abteilung fr Hals- Nasen- Ohrenkrankheiten MUW, AKH Wien",claude-opus-5,sponsor-resolve-v1,2b2b9c0e3422afa0ea31835e0152abeb12d6a6a2441c4c021264332f92de7424,Medical University Of Vienna,high,placeholder,FALSE,2026-08-11T12:33:35Z,NA
5a93998ff6fe8dacecea326c62bb53caddf0803bd52b3666c8c6c1f2ebd7c0d9,"Abteilung fr Hals-, Nasen- und Ohrenkrankheiten MUW, AKH Wien",claude-opus-5,sponsor-resolve-v1,2b2b9c0e3422afa0ea31835e0152abeb12d6a6a2441c4c021264332f92de7424,Medical University Of Innsbruck,low,placeholder,FALSE,2026-08-11T12:33:44Z,NA
