cluster_key,entity_key,suggested_canonical,sponsor_labels,aliases_sample,sources,sponsor_types,score,evidence,confidence_bucket,blocked_reason,review_bucket,applied
centro cardiologico monzino,NA,Fondazione Centro Cardiologico Monzino,CENTRO CARDIOLOGICO SPA FONDAZIONE MONZINO|Fondazione Centro Cardiologico Monzino,centro cardiologico monzino s p a|centro cardiologico spa fondazione monzino,bulk_reviewed|manual,foundation|hospital,98,stripped legal/group/foundation tokens,review,sponsor types differ,A-F,FALSE
entity:aalborg orthopedics:blocked,aalborg orthopedics,Aalborg University Hospital,Aalborg University Hospital,aalborg universitets hospital|aalborg university hospital|aalborg university hospital department of orthopedics|aalborg university hospital department of orthopedics / mogens brouw jrgensen|aalborg university hospital dept of rheumatology|department of anaesthesia and intensive care medicine aalborg university hospital|department of cardiothoracic surgery aalborg universityhospital|department of hematology aalborg university hospital,bulk_reviewed|llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aalborg rheumatology:blocked,aalborg rheumatology,Aalborg University Hospital,Aalborg University Hospital,aalborg universitets hospital|aalborg university hospital|aalborg university hospital department of orthopedics|aalborg university hospital department of orthopedics / mogens brouw jrgensen|aalborg university hospital dept of rheumatology|department of anaesthesia and intensive care medicine aalborg university hospital|department of cardiothoracic surgery aalborg universityhospital|department of hematology aalborg university hospital,bulk_reviewed|llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aalborg universitets:blocked,aalborg universitets,Aalborg University Hospital,Aalborg University Hospital,aalborg universitets hospital|aalborg university hospital|aalborg university hospital department of orthopedics|aalborg university hospital department of orthopedics / mogens brouw jrgensen|aalborg university hospital dept of rheumatology|department of anaesthesia and intensive care medicine aalborg university hospital|department of cardiothoracic surgery aalborg universityhospital|department of hematology aalborg university hospital,bulk_reviewed|llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aalborg:auto,aalborg,Aalborg University Hospital,Aalborg University|Aalborg University Hospital,aalborg universitets hospital|aalborg university|aalborg university hospital|aalborg university hospital department of orthopedics|aalborg university hospital department of orthopedics / mogens brouw jrgensen|aalborg university hospital dept of rheumatology|department of anaesthesia and intensive care medicine aalborg university hospital|department of cardiothoracic surgery aalborg universityhospital,bulk_reviewed|llm_reviewed|location_postcode|manual,hospital|unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:aarhus universitet:blocked,aarhus universitet,Aarhus University,Aarhus University,aarhus universitet|aarhus university|department of hepatology and gastroenterology aarhus university hospital|department of pediatric oncology aarhus university hospital|department of respiratory diseases aarhus university hospital|dept dermotology aarhus university|dept oncology aarhus university hospital|orthopedic research in aarhus,llm_reviewed|manual,academic,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aarhus universitetshospital:blocked,aarhus universitetshospital,Aarhus University Hospital,Aarhus University Hospital,aarhus universitetshospital|aarhus university hospital|aarhus universityhospital|aarhus unversity hospital|dep anaesthesia and intensive care aarhus university hospital|department of anaesthesiology aarhus university hospital|department of cardiology aarhus university hospital denmark|department of cardiology aarhus university hospital skejby,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aarhus universityhospital:blocked,aarhus universityhospital,Aarhus University Hospital,Aarhus University Hospital,aarhus universitetshospital|aarhus university hospital|aarhus universityhospital|aarhus unversity hospital|dep anaesthesia and intensive care aarhus university hospital|department of anaesthesiology aarhus university hospital|department of cardiology aarhus university hospital denmark|department of cardiology aarhus university hospital skejby,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aarhus unversity:blocked,aarhus unversity,Aarhus University Hospital,Aarhus University Hospital,aarhus universitetshospital|aarhus university hospital|aarhus universityhospital|aarhus unversity hospital|dep anaesthesia and intensive care aarhus university hospital|department of anaesthesiology aarhus university hospital|department of cardiology aarhus university hospital denmark|department of cardiology aarhus university hospital skejby,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:aarhus:review,aarhus,Aarhus University,Aarhus University|Aarhus University Hospital,aarhus universitet|aarhus universitetshospital|aarhus university|aarhus university hospital|aarhus universityhospital|aarhus unversity hospital|dep anaesthesia and intensive care aarhus university hospital|department of anaesthesiology aarhus university hospital,llm_reviewed|manual,academic|hospital,92,shared alias entity key; shared final-label entity key,review,NA,A-F,FALSE
