entity_key,sponsor_clean_to,sponsor_parent_to,sponsor_group_to,sponsor_type_to,reason
radboud,Radboudumc,Radboudumc,Radboudumc,hospital,curated family-level canonical merge; related keys are generated from target aliases
aalborg,Aalborg University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
ab2 bio,AB2 Bio,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
abbott,Abbott,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
abcsg austrian breast colorectal cancer study,ABCSG,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
abeona therapeutics,Abeona Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ability pharmaceuticals,Ability Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
abiogen pharma,Abiogen Pharma S.p.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
abraxis bioscience llc indirect subsidiary celgene,"Abraxis BioScience, LLC, a wholly-owned subsidiary Celgene Corporation",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
abraxis bioscience llc wholly owned subsidiary celgene,"Abraxis BioScience, LLC, a wholly-owned subsidiary Celgene Corporation",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
acacia pharma,Acacia Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
academical,Amsterdam UMC,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
ace aps,ACE ApS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
acerta pharma,Acerta Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
across associaci catalana per recerca oncolgica les seves implicacions sanitries socials,ACROSS Associaci catalana per la recerca oncolgica i les seves implicacions sanitries i socials,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
across,ACROSS Group,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
active biotech,Active Biotech Research AB,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
addenbrookes,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
addmedica,Addmedica S.A.S,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
adocia,Adocia,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
advanced accelerator applications international,Advanced Accelerator Applications SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
advicenne,Advicenne,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
affimed,Affimed,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
afimmune,Afimmune Ltd.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
aft pharmaceuticals,AFT Pharmaceuticals Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
agence nationale recherches sur sida les hpatites virales anrs,ANRS,NA,NA,public_body,curated entity canonical from final_sponsor_canonical_review
agi therapeutics,AGI Therapeutics Limited,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
aibili association innovation biomedical light image,AIBILI,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
aintree liverpool,Aintree Hospitals NHS Trust and University of Liverpool,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
aintree,University Hospital Aintree NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
air liquide sante international,Air Liquide,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
alcon,Alcon,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
alcorcon,Fundacion Hospital Alcorcon,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
alder hey childrens,Alder Hey Children's Foundation NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
alector,Alector,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
alfa wassermann,Alfa Wassermann S.p.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
alkmaar,Medical Center Alkmaar,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
allergy therapeutics,Allergy Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
allos therapeutics,ALLOS Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
almirall,Almirall S.A.,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
