raw_name,source,suggested_canonical,other_names
"""Anpharm"" Przedsiębiorstwo Farmaceutyczne S.A.",epar_mah,"""Anpharm"" Przedsiebiorstwo Farmaceutyczne",NA
3M Health Care Limited,epar_mah,3m Health Care,NA
4Sc AG,epar_mah,4sc,NA
AB Science,epar_mah,Ab Science,NA
Ablynx NV,epar_mah,Ablynx,NA
AbZ-Pharma GmbH,epar_mah,Abz-Pharma,NA
Acadia Pharmaceuticals B.V.,epar_mah,Acadia,NA
Accord Healthcare,epar_mah,Accord Healthcare,Accord Healthcare Ltd | Accord Healthcare S.L.U.
ACE Pharmaceuticals BV,epar_mah,Ace,NA
Acino AG,epar_mah,Acino,NA
Actavis Group PTC ehf,epar_mah,Actavis Group Ptc,NA
Acusphere Ltd,epar_mah,Acusphere,NA
ADIENNE S.r.l. S.U.,epar_mah,Adienne,Adienne S.r.l. S.U. | Advicenne S.A.
Advanced Accelerator Applications,epar_mah,Advanced Accelerator Applications,NA
A.C.O.M. - Advanced Center Oncology,epar_mah,Advanced Center,NA
Advanz Pharma Limited,epar_mah,Advanz Pharma,NA
Agenzia Industrie Difesa-Stabilimento Chimico Farmaceutico Militare,epar_mah,Agenzia Industrie Difesa-Stabilimento Chimico Farmaceutico Militare,NA
Agios Netherlands B.V.,epar_mah,Agios,NA
Air Liquide Santé International,epar_mah,Air Liquide Sante,NA
Akcea Therapeutics Ireland Limited,epar_mah,Akcea,NA
Akebia Europe Limited,epar_mah,Akebia,NA
Alcon Laboratories (U.K.) Limited.,epar_mah,Alcon Laboratories,NA
Alfasigma S.p.A.,epar_mah,Alfasigma,NA
Alimenterics B.V.,epar_mah,Alimenterics,NA
Alkermes Pharma Ireland Ltd.,epar_mah,Alkermes Pharma,NA
Allos Therapeutics Ltd,epar_mah,Allos,NA
"Almirall, S.A.",epar_mah,Almirall,NA
Alnylam Netherlands B.V.,epar_mah,Alnylam,NA
Amarin Neuroscience Ltd,epar_mah,Amarin Neuroscience,NA
Amdipharm Limited,epar_mah,Amdipharm,NA
Amersham Sorin.S.r.l.,epar_mah,Amersham Sorin,NA
Amicus Therapeutics Europe Limited,epar_mah,Amicus,NA
Amivas Ireland Ltd,epar_mah,Amivas,NA
