alias_clean,suggested_canonical,sponsor_parent,sponsor_group,sponsor_type,source,confidence_prior
a c o m -advanced center oncology macerata -s r l,A.C.O.M. Advanced Center Oncology Macerata,NA,NA,unknown,location_postcode,0.7
ac immune s a,AC Immune,NA,NA,NA,location_postcode,0.7
adc therapeutics s a,ADC Therapeutics,NA,NA,NA,location_postcode,0.7
adc therapeutics s a,ADC Therapeutics,NA,NA,NA,location_postcode,0.7
aio-studien ggmbh,AIO-Studien-gGmbH,NA,NA,NA,location_postcode,0.7
aio-studien ggmbh,AIO-Studien-gGmbH,NA,NA,NA,location_postcode,0.7
aio-studien ggmbh,AIO-Studien-gGmbH,NA,NA,NA,location_postcode,0.7
al-s pharma ag,AL-S Pharma,NA,NA,unknown,location_postcode,0.7
universit degli studi di torino-dipartimento di biotecnologie molecolari e scienze della salute,AOU Città della Salute e della Scienza di Torino,NA,NA,academic,location_postcode,0.7
ap-hp/drcd,AP-HP,NA,NA,hospital,location_postcode,0.7
ap-hp/drcd,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique - hpitaux de paris / drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique des hpitaux de parisap-hp,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique hpitaux de paris/drci,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique- hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
