alias_clean,sponsors_all,n_sponsors,sources
fundacin para la investigacin biomdica del hospital universitario ramn y cajal madrid,Fundacin para la Investigacin Biomdica del Hospital Universitario Ramn y Cajal|Fundacion Para La Investigacion Biomedica Del Hospital Universitario Ramon Y Cajal|Fundación para la Investigación e Innovación Biomédica FIIB del HU Infanta Sofía|Hospital Ramón y Cajal,4,location_postcode
fundacion publica andaluza para la gestion de la investigacion en salud de sevilla,FISEVI|Fundacin Pblica Andaluza para la Gestion de la Investigacin en Salud de Sevilla|Fundacion Para La Gestion De La Investigacion En Salud De Sevilla|Fundación Pública Andaluza para la Gestión de la Investigación en Salud de Sevilla FISEVI,4,location_postcode
cliniques universitaires saint luc universit catholique de louvain bruxelles,Cliniques Universitaires Saint-Luc|Cliniques Universitaires St Luc|University College London,3,location_postcode
fundaci sant joan de du fsjd,FUNDACI SANT JOAN DE DEU|Fundacio Sant Joan De Deu|Hospital Sant Joan de Deu,3,location_postcode
fundacin para la investigacin biomedica del hospital clinico san carlos de madrid,Fundacin para la Inv. Biomdica Hospital Clnico San Carlos|Fundación para la Investigación Biomédica del Hospital Clínico San Carlos|IRICYS - Fundación para la Investigación Biomédica del Hospital Clínico San Carlos,3,location_postcode
fundacion fls de lucha contra el sida las enfermedades infecciosas y la promocion de la salud y la ciencia,"FUNDACIN FLS DE LUCHA CONTRA EL SIDA, LAS ENFERMEDADES INFECCIOSAS Y LA PROMOCIN DE LA SALUD Y LA CIENCIA|Fundacio FLS de Lluita contra la Sida, les Malalties Infeccioses i la Promocio de la Salut i La Ciencia|Fundacion Fls De Lucha Contra El Sida Las Enfermedades Infecciosas Y La Promocion De La Salud Y La C",3,ctis_businesskey|location_postcode
laboratorios thea s a,Laboratoires Tha|Laboratorios Salvat|Théa,3,location_postcode
mitsubishi tanabe pharma america inc,"Mitsubishi Tanabe Development America Inc.|Mitsubishi Tanabe Pharma|Mitsubishi Tanabe Pharma Development America, Inc.",3,location_postcode
mitsubishi tanabe pharma america mtpa inc,"Mitsubishi Tanabe Development America Inc.|Mitsubishi Tanabe Pharma|Mitsubishi Tanabe Pharma Development America, Inc.",3,location_postcode
nordic society of gynaecological oncology - clinical trial unit,Nordic Society of Gynaecological Oncology - Clinical Trial Unit NSGO-CTU|Nordic Society of Gynaecological Oncology NSGO|Nordic Society of Gynaecological Oncology NSGO-Clinical Trial Unit,3,location_postcode
nordic society of gynaecological oncology nsgo - ctu,Nordic Society of Gynaecological Oncology - Clinical Trial Unit NSGO-CTU|Nordic Society of Gynaecological Oncology NSGO|Nordic Society of Gynaecological Oncology NSGO-Clinical Trial Unit,3,location_postcode
nordic society of gynaecological oncology nsgo-ctu,Nordic Society of Gynaecological Oncology - Clinical Trial Unit NSGO-CTU|Nordic Society of Gynaecological Oncology NSGO|Nordic Society of Gynaecological Oncology NSGO-Clinical Trial Unit,3,location_postcode
university of leipzig,Leipzig University|Universitaet Leipzig|Universitt Leipzig,3,ctis_businesskey|location_postcode
a r t i c association pour la recherche de thrapeutiques innovantes en cancrologie,A.R.T.I.C Association pour la Recherche de Thérapeutiques Innovantes en Cancérologie|ARTIC,2,llm_reviewed
angelini pharma s p a,A.C.R.A.F. S.p.A. - Angelini|ANGELINI,2,bulk_reviewed|epar_mah
asociacin instituto biodonostia,Asociación Instituto Biodonostia|Asociacion Instituto Biogipuzkoa,2,llm_reviewed
azienda ospedaliera universitaria meyer irccs,AZIENDA OSPEDALIERA UNIVERSITARIA CAREGGI|Azienda Ospedaliero Universitaria Meyer IRCCS,2,ctis_businesskey|location_postcode
azienda ospedaliero universitaria careggi firenze,AZIENDA OSPEDALIERA UNIVERSITARIA CAREGGI|Azienda Ospedaliero-Universitaria,2,location_postcode
aziende chimiche riunite angelini francesco - acraf s p a,A.C.R.A.F. S.p.A. - Angelini|Angelini Pharma Italia Aziende Chimiche Riunite Angelini Francesc O A.C.R.A.F. S.p.A.,2,location_postcode
bethesda diabetes research center b v,Bethesda Diabetes Research Center|Bethesda Diabetes research Center BDRC,2,location_postcode
biontech cell gene therapies gmbh,BioNTech Cell & Gene Therapies GmbH|BioNTech SE,2,euctr_email_domain:biontech.de|location_postcode
bioprojet pharma,BIOPROJET|Bioprojet Pharma,2,bulk_reviewed|epar_mah
bioverativ therapeutic inc,Bioverativ|Bioverativ Therapeutics Inc.,2,location_postcode
bispebjerg frederiksberg hospital,Bispebjerg Hospital|Copenhagen University Hospital - Bispebjerg and Frederiksberg,2,location_postcode
bracco imaging s p a,BRACCO|Bracco Imaging,2,epar_mah|llm_reviewed
casa sollievo della sofferenza irccs,Casa Sollievo della Sofferenza|FONDAZIONE CASA SOLLIEVO DELLA SOFFERENZA OPERA DI SAN PIO DA PIETRELCINA OSPEDALE IRCCS,2,euctr_email_domain:operapadrepio.it|location_postcode
clinica universidad de navarra,Clínica Universidad de Navarra|University Clinic Of Navarra,2,ctis_businesskey|location_postcode
consorci mar parc de salut de barcelona,Consorci Mar Parc de Salut|Parc De Salut Mar,2,ctis_businesskey|location_postcode
debiopharm s a,Debiopharm|Debiopharm International SA,2,llm_reviewed
department of experimental clinical oncology,Department of Endocrinology|Department of Medicine and Endocrinology,2,location_postcode
department of otorhinolaryngology head neck and audiology rigshospitalet copenhagen denmark,"Department of Otorhinolaryngology, Head and Neck Surgery|Department of Otorhinolaryngology, Head and Neck Surgery and Audiology",2,location_postcode
durata therapeutic international b v an allergan affiliate,"Allergan|Durata Therapeutics, Inc",2,euctr_email_domain:allergan.com|location_postcode
fundaci de lluita contra la sida,Fundaci Lluita contra la SIDA|Fundació Lluita contra la SIDA,2,llm_reviewed
fundaci privada per a la recerca y la docencia sant joan de du,Fundaci per la Recerca i la Docncia Sant Joan de Du|Fundaci Privada per a la Recerca i la Docncia Sant Joan de Du,2,location_postcode
fundacin para la formacin e investigacin sanitarias de la regin de murcia,Fundacin para la Formacin e Investigacin Sanitaria de la Regin de Murcia|Fundación para la Formación e Investigación Sanitarias de la Región de Murcia,2,llm_reviewed
fundacin para la investigacin biomdica del hospital 12 de octubre,Fundacin para la Investigacin Biomdica del Hospital Universitario 12 de Octubre|Fundación para la Investigación Biomédica Hospital Universitario 12 de Octubre,2,location_postcode
fundacin pblica andaluza para la gestin de la investigacin en salud de sevilla fisevi,FISEVI|Fundacion Para La Gestion De La Investigacion En Salud De Sevilla,2,llm_reviewed
fundacio sant joan de deu,Fundacio Sant Joan De Deu|Hospital Sant Joan de Deu,2,llm_reviewed
generics uk ltd,Generics UK|Merck Generics,2,llm_reviewed
genmab a/s,Genmab|Genmab A/S,2,manual|review_queue
german pediatric oncology group gpoh ggmbh,German Paediatric Oncology Group GPOH|GPOH,2,euctr_email_domain:forschung-paediatrie.de|location_postcode
gfm-groupe francophone des mylodysplasies,Groupe Francophone Des Myelodysplasies|Groupe Francophone des Mylodysplasies GFM,2,location_postcode
