alias_clean,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,source,confidence_prior,alias_type
1 frauenklinik der lmu- innenstadt,Klinikum Der Universitat Munchen AöR,Klinikum Der Universitat Munchen AöR,Klinikum Der Universitat Munchen AöR,hospital,llm_curated,1,NA
35pharma,35Pharma,NA,NA,unknown,self_alias,0.94,self
3m health care,3M Health Care,NA,NA,unknown,self_alias,0.94,self
4 wojskowy szpital kliniczny z poliklinika,4 Wojskowy Szpital Kliniczny Z Polikliniką,NA,NA,unknown,self_alias,0.94,self
480 biomedical,480 Biomedical,NA,NA,unknown,self_alias,0.94,self
4d molecular therapeutics,4D Molecular Therapeutics,NA,NA,unknown,self_alias,0.94,self
4living biotech,4Living Biotech,NA,NA,unknown,self_alias,0.94,self
4teen4 pharmaceuticals,4TEEN4 Pharmaceuticals,NA,NA,unknown,self_alias,0.94,self
7tm pharma,7TM Pharma,NA,NA,unknown,self_alias,0.94,self
858 therapeutics,858 Therapeutics,NA,NA,unknown,self_alias,0.94,self
89bio,89bio,NA,NA,unknown,self_alias,0.94,self
a c o m advanced center oncology macerata,A.C.O.M. Advanced Center Oncology Macerata,NA,NA,unknown,self_alias,0.94,self
a c r a f,A.C.R.A.F.,NA,NA,unknown,self_alias,0.94,self
a carlsson research,A. Carlsson Research,NA,NA,unknown,self_alias,0.94,self
a menarini farmaceutica internazionale,A. Menarini Farmaceutica Internazionale,NA,NA,unknown,self_alias,0.94,self
a o ospedale di circolo e fondazione macchi,Azienda Ospedaliera Fondazione Macchi A.O. di Rilievo Nazionale,NA,NA,hospital,llm_curated,1,NA
a p pharma,A.P. Pharma,NA,NA,unknown,self_alias,0.94,self
a vogel,A.Vogel,NA,NA,unknown,self_alias,0.94,self
aalborg university hospital department of orthopedics,Aalborg University Hospital,NA,NA,hospital,llm_curated,1,NA
aalborg university hospital dept of rheumatology,Aalborg University Hospital,NA,NA,hospital,llm_curated,1,NA
aarhus universitet,Aarhus University,Aarhus University,Aarhus University,academic,llm_curated,1,NA
aarhus universitetshospital,Aarhus University Hospital,Aarhus University Hospital,Aarhus University Hospital,hospital,llm_curated,1,NA
aarhus university,Aarhus University,Aarhus University,Aarhus University,academic,llm_curated,1,NA
aarhus university hospital,Aarhus University Hospital,Aarhus University Hospital,Aarhus University Hospital,hospital,llm_curated,1,NA
aarhus unversity hospital,Aarhus University Hospital,NA,NA,hospital,llm_curated,1,NA
aastrom biosciences,Aastrom Biosciences,NA,NA,unknown,self_alias,0.94,self
aavantgarde bio,Aavantgarde Bio,NA,NA,unknown,self_alias,0.94,self
ab analitica,Ab Analitica,NA,NA,unknown,self_alias,0.94,self
ab2 bio,AB2 Bio,NA,NA,unknown,self_alias,0.94,self
abbisko therapeutics co,Abbisko Therapeutics Co.,NA,NA,unknown,self_alias,0.94,self
abbott,Abbott,Abbott,Abbott,industry,llm_curated,1,NA
abbott gmbh,Abbott,Abbott,Abbott,industry,llm_curated,1,NA
abbott gmbh and co kg,Abbott,Abbott,Abbott,industry,llm_curated,1,NA
abbvie,AbbVie,AbbVie,AbbVie,industry,llm_curated,1,NA
abbvie inc,AbbVie,AbbVie,AbbVie,industry,llm_curated,1,NA
abcentra,Abcentra,NA,NA,unknown,self_alias,0.94,self
abcsg gmbh / alliance foundation trials,ABCSG GmbH / Alliance Foundation Trials,NA,NA,foundation,self_alias,0.94,self
