alias_clean,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,source,confidence_prior,alias_type
1 frauenklinik der lmu- innenstadt,Klinikum Der Universitat Munchen AöR,NA,NA,unknown,llm_reviewed,1,llm_reviewed
1globe health institute llc,1globe Health Institute LLC,NA,NA,unknown,llm_reviewed,1,llm_reviewed
1st dep of medicine general university hospital vfn in prague,Všeobecná fakultní nemocnice v Praze,NA,NA,hospital,llm_reviewed,1,llm_reviewed
3 med department academic hospital bogenhausen,Städtisches Klinikum München - Bogenhausen,NA,NA,hospital,llm_reviewed,1,llm_reviewed
35pharma inc,35Pharma,NA,NA,unknown,llm_reviewed,1,llm_reviewed
3m health care limited,3M Health Care Limited,NA,NA,unknown,llm_reviewed,1,llm_reviewed
3m italia,3M Italia,NA,NA,unknown,llm_reviewed,1,llm_reviewed
4 wojskowy szpital kliniczny z poliklinika samodzielny publiczny zaklad opieki zdrowotnej we wroclawiu,4 Wojskowy Szpital Kliniczny Z Polikliniką,NA,NA,unknown,llm_reviewed,1,llm_reviewed
480 biomedical inc,"480 Biomedical, Inc.",NA,NA,unknown,llm_reviewed,1,llm_reviewed
4d molecular therapeutics inc,4D Molecular Therapeutics,NA,NA,unknown,llm_reviewed,1,llm_reviewed
4d pharma,4D pharma plc,NA,NA,unknown,llm_reviewed,1,llm_reviewed
4d pharma plc,4D Pharma,NA,NA,unknown,llm_reviewed,1,llm_reviewed
4living biotech sas,4Living Biotech SAS,NA,NA,unknown,llm_reviewed,1,llm_reviewed
4moving biotech,4moving Biotech,NA,NA,unknown,llm_reviewed,1,llm_reviewed
4sc ag,4SC AG,NA,NA,unknown,llm_reviewed,1,llm_reviewed
4teen4 pharmaceuticals gmbh,4TEEN4 Pharmaceuticals GmbH,NA,NA,unknown,llm_reviewed,1,llm_reviewed
7tm pharma a/s,7TM Pharma A/S,NA,NA,unknown,llm_reviewed,1,llm_reviewed
858 therapeutics inc,858 Therapeutics,NA,NA,unknown,llm_reviewed,1,llm_reviewed
89bio inc,89bio Inc.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a c o m advanced center oncology macerata s r l,A.C.O.M. Advanced Center Oncology Macerata S.r.l.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a c r a f s p a,A.C.R.A.F. S.p.A.,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a c r a f spa angelini spa,A.C.R.A.F. SpA Angelini SpA,NA,NA,unknown,llm_reviewed,1,llm_reviewed
a carlsson research ab,A. Carlsson Research AB,NA,NA,unknown,llm_reviewed,1,llm_reviewed
