alias_clean,reason
unknown,placeholder
not applicable,placeholder
na,placeholder
n/a,placeholder
none,placeholder
not provided,placeholder
to be determined,placeholder
multiple sponsors,non-specific value
see protocol,non-specific value
tbd,placeholder
not yet determined,placeholder
confidential,non-specific value
other,non-specific value
sponsor,non-specific value
hannu kokki,person name — not a sponsor organisation
concepcion moro serrano,person name — not a sponsor organisation
antonio noda cabrera,person name — not a sponsor organisation
david dalmau,person name — not a sponsor organisation
dra almudena zapatero laborda,person name — not a sponsor organisation
xavier carbonell estrany,person name — not a sponsor organisation
angel lanas,person name — not a sponsor organisation
cesar margarit ferri,person name — not a sponsor organisation
joaquin portilla,person name — not a sponsor organisation
mar espino hernandez,person name — not a sponsor organisation
jos antonio serrano trenas,person name — not a sponsor organisation
mikel urretavizcaya sarachaga,person name — not a sponsor organisation
m angeles calderon,person name — not a sponsor organisation
cesar augusto valero martinez,person name — not a sponsor organisation
britt skogseid,person name — not a sponsor organisation
hanna thorn,person name — not a sponsor organisation
prof david cunningham,person name — not a sponsor organisation
prof salvatore grisanti,person name — not a sponsor organisation
prof jes olesen,person name — not a sponsor organisation
prof dr h lode,person name — not a sponsor organisation
prof dr peter eickholz,person name — not a sponsor organisation
prof m a dimopoulos,person name — not a sponsor organisation
prof vassilis georgoulias,person name — not a sponsor organisation
prof bart neyns,person name — not a sponsor organisation
prof v lund,person name — not a sponsor organisation
prof harry siristatidis,person name — not a sponsor organisation
prof alice stanton,person name — not a sponsor organisation
prof per soelberg srensen,person name — not a sponsor organisation
prof ivana zavaroni,person name — not a sponsor organisation
prof alfredo chetta,person name — not a sponsor organisation
prof tiziano gherli,person name — not a sponsor organisation
prof dr kristian reich,person name — not a sponsor organisation
prof dr christian werner,person name — not a sponsor organisation
prof dr istvan racz,person name — not a sponsor organisation
prof dr hartmut zwick,person name — not a sponsor organisation
s g o johansson md phd professor,person name — not a sponsor organisation
rafael garcia lopez,person name — not a sponsor organisation
francisco borja barrachina larraza,person name — not a sponsor organisation
alejandra garcia botella,person name — not a sponsor organisation
carolina ibaez lopez,person name — not a sponsor organisation
antonio jerez calero,person name — not a sponsor organisation
jose luis montero alvarez,person name — not a sponsor organisation
jose manuel garcia dominguez,person name — not a sponsor organisation
jesus gonzalez barboteo,person name — not a sponsor organisation
jose maria botargues bot,person name — not a sponsor organisation
juan macias sanchez,person name — not a sponsor organisation
juan ignacio arenas ruiz tapiador,person name — not a sponsor organisation
fernado perez ruiz,person name — not a sponsor organisation
ricardo mouzo mirco,person name — not a sponsor organisation
luis fernndez llebrez del rey,person name — not a sponsor organisation
maria teresa parras maldonado,person name — not a sponsor organisation
francisco j blanco garca,person name — not a sponsor organisation
antonio perez martinez,person name — not a sponsor organisation
laura tarrats velasco,person name — not a sponsor organisation
javier martn broto,person name — not a sponsor organisation
antonio moreno gald,person name — not a sponsor organisation
mika harju,person name — not a sponsor organisation
anni ravnbek jensen,person name — not a sponsor organisation
jess villar hernndez,person name — not a sponsor organisation
johanna menp,person name — not a sponsor organisation
prof peter licht,person name — not a sponsor organisation
rune rasmussen,person name — not a sponsor organisation
per lindner,person name — not a sponsor organisation
juan crdoba,person name — not a sponsor organisation
eero pesonen,person name — not a sponsor organisation
sten walther,person name — not a sponsor organisation
pertti suominen,person name — not a sponsor organisation
per h rosenberg,person name — not a sponsor organisation
johannes frster anest lkri,person name — not a sponsor organisation
heidi mkinen,person name — not a sponsor organisation
jens hilligs,person name — not a sponsor organisation
ana de pedro muoz,person name — not a sponsor organisation
dra cristina avendao sol,person name — not a sponsor organisation
dott ssa elena santagostino,person name — not a sponsor organisation
lorenzo victor phd,person name — not a sponsor organisation
dra rosario blasco,person name — not a sponsor organisation
oliver ploder md dds phd,person name — not a sponsor organisation
bert mueller dep ophthalmology,person name — not a sponsor organisation
john l berk m d,person name — not a sponsor organisation
signe h stoft diabetes research division,person name — not a sponsor organisation
dra beatriz sanchez sobrino,person name — not a sponsor organisation
adelaida lamas ferreiro,person name — not a sponsor organisation
esther uriarte itzazelaia,person name — not a sponsor organisation
prof dr karl heinz emmerich,person name — not a sponsor organisation
meletios athanasios dimopoulos,person name — not a sponsor organisation
professor reich,person name — not a sponsor organisation
adj professor torsten gordh,person name — not a sponsor organisation
hanna pitknen,person name — not a sponsor organisation
miguel casares fernndez alvs,person name — not a sponsor organisation
pedro acien alvarez,person name — not a sponsor organisation
francisco jose morales ponce,person name — not a sponsor organisation
manuel ngel gmez ros,person name — not a sponsor organisation
carlos santos villar,person name — not a sponsor organisation
juan luis bonilla palomas,person name — not a sponsor organisation
dra nuria gutierrez dubn,person name — not a sponsor organisation
dra julia origen sabater,person name — not a sponsor organisation
dra ana pueyo bastida,person name — not a sponsor organisation
dra virginia raquel cspedes nava,person name — not a sponsor organisation
dra carmen ispa calln,person name — not a sponsor organisation
dra m dolores arenas,person name — not a sponsor organisation
dra maria jos colomina soler,person name — not a sponsor organisation
dra a teresa caldern duque,person name — not a sponsor organisation
dra margarita ramirezdra ifara snchez,person name — not a sponsor organisation
overlge dr med claus zachariae,person name — not a sponsor organisation
prof dr m a f j van de laar,person name — not a sponsor organisation
prof dr med margitta worm,person name — not a sponsor organisation
erling bjerregaard pedersen medicinsk forskningsafsnit regionshospitalet holstebro,person name — not a sponsor organisation
prof allan glanville st vincents hospital,person name — not a sponsor organisation
prof b wiedenmann klinik fr gastroenterologie charit campus virchow,person name — not a sponsor organisation
prof sechtem department of cardiology robert bosch hospital,person name — not a sponsor organisation
prof herta flor head of the institute of clinical and cognitive neuroscience,person name — not a sponsor organisation
prof dr r kreutz leiter der abteilung klinische pharmakologie der charite berlin,person name — not a sponsor organisation
brneafdelingen kolding,person name — not a sponsor organisation
antonio cubillo gracin servicio de oncologa mdica hospital md anderson,person name — not a sponsor organisation
enric pedrol clotet unidad enfermedades infecciosas hospital de granollers,person name — not a sponsor organisation
christian geisler righospitalet,person name — not a sponsor organisation
christian geisler righospitalet dept haematology 4042,person name — not a sponsor organisation
antonio moreno galdon,person name — not a sponsor organisation
ascendis pharma endocrinology division a s,"generic department or unit, or combined multi-entity sponsor"
dept of ped hem onc,"generic department or unit, or combined multi-entity sponsor"
department of clinical pharmacology,"generic department or unit, or combined multi-entity sponsor"
department of anaesthesia,"generic department or unit, or combined multi-entity sponsor"
department of health,"generic department or unit, or combined multi-entity sponsor"
department of nephrology,"generic department or unit, or combined multi-entity sponsor"
oncology department,"generic department or unit, or combined multi-entity sponsor"
arthroscopic surgery unit,"generic department or unit, or combined multi-entity sponsor"
tb investigation unit of barcelona,"generic department or unit, or combined multi-entity sponsor"
aalst dermatology group,"generic department or unit, or combined multi-entity sponsor"
department of anesthesiology,"generic department or unit, or combined multi-entity sponsor"
centre hospitalier universitaire,"generic department or unit, or combined multi-entity sponsor"
servicio de anestesiologa y reanimacin,"generic department or unit, or combined multi-entity sponsor"
department of oncology,"generic department or unit, or combined multi-entity sponsor"
department of orthopaedics ike,"generic department or unit, or combined multi-entity sponsor"
department of psychiatry and psychotherapy cologne,"generic department or unit, or combined multi-entity sponsor"
dipartimento di medicina,"generic department or unit, or combined multi-entity sponsor"
department of cardiology rigshospitalet,"generic department or unit, or combined multi-entity sponsor"
the medicines evaluation unit meu ltd investigator led study,"generic department or unit, or combined multi-entity sponsor"
department of general psychiatry,"generic department or unit, or combined multi-entity sponsor"
clinical pharmacology,"generic department or unit, or combined multi-entity sponsor"
medizinische klinik b herzzentrum ludwigshafen,"generic department or unit, or combined multi-entity sponsor"
dept of dermatology,"generic department or unit, or combined multi-entity sponsor"
dept of clinical pharmacology,"generic department or unit, or combined multi-entity sponsor"
neurologisk afdeling f,"generic department or unit, or combined multi-entity sponsor"
dept of neurology vienna,"generic department or unit, or combined multi-entity sponsor"
dept anaesthesiology and intensive care,"generic department or unit, or combined multi-entity sponsor"
neurologische klinik bad neustadt,"generic department or unit, or combined multi-entity sponsor"
klinik neuropdiatrie und muskelkrankheiten,"generic department or unit, or combined multi-entity sponsor"
medical department i,"generic department or unit, or combined multi-entity sponsor"
department of psychiatry lmu munich,"generic department or unit, or combined multi-entity sponsor"
dept of nephrology,"generic department or unit, or combined multi-entity sponsor"
abteilung fr anaesthesiologie und intensivmedizin,"generic department or unit, or combined multi-entity sponsor"
medizinische universittsklinik ii abteilung hmatologie onkologie immunologie und rheumatologie,"generic department or unit, or combined multi-entity sponsor"
dept of anaesthesiology 530,"generic department or unit, or combined multi-entity sponsor"
west yorkshire primary care rd unit,"generic department or unit, or combined multi-entity sponsor"
abteilung fr herz thorax gef ansthesie intensivmedizin htg,"generic department or unit, or combined multi-entity sponsor"
neurology unit,"generic department or unit, or combined multi-entity sponsor"
department fr kinder und jugendheilkunde pdiatrie i,"generic department or unit, or combined multi-entity sponsor"
department of plastic surgery breast and burns treatment,"generic department or unit, or combined multi-entity sponsor"
department of anesthesiology and intensive care medicine,"generic department or unit, or combined multi-entity sponsor"
klinisk farmakologisk afdeling,"generic department or unit, or combined multi-entity sponsor"
clinical pharmacology department of,"generic department or unit, or combined multi-entity sponsor"
dept of growth and reproduction,"generic department or unit, or combined multi-entity sponsor"
ortopdkirurgisk afdeling,"generic department or unit, or combined multi-entity sponsor"
neurologisk afdeling,"generic department or unit, or combined multi-entity sponsor"
medicinsk afdeling,"generic department or unit, or combined multi-entity sponsor"
afdeling for traumatisk hjerneskade,"generic department or unit, or combined multi-entity sponsor"
abteilung fr pulmologie landesklinikum thermenregion hochegg,"generic department or unit, or combined multi-entity sponsor"
clinical pharmacology spanish society,"generic department or unit, or combined multi-entity sponsor"
department of cardiothoracic and vascular surgery,"generic department or unit, or combined multi-entity sponsor"
dept pharmacology and toxicology,"generic department or unit, or combined multi-entity sponsor"
department of pharmacology toxicology,"generic department or unit, or combined multi-entity sponsor"
lab for pharmaceutical biology department of urology,"generic department or unit, or combined multi-entity sponsor"
department of pharmacy unversittsmedizin mainz,"generic department or unit, or combined multi-entity sponsor"
dept of ophthalmology rigshospitalet glostrup,"generic department or unit, or combined multi-entity sponsor"
department of dentistry and oral health,"generic department or unit, or combined multi-entity sponsor"
department of otorhinolaryngology head and neck surgery,"generic department or unit, or combined multi-entity sponsor"
department of infectious diseases,"generic department or unit, or combined multi-entity sponsor"
se dept of psychiatry and psychotherapy,"generic department or unit, or combined multi-entity sponsor"
department of psychiatry,"generic department or unit, or combined multi-entity sponsor"
department of haematology,"generic department or unit, or combined multi-entity sponsor"
department of hematology,"generic department or unit, or combined multi-entity sponsor"
department of rheumatology,"generic department or unit, or combined multi-entity sponsor"
department of cardiology,"generic department or unit, or combined multi-entity sponsor"
department of pulmonology,"generic department or unit, or combined multi-entity sponsor"
department of anaesthesiology,"generic department or unit, or combined multi-entity sponsor"
department of endocrinology,"generic department or unit, or combined multi-entity sponsor"
department of ophthalmology,"generic department or unit, or combined multi-entity sponsor"
department of paediatric cardiology,"generic department or unit, or combined multi-entity sponsor"
department of dermatology,"generic department or unit, or combined multi-entity sponsor"
department of neurology,"generic department or unit, or combined multi-entity sponsor"
department of orthopaedics ike department of orthopaedics ike,"generic department or unit, or combined multi-entity sponsor"
department of nephrology and renal transplantation,"generic department or unit, or combined multi-entity sponsor"
department of nephrology ouh odense dk,"generic department or unit, or combined multi-entity sponsor"
unit de recherches thrapeutiques,"generic department or unit, or combined multi-entity sponsor"
oa dr philipp becker c o abteilung fr wirbelsulenchirurgie orthopdisches spital speising gmbh,"generic department or unit, or combined multi-entity sponsor"
department of anaesethesia,"generic department or unit, or combined multi-entity sponsor"
abteilung fr ansthesie intensiv und schmerzmedizin wilhelminenspital der stadt wien,"generic department or unit, or combined multi-entity sponsor"
dept child adolescent psychiatrie,"generic department or unit, or combined multi-entity sponsor"
medizinische klinik iii kardiologie,"generic department or unit, or combined multi-entity sponsor"
dept of rhematology umas,"generic department or unit, or combined multi-entity sponsor"
dept of pharmacology,"generic department or unit, or combined multi-entity sponsor"
university medical center,"generic department or unit, or combined multi-entity sponsor"
university hospital,"generic department or unit, or combined multi-entity sponsor"
cardiac reserch unit,"generic department or unit, or combined multi-entity sponsor"
dermatology specialities limited partnership dslp,"generic department or unit, or combined multi-entity sponsor"
servicio digestivo,"generic department or unit, or combined multi-entity sponsor"
servicio de nefrologia,"generic department or unit, or combined multi-entity sponsor"
servicio de neurologa,"generic department or unit, or combined multi-entity sponsor"
servicio de anestesia reanimacin,"generic department or unit, or combined multi-entity sponsor"
unidad de neuroinmunologa,"generic department or unit, or combined multi-entity sponsor"
unidad de cirugia artroscpica,"generic department or unit, or combined multi-entity sponsor"
unidad de investigacin en tuberculosis de barcelona uitb,"generic department or unit, or combined multi-entity sponsor"
unidad de investigacin en tuberculosis de barcelona,"generic department or unit, or combined multi-entity sponsor"
unidad de gestin clnica de endocrinologa y nutricin,"generic department or unit, or combined multi-entity sponsor"
dipartimento di pediatria,"generic department or unit, or combined multi-entity sponsor"
dipartimento di scienze chirurgiche oncologiche e gastroenterologiche,"generic department or unit, or combined multi-entity sponsor"
dipartimento integrato di oncologia ematologia e patologie dellapparato respiratorio,"generic department or unit, or combined multi-entity sponsor"
dipartimento di scienze della vita e biotecnologie delluniversit degli studi di ferrara,"generic department or unit, or combined multi-entity sponsor"
dipartimento di scienze cliniche e biologiche unito,"generic department or unit, or combined multi-entity sponsor"
uo divisione nefrologia dialisi e trapianto renale,"generic department or unit, or combined multi-entity sponsor"
