cache_key,block_id,model_id,prompt_version,cluster_no,canonical,legal_entity,parent,entity_type,raw_sponsor,confidence,reason,decided_at_utc,batch_id
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,1,Novartis Pharma,NA,NA,industry,Novartis Pharma AG,0.8,Novartis Pharma AG Switzerland,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,1,Novartis Pharma,NA,NA,industry,Novartis Pharma,0.8,Novartis Pharma AG Switzerland,2026-08-12T11:48:48Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma Services AG,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma AG,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma GmbH,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Vaccines and Diagnostics S.r.l.,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,NOVARTIS FARMA,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,"Novartis Farmacutica, S.A.",0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharmaceuticals UK Ltd,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,NOVARTIS VACCINES AND DIAGNOSTICS S.R.L.,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Farmacutica S.A.,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma Service AG,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Vaccines and Diagnostics GmbH  Co. KG,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma S.A.S,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma Services,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma S.A.S.,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Vaccines and Diagnostics GmbH,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Farmaceutica S.A.,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Consumer Health S.A.,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Farmacutica S.A,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Services AG,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Consumer Health SA,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Pharma services AG,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Vaccines and Diagnostics S.r.l,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,NOVARTIS FARMA S.P.A.,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Consumer Health,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
7b34204f77f4a11f804fdf5a5dabd2ab48037f638833b1e7f0ffa81f1a977a6c,blk_00001,claude-opus-5,sponsor-mint-v2,1,Novartis,NA,NA,industry,Novartis Farma S.p.A.,0.95,All are Novartis group legal variants/subsidiaries,2026-08-12T14:59:23Z,NA
