cache_key,raw_sponsor,model_id,prompt_version,candidates_sha256,n_candidates,chosen_index,entity_id,confidence,channel,reason,decided_at_utc,batch_id
edff48a0e2b07ba2c25aa99ef2bda07213c6c162d865c7d051645f70fbc89842,1. Frauenklinik der LMU- Innenstadt,claude-sonnet-5,sponsor-assign-v1,69d60b0636e740f958deadb7031a98600f15518cbb207f1d8569fff4afe295c7,3,3,ent_005382,0.9,token_idf,"Frauenklinik der LMU-Innenstadt is a department of Klinikum der Universität München (LMU Munich), matching entry 3 (same as 1 but accent-stripped version).",2026-08-13T18:58:30Z,NA
f740bdc390b9e1a1099c68bb00e75de5ddfd599fcd7b0ee0d1acb5aa3ec5697f,4 Wojskowy Szpital Kliniczny Z Polikliniką Samodzielny Publiczny Zaklad Opieki Zdrowotnej We Wroclawiu,claude-sonnet-5,sponsor-assign-v1,67355f3da6cfa1b0208d29395b6038f9e55e3b4015f6a3c4a8be96be6e614e6f,10,0,NA,0.9,NA,4th Military Clinical Hospital in Wroclaw is not listed among candidates; none match.,2026-08-13T18:58:34Z,NA
ae0f9694256c17af45d9d4823a22543ae139c23df957a12d39fcab906acbabf1,4moving Biotech,claude-sonnet-5,sponsor-assign-v1,551c370150dcc16df8a620137bc8ea6be4360011474766880a88965f0be06b65,10,0,NA,0.9,NA,4moving Biotech does not match any listed organisation; none are clearly the same entity.,2026-08-13T06:39:57Z,NA
1e5461d98cde603ad493807f607d7f2c239140ffac6f013690f040028733aa3b,A.C.O.M. Advanced Center Oncology Macerata S.r.l.,claude-sonnet-5,sponsor-assign-v1,36a5fd8020939b4ad7a05f395de0990bd2dc5ef1b01398daea7d18f902302c97,10,0,NA,0.95,NA,"None of the candidates correspond to A.C.O.M. Advanced Center Oncology Macerata S.r.l., a specific Italian oncology company.",2026-08-13T06:39:59Z,NA
89ccaf74ea76ed7c058816920c6ddb88d503bf5ee9a7aa2698fb4e59b17addbe,A.O. OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,claude-sonnet-5,sponsor-assign-v1,17546121bd0f3d9eefcef847f4740fc335973c3016cb6dc709cafb251a155e62,2,1,ent_000370,0.6,token_idf,"The trust's full official name is 'Azienda Ospedaliera Ospedale di Circolo e Fondazione Macchi', commonly abbreviated as 'Fondazione Macchi' in candidate list, matching option 1.",2026-08-13T06:35:58Z,NA
00fd25652003471d4a5143aff3e256e1adfdd0eae8e3cb2c86d63b0fad61a54c,ACRAF S.p.A.,claude-sonnet-5,sponsor-assign-v1,32016746e030048ea0e974665b06b90a12329ed1e1078f055d6ace03e93b08c5,1,1,ent_000220,0.75,token_idf,ACRAF S.p.A. (Angelini Francesco SpA) is the legal entity of Angelini Pharma group.,2026-08-13T06:40:03Z,NA
ed656b5efb81594b68443399542919927ce7e1b8b6e6fac03108c2f38b028214,ACTICOR BIOTECH,claude-sonnet-5,sponsor-assign-v1,551c370150dcc16df8a620137bc8ea6be4360011474766880a88965f0be06b65,10,0,NA,0.95,NA,Acticor Biotech is a distinct French biotech company; none of the listed candidates correspond to it.,2026-08-13T06:40:05Z,NA
56d3a1a9a0c3bfca933bd6be4af8ee7fb3f5d66afc79703d123368b6026ecb83,"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, M.P. CSIC",claude-sonnet-5,sponsor-assign-v1,95324c6572f639755434648a27c14d3d801732e65e79097a75547eacf2179fd2,6,0,NA,0.95,NA,CSIC is a separate national research council not listed among candidates.,2026-08-13T06:40:08Z,NA
c7c2d47e8e0ee185f3af6d1d02f2e3011d8e09f28b1719634e852271f095c754,AISSM ONLUS,claude-sonnet-5,sponsor-assign-v1,b7fa1fc3789978b06f4f574c0baf105152acdc066fa68f58f706b992f24fdce5,10,0,NA,0.7,NA,AISSM ONLUS does not clearly correspond to any listed organisation; acronym doesn't match given names confidently.,2026-08-13T06:36:02Z,NA
b57fc123a4c857bc6484ac50c7d3ee66fcc2171dae8949c8198658a264e7f0ac,ALK-SCHERAX Arzneimittel GmbH,claude-sonnet-5,sponsor-assign-v1,eca93338645e219786733f19354f49ae6da830ef3cf4f6cbfb35d9aad80a91ea,10,1,ent_000032,0.75,token_idf,ALK-SCHERAX Arzneimittel GmbH is a German subsidiary of ALK-Abelló.,2026-08-13T06:40:12Z,NA
