cache_key,component,model_id,prompt_version,same_organisation,winner_id,loser_id,winner_canonical,loser_canonical,confidence,reason,decided_at_utc,batch_id
06276fa53f1bcf0e7922899ecb87a9d297c56db49e8f2813c4ed7ea28cada2f9,2,claude-opus-5,sponsor-consolidate-v2,FALSE,NA,NA,NA,NA,0.97,Different companies: 4D Pharma (microbiome) vs 4D Molecular Therapeutics (gene therapy).,2026-08-13T19:16:05Z,NA
9376de8bd0d23f457a4b53eb25697abb422f3f92937f085372a83d2eea0dae0b,14,claude-opus-5,sponsor-consolidate-v2,FALSE,NA,NA,NA,NA,0.97,ACCORD is a UK academic research office (Edinburgh); Accord Healthcare is a generics pharma company. Unrelated.,2026-08-13T19:16:21Z,NA
e155aa4d8b1c85ab3959b2c1120c0c8a852aa733cb79e25704626725ede01824,15,claude-opus-5,sponsor-consolidate-v2,FALSE,NA,NA,NA,NA,0.97,ACE ApS is a Danish industry entity; Fundacio ACE is a Spanish foundation (Barcelona Alzheimer research). Unrelated.,2026-08-13T19:31:24Z,msgbatch_01DuzSRPeRjHD82gmGSVpLZA
480a19b7b80f024be2e9fe7d6671dac864f223104dadbefbef1d38975163f770,25,claude-opus-5,sponsor-consolidate-v2,FALSE,NA,NA,NA,NA,0.85,AGO Austria is the Austrian gynecologic oncology study group; AGO Research GmbH is the German AGO's research arm. Different entities.,2026-08-13T19:31:25Z,msgbatch_01DuzSRPeRjHD82gmGSVpLZA
5cfd3404219468653c260720fea2792ce3256a84a307f25b6a6296bad2b8ffd6,27,claude-opus-5,sponsor-consolidate-v2,TRUE,ent_000027,ent_003541,AIBILI,AIBILI EVICR.net,0.8,AIBILI EVICR.net is the AIBILI-coordinated network under the same organisation name; treated as a variant of AIBILI.,2026-08-13T19:31:24Z,msgbatch_01DuzSRPeRjHD82gmGSVpLZA
f9e76b6aa6dfbfe9883398d89d8520d56c16eec092e27210bcfd1855cf424c2e,31,claude-opus-5,sponsor-consolidate-v2,TRUE,ent_000031,ent_000032,ALK-Abello,ALK-Abelló,0.98,Accent variant of the same company ALK-Abello.,2026-08-13T19:31:25Z,msgbatch_01DuzSRPeRjHD82gmGSVpLZA
050a7822923592538829f6079f38debf3ba3b5f25d20cd8fd33de7c3a8a9f256,39,claude-opus-5,sponsor-consolidate-v2,TRUE,ent_000040,ent_000039,ANRS Maladies Infectieuses Émergentes,ANRS,0.8,"ANRS is the abbreviation of ANRS Maladies Infectieuses Emergentes (the French agency, now part of Inserm); same organisation, surviving under the fuller current name with more raw strings.",2026-08-13T19:31:25Z,msgbatch_01DuzSRPeRjHD82gmGSVpLZA
d66443154c56dde61496090d259698709e559330a68da662e2f21504429abe06,42,claude-opus-5,sponsor-consolidate-v2,FALSE,NA,NA,NA,NA,0.8,"AOP Orphan, 'ORPHAN' alone, and Orphan Europe (Recordati) are distinct/ambiguous; no safe merge.",2026-08-13T19:31:25Z,msgbatch_01DuzSRPeRjHD82gmGSVpLZA
6e5c98f8cdbb758ee7918ef0c7f267f3bd78c148f5569880a67395fadfff9e70,55,claude-opus-5,sponsor-consolidate-v2,FALSE,NA,NA,NA,NA,0.9,"Different local health authorities (Piacenza, Viterbo, and an unspecified AUSL 8); no evidence they are the same entity.",2026-08-13T19:31:25Z,msgbatch_01DuzSRPeRjHD82gmGSVpLZA
2b8d2e5231fad29a679c1570d6ad3210a967470e3f6a8a7f9292bd8580461621,67,claude-opus-5,sponsor-consolidate-v2,TRUE,ent_000069,ent_003573,Aarhus Sygehus,Aarhus Sygehus Hospital,0.7,"Aarhus Universitetshospital and Aarhus Universitet are distinct entities (hospital vs university). 'Aarhus Sygehus' and 'Aarhus Sygehus Hospital' are the same name variant, merged. Skejby is a specific campus/site kept separate due to uncertainty.",2026-08-15T06:01:04Z,msgbatch_01MNovJjkMXucGjU5NaBfDRA
