raw_sponsor,proposed,confidence,n_trials,review_reason,reason,channel,model_id
Karolinska University Hospital,Karolinska Universitetssjukhuset,0.88,98,"high impact, middling confidence",,mint,claude-opus-5
Amsterdam UMC Stichting,Amsterdam UMC,0.88,70,"high impact, middling confidence",,mint,claude-opus-5
Merck KGaA,Merck KGaA,0.85,69,"high impact, middling confidence",German Merck KGaA group entities,mint,claude-opus-5
Academic Medical Center,Academic Medical Center,0.7,63,low confidence,Academic Medical Center (AMC) Amsterdam teaching hospital,mint,claude-sonnet-5
Amsterdam UMC,Amsterdam UMC,0.88,60,"high impact, middling confidence",,mint,claude-opus-5
University of Cologne,University of Cologne,0.85,53,"high impact, middling confidence",Variant spellings and department of University of Cologne,mint,claude-opus-5
University of Dundee,University of Dundee,0.86,47,"high impact, middling confidence","All variants, departments and joint sponsorship strings resolve to University of Dundee as the academic sponsor.",mint,claude-opus-5
ISTITUTO NAZIONALE PER LA CURA TUMORI,Fondazione IRCCS Istituto Nazionale dei Tumori,0.82,44,"high impact, middling confidence",,mint,claude-opus-5
Merck Healthcare KGaA,Merck KGaA,0.85,39,"high impact, middling confidence",German Merck KGaA group entities,mint,claude-opus-5
FONDAZIONE CENTRO S. RAFFAELE DEL MONTE TABOR,Fondazione Centro San Raffaele del Monte Tabor,0.75,33,"high impact, middling confidence",Distinct former legal foundation entity,mint,claude-opus-5
Vaestra Goetalandsregionen,Västra Götalandsregionen,0.85,32,"high impact, middling confidence",Regional health authority; joint listings default to lead region,mint,claude-opus-5
Region Skane,Region Skåne,0.85,29,"high impact, middling confidence",All variants refer to Region Skåne (including its university hospital and a collaboration string).,mint,claude-opus-5
Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,0.88,28,"high impact, middling confidence","All variants of the Cambridge NHS trust (Addenbrooke's), including joint sponsorships with the university and departmental strings",mint,claude-opus-5
UMCG,Universitair Medisch Centrum Groningen,0.85,26,"high impact, middling confidence",All reference UMCG; department and collaboration strings resolve to parent institution.,mint,claude-opus-5
Fundacio De Recerca Clinic Barcelona-Institut D’Investigacions Biomediques August Pi I Sunyer,Institut d'Investigacions Biomèdiques August Pi i Sunyer,0.86,26,"high impact, middling confidence",IDIBAPS research institute variants incl. FRCB-IDIBAPS,mint,claude-opus-5
Helse Bergen HF,Helse Bergen,0.85,25,"high impact, middling confidence",Haukeland University Hospital is part of Helse Bergen HF,mint,claude-opus-5
