raw_sponsor,entity_id,confidence,channel,reason,decided_by,decided_at_utc,model_id,prompt_version
1. Frauenklinik der LMU- Innenstadt,ent_001947,0.85,mint,All are departments/clinics of the LMU university hospital (Klinikum der LMU),model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
1globe Health Institute LLC,ent_003510,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"1st Dep. of Medicine, General University Hospital VFN in Prague",ent_001373,0.8,mint,Department resolves to parent hospital,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
"3.Med. Department, Academic Hospital Bogenhausen",ent_003673,0.7,mint,Department resolves to parent hospital,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
35Pharma Inc.,ent_003511,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
3M Health Care Limited,ent_000001,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
3M ITALIA,ent_000001,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
4 Wojskowy Szpital Kliniczny Z Polikliniką Samodzielny Publiczny Zaklad Opieki Zdrowotnej We Wroclawiu,ent_007115,0.95,mint,,model,2026-08-13T19:14:28Z,claude-opus-5,sponsor-mint-v2
"480 Biomedical, Inc.",ent_003512,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
4D Pharma,ent_000003,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
4D Pharma Plc,ent_000003,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
4D pharma plc,ent_000003,0.95,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
4Living Biotech SAS,ent_003513,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
4SC AG,ent_003514,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
4TEEN4 Pharmaceuticals GmbH,ent_003515,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
4d Molecular Therapeutics Inc.,ent_000002,0.9,mint,,model,2026-08-13T19:14:28Z,claude-sonnet-5,sponsor-mint-v2
