entity_id,canonical,legal_entity,parent,entity_type,confidence,decided_by,decided_at_utc,model_id,prompt_version,merged_into,note
ent_000001,3M,3M Health Care Limited / 3M ITALIA / Laboratoires 3M Sante,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000002,4D Molecular Therapeutics,4D Molecular Therapeutics Inc.,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000003,4D Pharma,4D pharma plc,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000004,89bio,89bio Inc.,,industry,0.99,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000005,A.N.M.C.O. - Fondazione Italiana per la Lotta contro le Malattie Cardiovascolari,,,foundation,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000006,A.R.T.I.C. Association pour la Recherche de Therapeutiques Innovantes en Cancerologie,,,foundation,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000007,A.S.L. TO 2,,,public_body,0.6,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000008,A.T. Development Switzerland,A.T. Development Switzerland SARL,,industry,0.7,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000009,AB-Biotics,AB-Biotics S.A.,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000010,AB2 Bio,AB2 Bio Ltd. / S.A.,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000011,ABX Advanced Biochemical Compounds,ABX GmbH / Advanced Biochemical Compounds - Biomedizinische Forschungsreagenzien GmbH,,industry,0.75,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000012,AC Immune,AC Immune S.A.,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000013,ACADIA Pharmaceuticals,ACADIA Pharmaceuticals Inc.,,industry,0.98,model,2026-08-13T06:30:48Z,claude-opus-5,sponsor-mint-v2,,
ent_000014,ACCORD Academic and Clinical Central Office for Research & Development,,,academic,0.75,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000015,ACE ApS,ACE ApS,,industry,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000016,ACO Hud Nordic,ACO Hud Nordic AB,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000017,ACO-ASSO,,,unknown,0.3,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000018,ACROSS,Associacio Catalana per a la Recerca Oncologica i les seves implicacions Sanitaries i Socials,,foundation,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000019,ADC Therapeutics,ADC Therapeutics SA,,industry,0.98,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000020,AESCA Pharma,AESCA Pharma GmbH,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000021,AFNET - German Atrial Fibrillation Competence Network,,,network,0.8,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000022,AFT Pharmaceuticals,AFT Pharmaceuticals Ltd,,industry,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000023,AGI Therapeutics,AGI Therapeutics Limited,,industry,0.9,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000024,AGMT,AGMT gGmbH,,academic,0.85,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000025,AGO Austria,Studienzentrale AGO Austria,,cooperative_group,0.7,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000026,AGO Research,AGO Research GmbH,,cooperative_group,0.7,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
ent_000027,AIBILI,,,foundation,0.95,model,2026-08-13T06:30:48Z,claude-sonnet-5,sponsor-mint-v2,,
