"decision_key","decision","canonical_suggestion","suggested_pattern","sponsor_a","sponsor_b","total_n","similarity_score","decided_at","notes"
"merck ||| merck serono ||| merck ||| merck serono","skipped","Merck","Merck Serono","Merck","Merck Serono",185,0.417,"2026-05-05 20:26:38 +0200","Skipped interactively"
"university college london ||| university college dublin ||| university college london ||| university college dublin","skipped","University College London","University College Dublin","University College London","University College Dublin",176,0.8,"2026-05-05 20:26:43 +0200","Skipped interactively"
"azienda ospedaliera di bologna policlinico s. orsola m. malpighi ||| azienda ospedaliera policlinico di modena ||| azienda ospedaliera di bologna policlinico s. orsola m. malpighi ||| azienda ospedaliera policlinico di modena","skipped","Azienda Ospedaliera Di Bologna Policlinico S. Orsola M. Malpighi","Azienda Ospedaliera Policlinico Di Modena","Azienda Ospedaliera Di Bologna Policlinico S. Orsola M. Malpighi","Azienda Ospedaliera Policlinico Di Modena",167,0.576,"2026-05-05 20:26:45 +0200","Skipped interactively"
"oslo university hospital ||| university of oslo ||| oslo university hospital ||| university of oslo","skipped","Oslo University Hospital","University Of Oslo","Oslo University Hospital","University Of Oslo",152,0.542,"2026-05-05 20:26:48 +0200","Skipped interactively"
"university of birmingham ||| university hospitals birmingham nhs foundation trust ||| university of birmingham ||| university hospitals birmingham nhs foundation trust","skipped","University Of Birmingham","University Hospitals Birmingham NHS Foundation Trust","University Of Birmingham","University Hospitals Birmingham NHS Foundation Trust",141,0.7,"2026-05-05 20:26:50 +0200","Skipped interactively"
"fondazione irccs istituto nazionale dei tumori ||| istituto nazionale per lo studio e la cura dei tumori - fondazione g. pascale ||| fondazione irccs istituto nazionale dei tumori ||| istituto nazionale per lo studio e la cura dei tumori - fondazione g. pascale","skipped","Fondazione Irccs Istituto Nazionale Dei Tumori","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Fondazione Irccs Istituto Nazionale Dei Tumori","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale",123,0.296,"2026-05-05 20:26:51 +0200","Skipped interactively"
"universitaetsklinikum erlangen ||| universitaetsklinikum tuebingen aör ||| universitaetsklinikum erlangen ||| universitaetsklinikum tuebingen aör","skipped","Universitaetsklinikum Erlangen","Universitaetsklinikum Tuebingen Aör","Universitaetsklinikum Erlangen","Universitaetsklinikum Tuebingen Aör",96,0.765,"2026-05-05 20:26:52 +0200","Skipped interactively"
"istituto nazionale per lo studio e la cura dei tumori - fondazione g. pascale ||| istituto nazionale per la cura tumori ||| istituto nazionale per lo studio e la cura dei tumori - fondazione g. pascale ||| istituto nazionale per la cura tumori","skipped","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Istituto Nazionale Per La Cura Tumori","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Istituto Nazionale Per La Cura Tumori",95,0.479,"2026-05-05 20:26:55 +0200","Skipped interactively"
"universitaetsklinikum erlangen ||| universitaetsklinikum essen aör ||| universitaetsklinikum erlangen ||| universitaetsklinikum essen aör","skipped","Universitaetsklinikum Erlangen","Universitaetsklinikum Essen Aör","Universitaetsklinikum Erlangen","Universitaetsklinikum Essen Aör",81,0.8,"2026-05-05 20:26:56 +0200","Skipped interactively"
"universitaetsklinikum erlangen ||| universitaetsklinikum ulm aör ||| universitaetsklinikum erlangen ||| universitaetsklinikum ulm aör","skipped","Universitaetsklinikum Erlangen","Universitaetsklinikum Ulm Aör","Universitaetsklinikum Erlangen","Universitaetsklinikum Ulm Aör",77,0.767,"2026-05-05 20:26:57 +0200","Skipped interactively"
"istituto nazionale per lo studio e la cura dei tumori - fondazione g. pascale ||| istituto scientifico romagnolo per lo studio e la cura dei tumori ||| istituto nazionale per lo studio e la cura dei tumori - fondazione g. pascale ||| istituto scientifico romagnolo per lo studio e la cura dei tumori","skipped","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori",67,0.479,"2026-05-05 20:27:02 +0200","Skipped interactively"
