alias_clean,substances_all,n_substances,sources
18f,fludeoxyglucose f 18|fluorodopa f 18,2,chembl
32p,chromic phosphate p 32|sodium phosphate p 32,2,chembl
51cr,"albumin, chromated cr 51 serum|sodium chromate cr 51",2,chembl
57co,cobaltous chloride co 57|cyanocobalamin co 57,2,chembl
60co,cobaltous chloride co 60|cyanocobalamin co 60,2,chembl
a1443,afoxolaner|fluralaner,2,chembl
ah252723,afoxolaner|fluralaner,2,chembl
cend-1,certepetide|irgd,2,chembl
compleheal,centella asiatica extract|plectranthus amboinicus extract,2,chembl
cotara,iodine i 131 derlotuximab biotin|tnt-1b,2,chembl
e-z scrub,chlorhexidine gluconate|hexachlorophene,2,chembl
fc41-12 (perflenapent/perflisopent mixture),perflenapent|perflisopent,2,chembl
fespixon,centella asiatica extract|plectranthus amboinicus extract,2,chembl
gamophen,hexachlorophene|triclosan,2,chembl
ib1001,levacetylleucine|trenonacog alfa,2,chembl
im051,crexavibart|ogalvibart,2,chembl
medi-564,bta-9881|medi-564,2,chembl
n-803,inbakicept|nogapendekin alfa,2,chembl
nsc-758421,paromomycin sulfate|penicillamine,2,chembl
oneness,centella asiatica extract|plectranthus amboinicus extract,2,chembl
phospholipids egg,lecithin|phosphatidylcholine,2,chembl
rg-7594,mint-1526a|rg-7594,2,chembl
xl-652,bms-779788|bms-852927,2,chembl
