alias_clean,substances_all,n_substances,sources
18f,fludeoxyglucose f 18|fluorodopa f 18,2,chembl
32p,chromic phosphate p 32|sodium phosphate p 32,2,chembl
51cr,"albumin, chromated cr 51 serum|sodium chromate cr 51",2,chembl
57co,cobaltous chloride co 57|cyanocobalamin co 57,2,chembl
60co,cobaltous chloride co 60|cyanocobalamin co 60,2,chembl
a1443,afoxolaner|fluralaner,2,chembl
abbv-321,serclutamab|serclutamab talirine,2,chembl
abrysvo,"respiratory syncytial virus pre-fusion glycoprotein f|respiratory syncytial virus vaccine (bivalent, recombinant)",2,chembl|epar
abt-492,delafloxacin|delafloxacin meglumine,2,chembl
ac0137,pramlintide|pramlintide acetate,2,chembl
ac220,quizartinib|quizartinib dihydrochloride,2,chembl
ac2307,davalintide|davalintide acetate,2,chembl
aceneuramic acid,aceneuramic acid|sialic acid,2,chembl
aceon,perindopril erbumine|tramadol hydrochloride,2,chembl
achn-490,plazomicin|plazomicin sulfate,2,chembl
achromycin v,tetracycline|tetracycline hydrochloride,2,chembl
acrescent,memantine hydrochloride|memantine hydrochloride|donepezil hydrochloride,2,chembl|epar
activyl tick plus,indoxacarb|permethrin|permethrin,2,chembl|epar
actoxumab,actoxumab|mk-3415,2,chembl
actrapid,human insulin|insulin human,2,chembl|epar
adct-301,camidanlumab|camidanlumab tesirine,2,chembl
adct-402,loncastuximab|loncastuximab tesirine,2,chembl
"adjupanrix (previously pandemic influenza vaccine (h5n1) (split virion, inactivated, adjuvanted) glaxosmithkline biologicals)","influenza a virus, split virion|split influenza virus, inactivated, containing antigen: a|vietnam|1194|2004 (h5n1) like strain used (nibrg-14)",2,chembl|epar
adriamycin,doxorubicin|doxorubicin hydrochloride,2,chembl|manual
adrovance,alendronate sodium|colecalciferol|alendronic acid (as sodium trihydrate),2,chembl|epar
advil,ibuprofen|ibuprofen sodium,2,chembl
adynovi,"antihemophilic factor, pegylated (mw 20000) human sequence recombinant|rurioctocog alfa pegol",2,chembl|epar
adzynma,apadamtase alfa|radamts13,2,chembl|epar
aeb071,sotrastaurin|sotrastaurin acetate,2,chembl
aegr-733,lomitapide|lomitapide mesylate,2,chembl
aerivio spiromax,fluticasone propionate|salmeterol xinafoate|fluticasone propionate,2,chembl|epar
af37702,peginesatide|peginesatide acetate,2,chembl
aflunov,a|vietnam|1194|2004|influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: a|turkey|turkey|1|05 (h5n1)-like strain (nibrg-23),2,epar
agilus,"dantrolene sodium|dantrolene sodium, hemiheptahydrate",2,chembl|epar
agn-151607,botulinum toxin type a|gemibotulinumtoxin a,2,chembl
ah252723,afoxolaner|fluralaner,2,chembl
akineton,biperiden hydrochloride|biperiden lactate,2,chembl
aldomet,methyldopa|methyldopate hydrochloride,2,chembl
alecensa,alectinib|alectinib hydrochloride,2,chembl|epar|manual
alimta,pemetrexed|pemetrexed disodium,2,chembl|epar
aliqopa,copanlisib|copanlisib dihydrochloride|copanlisib hydrochloride,3,chembl|epar|manual
alkeran,melphalan|melphalan hydrochloride,2,chembl|manual
aln-ttrsc02,vutrisiran|vutrisiran sodium,2,chembl
alpheon,interferon alfa-2a|recombinant human interferon alfa-2a,2,chembl|epar
altumomab,altumomab|indium in 111 altumomab pentetate,2,chembl
ambirix,hepatitis a virus (inactivated)|hepatitis b surface antigen|hepatitis b virus hbsag surface protein antigen,2,chembl|epar
ameile,aumolertinib|aumolertinib mesylate,2,chembl
ameluz,5-aminolevulinic acid hydrochloride|aminolevulinic acid hydrochloride,2,chembl|epar
amerol,aumolertinib|aumolertinib mesylate,2,chembl
amg 706,motesanib|motesanib diphosphate,2,chembl
amglidia,glibenclamide|glyburide,2,chembl|epar
amyvid,florbetapir (18f)|florbetapir f 18,2,chembl|epar
anavex,blarcamesine|blarcamesine hydrochloride,2,chembl
antepar,piperazine|piperazine citrate,2,chembl
apd791,temanogrel|temanogrel hydrochloride,2,chembl
aqneursa,l-acetylleucine|levacetylleucine,2,chembl|epar
aqumeldi,enalapril (maleate)|enalapril maleate,2,chembl|epar
ar-13324,netarsudil|netarsudil dimesylate,2,chembl
arepanrix,"influenza a virus, split virion|split influenza virus, inactivated, containing antigen*: a|california|7|2009 (h1n1)v like strain (x-179a)*propagated in eggs.",2,chembl|epar
ariclaim,duloxetine|duloxetine hydrochloride,2,chembl|epar
aristocort,triamcinolone|triamcinolone acetonide|triamcinolone diacetate,3,chembl
armisarte (previously pemetrexed actavis),pemetrexed diacid monohydrate|pemetrexed monohydrate,2,chembl|epar
asparaginase erwinia chrysanthemi (recombinant),asparaginase erwinia chrysanthemi|crisantaspase,2,chembl
atazanavir krka,atazanavir (as sulfate)|atazanavir sulfate,2,chembl|epar
atazanavir viatris (previously atazanavir mylan),atazanavir (as sulfate)|atazanavir sulfate,2,chembl|epar
ati-5923,tecarfarin|tecarfarin sodium,2,chembl
atosiban sun,atosiban (as acetate)|atosiban acetate,2,chembl|epar
av-951,tivozanib|tivozanib hydrochloride,2,chembl
avandamet,rosiglitazone|rosiglitazone|metformin hydrochloride,2,chembl|epar
avandia,rosiglitazone|rosiglitazone maleate,2,chembl|epar
avelox,moxifloxacin|moxifloxacin hydrochloride,2,chembl
aventyl,nortriptyline|nortriptyline hydrochloride,2,chembl
avonex,interferon beta|interferon beta-1a,2,chembl|epar
axumin,fluciclovine (18f)|fluciclovine f18,2,chembl|epar
ay-5710,magaldrate|magaldrate anhydrous,2,chembl
azilect,rasagiline|rasagiline mesylate,2,chembl|epar
bactroban,mupirocin|mupirocin calcium,2,chembl
balaxur,memantine hydrochloride|memantine hydrochloride|donepezil hydrochloride,2,chembl|epar
bbr 2778,pixantrone|pixantrone dimaleate,2,chembl
bcx-1777,forodesine|forodesine hydrochloride,2,chembl
beclometasone,beclomethasone|beclomethasone dipropionate,2,chembl
beclomethasone,beclomethasone|beclomethasone dipropionate,2,chembl
benefix,coagulation factor ix recombinant human|nonacog alfa,2,chembl|epar
besponsa,inotuzumab|inotuzumab ozogamicin,2,chembl|epar
beta-galactosidase (aspergillus),lactase|tilactase,2,chembl
betoptic,betaxolol|betaxolol hydrochloride,2,chembl
bicillin,penicillin g benzathine|procaine benzylpenicillin,2,chembl
biktarvy,bictegravir|emtricitabine|tenofovir alafenamide|bictegravir|emtricitabine|tenofovir alafenamide|fumarate,2,epar|manual
bimervax,sars-cov-2 virus recombinant spike (s) protein receptor binding domain (rbd) fusion dimer produced by recombinant dna technology|selvacovatein,2,chembl|epar
bindren,colestilan|colestilan chloride,2,chembl|epar
binosto,alendronate sodium|alendronic acid,2,chembl
bismuth subcitrate,bismuth subcitrate|bismuth subcitrate potassium,2,chembl
blenoxane,bleomycin|bleomycin sulfate,2,chembl|manual
blocadren,timolol|timolol maleate,2,chembl
bodyfolin,levomefolate calcium|levomefolic acid,2,chembl
bondenza (previously ibandronic acid roche),ibandronate sodium|ibandronic acid,2,chembl|epar
bondronat,ibandronate sodium|ibandronic acid,2,chembl|epar
bonviva,ibandronate sodium|ibandronic acid,2,chembl|epar
bortezomib accord,bortezomib|bortezomib d-mannitol,2,chembl|epar
bortezomib fresenius kabi,bortezomib|bortezomib d-mannitol,2,chembl|epar
bortezomib hospira,bortezomib|bortezomib d-mannitol,2,chembl|epar
bortezomib sun,bortezomib|bortezomib d-mannitol,2,chembl|epar
bosulif,bosutinib|bosutinib (as monohydrate)|bosutinib monohydrate,3,chembl|epar|manual
bri 7013,astodrimer|astodrimer sodium,2,chembl
bri-7013,astodrimer|astodrimer sodium,2,chembl
bri7013,astodrimer|astodrimer sodium,2,chembl
bridion,sugammadex|sugammadex sodium,2,chembl|epar
brintellix,vortioxetine|vortioxetine hydrobromide,2,chembl|epar
buccolam,midazolam|midazolam hydrochloride,2,chembl|epar
byfavo,remimazolam besilate|remimazolam besylate,2,chembl|epar
bylvay,odevixibat|odevixibat sesquihydrate,2,chembl|epar
cabometyx,cabozantinib|cabozantinib (s)-malate|cabozantinib s-malate,3,chembl|epar|manual
caelyx,doxorubicin|doxorubicin hydrochloride,2,chembl|manual
calquence,acalabrutinib|acalabrutinib maleate|acalabrutinib|acalabrutinib maleate,3,chembl|epar|manual
camcevi,leuprolide mesylate|leuprorelin mesilate,2,chembl|epar
camptosar,irinotecan|irinotecan hydrochloride,2,chembl|manual
cancidas (previously caspofungin msd),caspofungin (as acetate)|caspofungin acetate,2,chembl|epar
capromab pendetide,capromab pendetide|indium in 111 capromab pendetide,2,chembl
carphenazine,carphenazine|carphenazine maleate,2,chembl
cb-01-11,rifamycin|rifamycin sodium,2,chembl
cc-220,iberdomide|iberdomide hydrochloride,2,chembl
cea-scan,arcitumomab|technetium tc 99m arcitumomab,2,chembl|epar
cefalexin,cephalexin|cephalexin anhydrous,2,chembl
ceftobiprole medocaril,ceftobiprole medocaril free acid|ceftobiprole medocaril sodium,2,chembl
cefuroxime,cefuroxime|cefuroxime sodium,2,chembl
celestone,betamethasone|betamethasone sodium phosphate,2,chembl
celsunax,ioflupane (123i)|ioflupane i 123,2,chembl|epar
celvapan,"influenza a virus, inactivated whole virion|whole virion influenza vaccine, inactivated containing antigen of strain a|california|07|2009 (h1n1)v",2,chembl|epar
cend-1,certepetide|irgd,2,chembl
ceprotin,human protein c|protein c concentrate (human),2,chembl|epar
cerdelga,eliglustat (tartrate)|eliglustat tartrate,2,chembl|epar
certifect,amitraz|fipronil|amitraz|(s)-methoprene,2,chembl|epar
cerubidine,daunorubicin|daunorubicin hydrochloride,2,chembl|manual
cervarix,"human papillomavirus, l1 protein virus like particles|human papillomavirus1 type 16 l1 protein|human papillomavirus type 18 l1 protein",2,chembl|epar
cetraxal,ciprofloxacin|ciprofloxacin hydrochloride,2,chembl
cetrorelix,cetrorelix|cetrorelix acetate,2,chembl
cetrotide,cetrorelix|cetrorelix (as acetate)|cetrorelix acetate,3,chembl|epar
cg-315e,tramadol|tramadol hydrochloride,2,chembl
cg250,cg250 111in|cg250 177lu|girentuximab,3,chembl
champix,varenicline|varenicline tartrate,2,chembl|epar
chir-258,dovitinib|dovitinib lactate,2,chembl
chloromycetin,chloramphenicol|chloramphenicol sodium succinate,2,chembl
cholestagel,colesevelam (as hydrochloride)|colesevelam hydrochloride,2,chembl|epar
chondroitin sulfate,chondroitin sulfate|chondroitin sulfate sodium,2,chembl
cinryze,c1 inhibitor (human)|human c1-esterase inhibitor,2,chembl|epar
cipro,ciprofloxacin|ciprofloxacin hydrochloride,2,chembl
citicoline,citicoline|citicoline sodium,2,chembl
"cl 297,939",bisoprolol|bisoprolol fumarate,2,chembl
cleocin,clindamycin hydrochloride|clindamycin palmitate hydrochloride|clindamycin phosphate,3,chembl
clobetasol,clobetasol|clobetasol propionate,2,chembl
clomicalm,clomipramine|clomipramine hydrochloride,2,chembl|epar
clopidogrel 1a pharma,clopidogrel|clopidogrel besilate,2,chembl|epar
clopidogrel acino,clopidogrel|clopidogrel besilate,2,chembl|epar
clopidogrel acino pharma,clopidogrel|clopidogrel besilate,2,chembl|epar
clopidogrel acino pharma gmbh,clopidogrel|clopidogrel besilate,2,chembl|epar
clopidogrel bgr (previously zylagren),clopidogrel (as hydrogen sulfate)|clopidogrel bisulfate,2,chembl|epar
clopidogrel bms,clopidogrel (as hydrogen sulfate)|clopidogrel bisulfate,2,chembl|epar
clopidogrel dura,clopidogrel (as hydrochloride)|clopidogrel hydrochloride,2,chembl|epar
clopidogrel hcs,clopidogrel (as hydrochloride)|clopidogrel hydrochloride,2,chembl|epar
clopidogrel hexal,clopidogrel|clopidogrel besilate,2,chembl|epar
clopidogrel krka,clopidogrel (as hydrochloride)|clopidogrel hydrochloride,2,chembl|epar
clopidogrel krka d.d. (previously zopya),clopidogrel (as hydrochloride)|clopidogrel hydrochloride,2,chembl|epar
clopidogrel qualimed,clopidogrel (as hydrochloride)|clopidogrel hydrochloride,2,chembl|epar
