alias_clean,reason
placebo,placebo — handled by placebo rule not this table
toothpaste,cosmetic product
fluoride,cosmetic/dental ingredient
hydrocolloid dressing,medical device
wound dressing,medical device
dressing,medical device
bandage,medical device
catheter,medical device
stent,medical device
test product,trial blinding phrase
blinded to the test product,trial blinding phrase
blinded product,trial blinding phrase
study drug,trial blinding phrase
investigational product,non-specific trial phrase
investigational medicinal product,non-specific trial phrase
imp,non-specific trial phrase
vehicle,vehicle control not substance
vehicle control,vehicle control not substance
excipient,formulation excipient
magnesium stearate,formulation excipient
microcrystalline cellulose,formulation excipient
lactose,formulation excipient
sodium chloride,formulation excipient
sodium chloride 0.9%,formulation excipient
normal saline,formulation excipient
water for injection,formulation excipient
dose dispersion for,incomplete formulation phrase
lpa1 antagonist,mechanism class not substance
pd-1 inhibitor,mechanism class not substance
pd-l1 inhibitor,mechanism class not substance
ctla-4 inhibitor,mechanism class not substance
vegf inhibitor,mechanism class not substance
egfr inhibitor,mechanism class not substance
her2 inhibitor,mechanism class not substance
cdk4/6 inhibitor,mechanism class not substance
bcl-2 inhibitor,mechanism class not substance
parp inhibitor,mechanism class not substance
pi3k inhibitor,mechanism class not substance
mtor inhibitor,mechanism class not substance
jak inhibitor,mechanism class not substance
btk inhibitor,mechanism class not substance
braf inhibitor,mechanism class not substance
mek inhibitor,mechanism class not substance
alk inhibitor,mechanism class not substance
immunotherapy,mechanism class not substance
chemotherapy,non-specific treatment phrase
targeted therapy,non-specific treatment phrase
standard of care,non-specific treatment phrase
best supportive care,non-specific treatment phrase
not yet established,missing data
not available,missing data
not applicable,missing data
n/a,missing data
n / a,missing data
na,missing data
n.a.,missing data
n.a,missing data
-,missing data
- -,missing data
---,missing data
.,missing data
not assigned,missing data
not yet assigned,missing data
not yet assigned / not yet assigned,missing data
not yet available,missing data
none,missing data
unknown,missing data
tbd,missing data
0.9 nacl,formulation excipient
saline,formulation excipient
ringer,formulation excipient
lactated ringer,formulation excipient
dextrose,formulation excipient
glucose,formulation excipient
not available yet,missing data
not assigned yet,missing data
not yet defined,missing data
not established,missing data
not yet established,missing data
no inn or proposed inn available,missing data
no inn assigned,missing data
no inn,missing data
to be determined,missing data
to be assigned,missing data
anti-madcam antibody,mechanism class not substance
anti-il-36r monoclonal antibody,mechanism class not substance
anti-il-6r monoclonal antibody,mechanism class not substance
anti-vegf antibody,mechanism class not substance
anti-pd-1 antibody,mechanism class not substance
anti-pd-l1 antibody,mechanism class not substance
fxiia inhibitor monoclonal antibody,mechanism class not substance
monoclonal antibody,mechanism class not substance — too generic
bispecific antibody,mechanism class not substance — too generic
recombinant protein,mechanism class not substance — too generic
vlp vaccine,vaccine component — not a substance
adjuvant system,vaccine component — not a substance
powdered cellulose,formulation excipient
crospovidone,formulation excipient
povidone,formulation excipient
hydroxypropyl cellulose,formulation excipient
stearic acid,formulation excipient
talc,formulation excipient
silicon dioxide,formulation excipient
titanium dioxide,formulation excipient (tablet coating)
polyethylene glycol,formulation excipient
poloxamer,formulation excipient
carbomer,formulation excipient
carrageenan,formulation excipient
infusion,route/form descriptor — not a substance
infusie,Dutch: route/form descriptor — not a substance
injection,route/form descriptor — not a substance
infusionslösung,German: infusion solution descriptor
injektionslösung,German: injection solution descriptor
konzentrat zur herstellung einer infusionslösung,German: concentrate for solution for infusion
pour perfusion,French: for infusion — not a substance
solution pour perfusion,French: solution for infusion — not a substance
solution injectable,French: solution for injection — not a substance
oplossing voor infusie,Dutch: solution for infusion — not a substance
oplossing voor injectie,Dutch: solution for injection — not a substance
concentraat voor oplossing voor infusie,Dutch: concentrate for infusion solution — not a substance
soluzione iniettabile,Italian: solution for injection — not a substance
concentrato per soluzione per infusione,Italian: concentrate for solution for infusion — not a substance
sodio cloruro,Italian/Spanish: sodium chloride (formulation excipient)
natriumklorid fresenius kabi 9 mg,German: sodium chloride brand (formulation excipient)
pending,junk — not a substance
none yet,not a substance
not applied,not a substance
not known,not a substance
various,non-specific generic term
inn,INN is an abbreviation not a substance name
combinations,non-specific generic term
pca,prostate cancer abbreviation
ovca,ovarian cancer abbreviation
