"raw_clean","substance_clean","match_status","reason"
"gemcitabine100 mg","gemcitabine","accepted","dose glued to INN"
"5-fluorouracil","fluorouracil","accepted","numerical prefix synonym"
"5fu","fluorouracil","accepted","abbreviated synonym"
"5-fu","fluorouracil","accepted","abbreviated synonym"
"6-mercaptopurine","mercaptopurine","accepted","numerical prefix synonym"
"6mp","mercaptopurine","accepted","abbreviated synonym"
"ara-c","cytarabine","accepted","common abbreviation"
"mtx","methotrexate","accepted","common abbreviation"
"cpt-11","irinotecan","accepted","research code"
"vp-16","etoposide","accepted","research code"
"mesalazine","mesalazine","accepted","European INN (mesalamine is US name)"
"mesalamine","mesalazine","accepted","US name for mesalazine"
"colecalciferol","colecalciferol","accepted","INN (cholecalciferol is synonym)"
"cholecalciferol","colecalciferol","accepted","synonym for colecalciferol"
"acetylsalicylic acid","acetylsalicylic acid","accepted","INN for aspirin"
"aspirin","acetylsalicylic acid","accepted","common name for acetylsalicylic acid"
"glycopyrronium bromide","glycopyrronium","accepted","salt form"
"botulinum toxin","botulinum toxin type a","accepted","generic class term; type A is the clinical default"
"clostridium botulinum toxin type a","botulinum toxin type a","accepted","biological toxin INN"
"onabotulinumtoxina","botulinum toxin type a","accepted","brand-derived INN"
"abobotulinumtoxina","botulinum toxin type a","accepted","brand-derived INN"
"incobotulinumtoxina","botulinum toxin type a","accepted","brand-derived INN"
"cyclosporin","ciclosporin","accepted","variant spelling of ciclosporin"
"cyclosporine","ciclosporin","accepted","US spelling of ciclosporin"
"glibenclamide","glibenclamide","accepted","EU INN (glyburide is US name)"
"glyburide","glibenclamide","accepted","US name for glibenclamide"
"aciclovir","aciclovir","accepted","EU INN (acyclovir is US spelling)"
"acyclovir","aciclovir","accepted","US spelling of aciclovir"
"paracetamol","paracetamol","accepted","INN (acetaminophen is US name)"
"acetaminophen","paracetamol","accepted","US name for paracetamol"
"fampridine","fampridine","accepted","INN (dalfampridine is US brand-INN)"
"dalfampridine","fampridine","accepted","US name for fampridine"
"flucloxacillin","flucloxacillin","accepted","INN (floxacillin is synonym)"
"floxacillin","flucloxacillin","accepted","synonym for flucloxacillin"
"adrenaline","adrenaline","accepted","INN (epinephrine is US name)"
"epinephrine","adrenaline","accepted","US name for adrenaline"
"noradrenaline","noradrenaline","accepted","INN (norepinephrine is US name)"
"norepinephrine","noradrenaline","accepted","US name for noradrenaline"
"salbutamol","salbutamol","accepted","INN (albuterol is US name)"
"albuterol","salbutamol","accepted","US name for salbutamol"
"human normal immunoglobulin","human normal immunoglobulin","accepted","INN for pooled immunoglobulin"
"ivig","human normal immunoglobulin","accepted","abbreviation for intravenous immunoglobulin"
"cisplatino","cisplatin","accepted","Spanish/Italian INN variant for cisplatin"
"oxaliplatino","oxaliplatin","accepted","Spanish/Italian INN variant for oxaliplatin"
"capecitabina","capecitabine","accepted","Spanish/Italian INN variant for capecitabine"
"lamivudina","lamivudine","accepted","Spanish/Italian INN variant for lamivudine"
"emtricitabina","emtricitabine","accepted","Spanish/Italian INN variant for emtricitabine"
"paracetamolo","paracetamol","accepted","Italian INN variant for paracetamol"
"acido acetilsalicilico","acetylsalicylic acid","accepted","Italian/Spanish for acetylsalicylic acid"
"rifampin","rifampicin","accepted","USAN name for rifampicin (INN)"
"ethinylestradiol","ethinylestradiol","accepted","INN (no space variant normalisation)"
"calcipotriene","calcipotriol","accepted","USAN name for calcipotriol (INN)"
"peginterferon alfa 2b","peginterferon alfa-2b","accepted","space instead of hyphen before 2b"
"nab-paclitaxel","paclitaxel","accepted","albumin-bound formulation; INN is paclitaxel"
"human thrombin","thrombin","accepted","human-derived thrombin maps to INN thrombin"
"dexamethason","dexamethasone","accepted","German spelling of dexamethasone"
"leucovorin","folinic acid","accepted","brand/common name for folinic acid"
"leucovorin calcium","folinic acid","accepted","salt/brand form; INN is folinic acid"
"calcium folinate","folinic acid","accepted","salt form of folinic acid"
"calcium levofolinate","levoleucovorin","accepted","calcium salt of levo-folinic acid; INN is levoleucovorin"
"lidocaine hydrochloride","lidocaine","accepted","hydrochloride salt; INN is lidocaine"
"carbo-cell","carboplatin","accepted","brand name for carboplatin"
"pertactin","pertactin","accepted","B. pertussis outer membrane protein (vaccine antigen); prevent false fuzzy-match to penetratin"
"same","ademetionine","accepted","SAMe abbreviation for S-adenosylmethionine (ademetionine)"
"insulin isophane","insulin isophane","accepted","NPH insulin; INN is insulin isophane (not insulin human)"
"insulin aspartat","insulin aspart","accepted","Danish/German spelling of insulin aspart"
"insulin aspartate","insulin aspart","accepted","variant spelling of insulin aspart"
"insulin glargin","insulin glargine","accepted","German spelling of insulin glargine"
"insulin glargine u-300","insulin glargine","accepted","high-concentration formulation; INN is insulin glargine"
