alias_clean,substance_clean,alias_type,source,confidence_prior
california,influenza vaccine,reviewed_queue,llm_reviewed,1
wisconsin,influenza vaccine,reviewed_queue,llm_reviewed,1
malaysia,influenza vaccine,reviewed_queue,llm_reviewed,1
haemagglutinin from a,influenza vaccine,reviewed_queue,llm_reviewed,1
haemagglutinin from b,influenza vaccine,reviewed_queue,llm_reviewed,1
brisbane,influenza vaccine,reviewed_queue,llm_reviewed,1
carboplatino,carboplatin,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 4,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 6b,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
new caledonia,influenza vaccine,reviewed_queue,llm_reviewed,1
"influenza, purified antigen",influenza vaccine,reviewed_queue,llm_reviewed,1
fluorouracile,fluorouracil,reviewed_queue,llm_reviewed,1
abt-450,paritaprevir,reviewed_queue,llm_reviewed,1
bay 1841788,darolutamide,reviewed_queue,llm_reviewed,1
follitropin alfa,follitropin alfa,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 14,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 23f,pneumococcal polysaccharide vaccine,reviewed_queue,llm_reviewed,1
hydroxycarbamide,hydroxyurea,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 1,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
jnj-61186372,amivantamab,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 9v,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 18c,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 19f,pneumococcal polysaccharide vaccine,reviewed_queue,llm_reviewed,1
pertussis toxoid,pertussis vaccine,reviewed_queue,llm_reviewed,1
human fibrinogen,"fibrinogen, human",reviewed_queue,llm_reviewed,1
prednisolon,prednisolone,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 6a,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
filamentous haemagglutinin,filamentous haemagglutinin,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 3,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 5,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 7f,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 19a,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
timolol maleate,timolol,reviewed_queue,llm_reviewed,1
vilanterol trifenatate,vilanterol,reviewed_queue,llm_reviewed,1
abbv-066,risankizumab,reviewed_queue,llm_reviewed,1
bay 94-8862,finerenone,reviewed_queue,llm_reviewed,1
karxt,xanomeline|trospium,reviewed_queue,llm_reviewed,1
enoxaparin,enoxaparin sodium,reviewed_queue,llm_reviewed,1
endoxan,cyclophosphamide,reviewed_queue,llm_reviewed,1
victoria,influenza vaccine,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 3,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 5,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
5-fu medac 50 mg,fluorouracil,reviewed_queue,llm_reviewed,1
oxaliplatine,oxaliplatin,reviewed_queue,llm_reviewed,1
tioguanine,thioguanine,reviewed_queue,llm_reviewed,1
desametasone,dexamethasone,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 1,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 4,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 6a conjugated to crm197,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 18c,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
vay736,ianalumab,reviewed_queue,llm_reviewed,1
abt-493,glecaprevir,reviewed_queue,llm_reviewed,1
abt-530,pibrentasvir,reviewed_queue,llm_reviewed,1
filamentous haemagglutinin,filamentous haemagglutinin,reviewed_queue,llm_reviewed,1
gemcitabina,gemcitabine,reviewed_queue,llm_reviewed,1
ropivacain,ropivacaine,reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 5 conjugated to crm197,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 1 conjugated to crm197,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
pneumococcal polysaccharide serotype 3 conjugated to crm197,pneumococcal polysaccharide conjugate vaccine (adsorbed),reviewed_queue,llm_reviewed,1
