raw_substance,active_substance_clean,match_status,match_score,match_source,match_reason,n_occurrences
Recombinant Neisseria meningitidis group B NadA protein,Recombinant adamts13,review,85,fuzzy:llm_reviewed,fuzzy match (jw similarity 85%),13
JNJ-73841937,NA,unknown,0,NA,no reliable match,9
mRNA-4157,Mln-0415,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),9
P-Tabletten weiß 7 mm Lichtenstein,NA,unknown,0,NA,no reliable match,9
JZP598,NA,unknown,0,NA,no reliable match,9
BNT327,NA,unknown,0,NA,no reliable match,9
AAV2,NA,unknown,0,NA,no reliable match,8
XPF-010,Bmx-010,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),8
Diamyd,NA,unknown,0,NA,no reliable match,7
Bendatax 6 mg,Bendazac,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),7
IMVT-1402,Mvt-1075,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),7
Heliox21,NA,unknown,0,NA,no reliable match,6
PolyO-2-hydroxyethylstarch,NA,unknown,0,NA,no reliable match,6
NBI-1065845,Bi-1206,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),6
TAK-861,Tak-186,review,93,fuzzy:chembl,fuzzy match (jw similarity 93%),6
BENDAFOLIN 10 mg,Bendazol,review,86,fuzzy:chembl,fuzzy match (jw similarity 86%),6
SAR439774,Sar-439459,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),5
BCX9930,NA,unknown,0,NA,no reliable match,5
JNJ-75276617,NA,unknown,0,NA,no reliable match,5
ESK-001,Kb-001,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),5
BJT-778,Bt-1718,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),5
INTESTIFIX 001,NA,unknown,0,NA,no reliable match,5
PRAX-628,NA,unknown,0,NA,no reliable match,5
EXL01,NA,unknown,0,NA,no reliable match,5
JNJ-17000139,NA,unknown,0,NA,no reliable match,5
ASP8951,Asp-9521,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),5
KarX-EC,NA,unknown,0,NA,no reliable match,5
"1,6-glucan",NA,unknown,0,NA,no reliable match,4
NGR-hTNF,NA,unknown,0,NA,no reliable match,4
Vacc-10,Apc-100,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),4
Vacc-11,Cc-115,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),4
Vacc-12,NA,unknown,0,NA,no reliable match,4
Vacc-13,NA,unknown,0,NA,no reliable match,4
"1 4R,5R-4,5-dihydroxy-N2-4-pentyloxy1,1:4,1 -terphenyl-4-ylcarbonyl-L-ornithine echinocandin B",NA,unknown,0,NA,no reliable match,4
SIAC,NA,unknown,0,NA,no reliable match,4
FLUCIS,NA,unknown,0,NA,no reliable match,4
Iron,NA,unknown,0,NA,no reliable match,4
UVEDOSE,NA,unknown,0,NA,no reliable match,4
AP1189 Tablet,Resomelagon acetate,review,63,chembl,alias match (chembl_synonym): 'ap1189' → 'resomelagon acetate',4
BAY 734506,NA,unknown,0,NA,no reliable match,4
CHF6001 DPI,Tranimilast,review,63,chembl,alias match (chembl_synonym): 'chf6001' → 'tranimilast',4
INCB099280,Incb-059872,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),4
AloCelyvir,Acyclovir,unknown,81,fuzzy:manual,fuzzy match (jw similarity 81%),4
AZD7789,Azd-8797,review,89,fuzzy:chembl,fuzzy match (jw similarity 89%),4
Benda-5 FU 50 mg,NA,unknown,0,NA,no reliable match,4
AZD0780,Azd-1080,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),4
EHSG-KF,NA,unknown,0,NA,no reliable match,4
AZD0901,Azd7009,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),4
BHV-7000,NA,unknown,0,NA,no reliable match,4
REGN7508,Regn-728,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),4
ALKS 2680,NA,unknown,0,NA,no reliable match,4
SAR443765,Sar-441236,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),4
ITI-1284,NA,unknown,0,NA,no reliable match,4
To be confirmed,NA,unknown,0,NA,no reliable match,3
dose,NA,unknown,0,NA,no reliable match,3
Cerebrolysin,NA,unknown,0,NA,no reliable match,3
Other antineoplastic agents,NA,unknown,0,NA,no reliable match,3
HRV vaccine live,NA,unknown,0,NA,no reliable match,3
h transdermal patch,NA,unknown,0,NA,no reliable match,3
"PS-PD for serotypes 1,4,5,6B,7F,9V,14,23F PS-TT for 18C PS-DT for 19F",NA,unknown,0,NA,no reliable match,3
"99H1N1-like virus, A",NA,unknown,0,NA,no reliable match,3
"N.N-Decan-1,10 decandiyldi-14H-pyridinyl-4-ylidenebis-1-octanaminedihydrochloride",NA,unknown,0,NA,no reliable match,3
TroVax,Trovafloxacin,unknown,82,fuzzy:epar,fuzzy match (jw similarity 82%),3
PSD506,NA,unknown,0,NA,no reliable match,3
2004-like virus,NA,unknown,0,NA,no reliable match,3
OTHER ANTINEOPLASTIC AGENTS,NA,unknown,0,NA,no reliable match,3
Sunphenon,NA,unknown,0,NA,no reliable match,3
VSL3,NA,unknown,0,NA,no reliable match,3
G-CSF,NA,unknown,0,NA,no reliable match,3
"--trans-3-5,6-dihydro-4H-pyrrolo 3,2,1-ij quinolin-1yl-41H-indo-3-yl pyrrolidine-2, 5-dione",NA,unknown,0,NA,no reliable match,3
Cocktail of recombinant major allergens of Phleum pratense,NA,unknown,0,NA,no reliable match,3
PLASMA,Plasmin,review,85,fuzzy:llm_reviewed,fuzzy match (jw similarity 85%),3
MSV,NA,unknown,0,NA,no reliable match,3
CNTO888,NA,unknown,0,NA,no reliable match,3
"Soluble Beta-1,3",Solasulfone,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),3
BI 1744 5.0 g Solution for Inhalation,NA,unknown,0,NA,no reliable match,3
