raw_substance,n_trials
ml soluzione iniettabile,18
ml Lösung zur Injektion,10
ml soluzione per infusione,10
TBD,9
ml injeksjons-,7
"ml neusspray, oplossing",7
2 ml soluzione iniettabile,5
Diluyente. Solucin salina Fenolada Glicerinada,5
"infuusioneste, liuos",4
ml Pricktestlösung,4
"0,4 ml solution injectable en seringue préremplie",3
"0,45 ml, solution injectable en seringue préremplie",3
0.9% w,3
1 ml soluzione iniettabile,3
1.1-70 × 106 cells,3
125 mg comprimidos recubiertos con película EFG,3
"2,5 ml, solution pour inhalation par nébuliseur",3
"22 micrograms inhalation powder, pre-dispensed",3
24 uur,3
25 mg oral lyophilisate,3
35 mg oral lyophilisate,3
50 mg oral lyophilisate,3
HNO,3
Prick Test LETI Negativkontrolle Pricktestlösung,3
"Sprühstoß Nasenspray, Suspension",3
adjuvanted,3
dose KwikPen solution for injection in pre-filled pen,3
"dose nesespray, oppløsning",3
"puff inhalationsspray, suspension",3
"0,4 ml, solution injectable en seringue préremplie",2
"0,5 ml, solution injectable en seringue préremplie",2
0.9% (w,2
1 ml Soluzione iniettabile”,2
100 ml Onco-Tain solution injectable,2
125 mg Filmtabletten,2
2 ml soluție injectabilă,2
"2,5 mg cápsulas duras.",2
"200 mg ADULTES, poudre pour solution injectable",2
200 mg polvo para solución inyectable y para perfusión EFG,2
"3 mg tabletti, kalvopäällysteinen",2
50 ml soluzione per infusione,2
Belgium,2
Diluyente. Solucin salina fenolada glicerinada,2
USP,2
Unavailable,2
"g, gel oftálmico en envase unidosis",2
infundiranje,2
infusie of rectale toediening,2
"ml 54 mg, Pulver und Lösungsmittel zur Herstellung einer Suspension",2
ml Lösung zur Modifikation einer Blutfraktion,2
"ml infuusioneste, liuos",2
"ml innrennslislyf, lausn",2
ml soluzione orale,2
ml spinaal,2
ml šķīdums injekcijām,2
"ml, Soluzione per iniezione o infusione",2
"ml, sirop",2
ongoing,2
per infusione.,2
souche,2
HAEMOPHILUS INFLUENZAE,2
-Biotin and CD19 Systems.,1
-anionen 153 mval,1
"0,03 mg omhulde tabletten",1
"0,035mg, Compresse",1
"0,15 mg Filmtabletten",1
"0,25 g infuusiokuiva-aine, liuosta varten",1
"0,30 ml, solution injectable en stylo prérempli",1
"0,5 g infuusiokuiva-aine, liuosta varten",1
"0,5 g polvo para solución para perfusión EFG",1
"0,5 g por oldatos infúzióhoz",1
"0,5 mg filmdragerade tabletter",1
"0,6 ml, solution injectable (S.C.) en seringue pré-remplie",1
"0,75 ml, solution injectable en seringue pré-remplie",1
"0,9% w",1
0.5 mg Sublingualtabletten,1
0.7% (w,1
0.9 % w,1
"1,25 mg, dispergerbara tabletter för dosdispenser",1
"10 Solution.
•	Pharmaceutical form: solution (oil)
•	Route of administration: oral
•	Storage: Store tightly closed below 25°C and protected from light like the verum form.
•	Country of origin: Italy.",1
10 mg cápsulas duras,1
10 mg cápsulas duras de liberación modificada,1
10 mg cápsulas duras.,1
"100 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE",1
100 mg filmomhulde tabletten,1
100 mg granules in sachet,1
100 ml soluzione per infusione,1
"100000 IU, pessaries",1
"12 microgram per dosis, inhalatiepoeder",1
125 mg apvalkotās tabletes,1
150 mg comprimidos recubiertos con película,1
"150 mg, comprimé enrobé",1
"16 h system transdermalny, plaster",1
2 mg comprimés sublinguaux,1
2 ml Soluzione iniettabile”,1
2 ml soluzione iniettabile”,1
"2,5 microgramos, solución para inhalación",1
"2,5 ml soluzione orale",1
"2,5 ml, solution pour inhalation par nébuliseur en récipient unidose",1
20 cm2,1
20 ml soluzione per infusione,1
200 IU Chewable Tablet,1
"200 mg i.v., poeder voor oplossing voor intraveneuze infusie",1
20mL Soluzione Iniettabile,1
24 timer depotplaster,1
"24 timer, depotplaster.",1
24 timmar intrauterint inlägg,1
"24 uur, pleisters voor transdermaal gebruik 4 mg",1
"24 uur, pleisters voor transdermaal gebruik 8 mg",1
24-Stunden-Pflaster,1
245 mg filmdragerade tabletter,1
24h,1
"25
mg FDC
tablets",1
"3 g, gel vaginal",1
"30 Mikrogramm, überzogene Tabletten",1
300 mg comprimés pelliculés,1
300 mg oldatos infúzió,1
"325 mg, comprimé pelliculé",1
325mg suspensie voor oraal gebruik in sachet.,1
4 ml Soluzione iniettabile,1
"4,5 microgramos",1
40 cm2,1
400 mg kauwtabletten,1
400 mg par 10 ml suspension buvable,1
"400 mg per 4,3 ml suspensie voor oraal gebruik",1
"5 micrograms pressurised inhalation, suspension",1
5 ml Soluzione orale,1
5 ml polvere per sospensione orale,1
5 ml soluzione per infusione,1
5 ml sospensione orale,1
"5 ml, sirop",1
"50 mg nourrissons et enfants, poudre pour solution injectable (I.V.)",1
500 mg FDC,1
500 mg polvo para solución para perfusión EFG,1
"500 mg, polvo para solución para perfusión",1
5ml sospensione orale gusto arancia senza zucchero,1
"6 microgrammes par dose, poudre pour inhalation.",1
"6 microgrammes par inhalation, poudre pour inhalation",1
6 microgramos por inhalación polvo para inhalación,1
7 ml soluzione orale,1
80 mg granules in sachet,1
80 mg tuggutöflur,1
800 IU chewable tablets,1
A complex,1
"ACE INHIBITORS, PLAIN",1
ACE inhibitors,1
"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",1
ANTIMETABOLITES,1
"ARNi, and a MRA",1
ASSOCIAZIONI VARIE,1
AUSTRIA,1
Agujas,1
Alpha blockers,1
Anti-Depressants,1
Anti-depressants,1
Antibacterial for systemic use,1
Antibacterials for systemic use,1
Apherese DRK Blutspendedienst,1
Austria,1
Barilla Pastasauce with basil,1
Basis voor SDD suspensie,1
Beta Blockers,1
C09AA,1
C09CA,1
CARDIOPLEGIA SOLUTIONS,1
Cadisco Tomatojuice,1
Cell Bandage,1
Clostridium type A toxin - hemagglutinin complex.,1
DARWIN,1
DC Bead,1
DIRECT ACTING ANTIVIRALS,1
DISCI-Studie,1
Darwin,1
Diluyente.Solucin Salina Fenolada Glicerinada,1
Dosis Pulver zur Inhalation,1
"Dosis, einzeldosiertes Pulver zur Inhalation",1
ELAD,1
"Elektrolyt-Infusionslösung 153
Gesamtkationen",1
Elpenhaler,1
Emollients and protectives,1
"Encapsulation of microcrystalline cellulose
into HPMC capsules to match the CRD-4730 active capsules in appearance",1
"External):
P5D21A04B | L018661
Site of manufacturing (name and 
site):
Sharp Packaging Solutions, Allentown, US
Date of bulk manufacture: 01-Nov-2021
Shelf life: 60 months
Storage conditions: Store below 30°C
Sponsor name: Sahlgrenska University Hospital Östra Hospital
Sponsor study reference: ESR-19-20262, (D9484C00005), (OPRA-HF) 
EUDRACT number 2020-005176-3",1
FERTYPHARM TEST,1
First generation anti-psychotic drugs,1
H-116PI-DE.pdf,1
H-116PI-de.pdf,1
Homeopathic remedies,1
"Inert refined sunflower oil (998mg) provided in 1000mg fill-weight oblong 20 soft capsules. Other ingredients: 2 mg dl-alpha-tocopherol (antioxidant), red iron oxide (for colorisation), and liquid peach flavour (for aromatization).",1
IronIII-Hydrixide Polymaltose Complex 100mg and Folic acid 0.4mg,1
Isotonic electrolyte solution,1
Isotonic solutions,1
It is a NS3-4A protease inhibitor reduces the amount of hepatitis C virus,1
L01XX,1
Linola Fett,1
MK-6024_PBO_0.5mL,1
ML SOLUZIONE INIETTABILE 5 FIALE  1 ML,1
MUGARD,1
Matches test film-coated tablets,1
Modified recombinant botulinum neurotoxin serotype A,1
N 250 I.E. Pulver und Lösungsmittel zur Herstellung einer Injektionslösung,1
N-Acetyl-GED-0507-34-Levo corresponding vehicle,1
N-acetyl-ged-0507-34-levo corresponding vehicle,1
NEUROFARMAGEN,1
No proposed INN,1
No proposed INN available,1
No recommended International Nonproprietary Name INN,1
Normal Saline or Dextrose,1
Normal saline or dextrose,1
ORAL CONTRACEPTIVE,1
"Oral Solution. Each bottle contains 10 ml of solution with the following composition: Sorbitol liquid (70%), Methyl parahydorxybenzoate, Propyl parahydroxybenzoate, Saccharin Sodium, Sour black cherry flavouring, Purified water.",1
"Oral solution: Purified water, Methyl Parahydroxybenzoate (Nipagin), Propyl Parahydroxybenzoate(Nipasol).",1
PAR,1
PERITONEAL Dialytics,1
PFIZER,1
PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,1
Pasta Antibitica Tpica PAT,1
Patchinga Freestyle Libre 3 Patch,1
Peregrine System™ Kit,1
Pfizer,1
Ph. Eur.,1
Posterisan corte Placebozpfchen,1
Powder and solvent for prolongedrelease suspension for injection in pre-filled pen,1
"Pre-filled pen containing 2.16mL solution, subcutaneous injection",1
Preserved water,1
Protease Inhibitors all licenced PIs allowed per the protocol,1
Protease inhibitors,1
Rectal bacteriotherapy instillation,1
Route of administration: Oral use,1
Saliva Natura,1
Schweppes™,1
Second generation anti-psychotic drugs,1
"Sirupus simplex 30mL followed by 15mL after two hours, at one study visit",1
Syrspend oraaliliuos,1
Tap water,1
ToothGuide,1
UROLOGICALS,1
"V, liquide pour inhalation par vapeur",1
Vasodilators,1
