cache_key,block_id,model_id,prompt_version,cluster_no,canonical,salt_form,brand,substance_type,raw_substance,confidence,reason,decided_at_utc,batch_id
66bd84293335e2e87d669730ba22f5b3e6e6ea1d3163b2706ae713ba7bfb11b9,sblk_00001,claude-opus-5,substance-mint-v2,1,A/California/7/2009 (H1N1),NA,NA,vaccine,California,0.75,Bare 'California' denotes the influenza A/California strain antigen used in vaccines; both spellings are the same component.,2026-08-19T06:54:32Z,NA
66bd84293335e2e87d669730ba22f5b3e6e6ea1d3163b2706ae713ba7bfb11b9,sblk_00001,claude-opus-5,substance-mint-v2,1,A/California/7/2009 (H1N1),NA,NA,vaccine,CALIFORNIA,0.75,Bare 'California' denotes the influenza A/California strain antigen used in vaccines; both spellings are the same component.,2026-08-19T06:54:32Z,NA
9f4024299ffce725369c6baa1b528d4fa855e2c332819b574a2d5aec7dee5872,sblk_00001,claude-opus-5,substance-mint-v3,1,A/California influenza strain,NA,NA,vaccine,California,0.7,Bare geographic word denotes influenza vaccine strain A/California; both spellings same component.,2026-08-20T11:12:06Z,msgbatch_01DvhyyUsqtEdAM1b4DXLJNR
9f4024299ffce725369c6baa1b528d4fa855e2c332819b574a2d5aec7dee5872,sblk_00001,claude-opus-5,substance-mint-v3,1,A/California influenza strain,NA,NA,vaccine,CALIFORNIA,0.7,Bare geographic word denotes influenza vaccine strain A/California; both spellings same component.,2026-08-20T11:12:06Z,msgbatch_01DvhyyUsqtEdAM1b4DXLJNR
77fae8152990e7f56dc7a24b2155cd5957307c9c81b9da82fe46361877103c05,sblk_00002,claude-opus-5,substance-mint-v2,1,Influenza A haemagglutinin,NA,NA,vaccine,Haemagglutinin from A,0.85,Influenza type A haemagglutinin antigen,2026-08-19T06:52:41Z,NA
77fae8152990e7f56dc7a24b2155cd5957307c9c81b9da82fe46361877103c05,sblk_00002,claude-opus-5,substance-mint-v2,1,Influenza A haemagglutinin,NA,NA,vaccine,Haemagglutinin strain A,0.85,Influenza type A haemagglutinin antigen,2026-08-19T06:52:41Z,NA
77fae8152990e7f56dc7a24b2155cd5957307c9c81b9da82fe46361877103c05,sblk_00002,claude-opus-5,substance-mint-v2,1,Influenza A haemagglutinin,NA,NA,vaccine,Haemagglutinin A,0.85,Influenza type A haemagglutinin antigen,2026-08-19T06:52:41Z,NA
04848eb21daa604d0e4a14a2bd6274eb12ed40786be976645ab72114f075224a,sblk_00002,claude-opus-5,substance-mint-v3,1,Influenza A haemagglutinin,NA,NA,vaccine,Haemagglutinin from A,0.8,Influenza A haemagglutinin antigen,2026-08-20T11:12:05Z,msgbatch_01DvhyyUsqtEdAM1b4DXLJNR
04848eb21daa604d0e4a14a2bd6274eb12ed40786be976645ab72114f075224a,sblk_00002,claude-opus-5,substance-mint-v3,1,Influenza A haemagglutinin,NA,NA,vaccine,Haemagglutinin strain A,0.8,Influenza A haemagglutinin antigen,2026-08-20T11:12:05Z,msgbatch_01DvhyyUsqtEdAM1b4DXLJNR
04848eb21daa604d0e4a14a2bd6274eb12ed40786be976645ab72114f075224a,sblk_00002,claude-opus-5,substance-mint-v3,1,Influenza A haemagglutinin,NA,NA,vaccine,Haemagglutinin A,0.8,Influenza A haemagglutinin antigen,2026-08-20T11:12:05Z,msgbatch_01DvhyyUsqtEdAM1b4DXLJNR
77fae8152990e7f56dc7a24b2155cd5957307c9c81b9da82fe46361877103c05,sblk_00002,claude-opus-5,substance-mint-v2,2,Influenza B haemagglutinin,NA,NA,vaccine,Haemagglutinin from B,0.85,NA,2026-08-19T06:52:41Z,NA
77fae8152990e7f56dc7a24b2155cd5957307c9c81b9da82fe46361877103c05,sblk_00002,claude-opus-5,substance-mint-v2,2,Influenza B haemagglutinin,NA,NA,vaccine,Haemagglutinin strain B,0.85,NA,2026-08-19T06:52:41Z,NA
04848eb21daa604d0e4a14a2bd6274eb12ed40786be976645ab72114f075224a,sblk_00002,claude-opus-5,substance-mint-v3,2,Influenza B haemagglutinin,NA,NA,vaccine,Haemagglutinin from B,0.8,NA,2026-08-20T11:12:05Z,msgbatch_01DvhyyUsqtEdAM1b4DXLJNR
04848eb21daa604d0e4a14a2bd6274eb12ed40786be976645ab72114f075224a,sblk_00002,claude-opus-5,substance-mint-v3,2,Influenza B haemagglutinin,NA,NA,vaccine,Haemagglutinin strain B,0.8,NA,2026-08-20T11:12:05Z,msgbatch_01DvhyyUsqtEdAM1b4DXLJNR
77fae8152990e7f56dc7a24b2155cd5957307c9c81b9da82fe46361877103c05,sblk_00002,claude-opus-5,substance-mint-v2,3,Botulinum toxin type A-haemagglutinin complex,NA,NA,biologic,Clostridium botulinum type A toxin - haemagglutinin complex,0.93,NA,2026-08-19T06:52:41Z,NA
77fae8152990e7f56dc7a24b2155cd5957307c9c81b9da82fe46361877103c05,sblk_00002,claude-opus-5,substance-mint-v2,3,Botulinum toxin type A-haemagglutinin complex,NA,NA,biologic,Botulinum toxin type A - haemagglutinin complex,0.93,NA,2026-08-19T06:52:41Z,NA
