raw_substance,reason
Film-Coated Tablet without JNJ-77242113,placebo/dosage-form description
400 mg par 10 ml suspension buvable,dosage form text only
1.1-70 × 106 cells,
"ml neusspray, oplossing","Dosage form language only (nasal spray, solution)"
"verstuiving, neusspray, suspensie",Dosage form language only
200 mg polvo para solución inyectable y para perfusión EFG,dosage form only
"0,5 g polvo para solución para perfusión EFG",dosage form only
500 mg polvo para solución para perfusión EFG,dosage form only
"500 mg, polvo para solución para perfusión",dosage form only
"different combinations of full optimal doses of betablockers, ACEi","Study arm/treatment strategy description, not a single substance"
Diluyente. Solucin salina Fenolada Glicerinada,"All three strings are the same diluent (phenolated glycerinated saline) used for allergen extracts; it is a vehicle, not an active substance."
Diluyente. Solucin salina fenolada glicerinada,"All three strings are the same diluent (phenolated glycerinated saline) used for allergen extracts; it is a vehicle, not an active substance."
Diluyente.Solucin Salina Fenolada Glicerinada,"All three strings are the same diluent (phenolated glycerinated saline) used for allergen extracts; it is a vehicle, not an active substance."
recombinant antibody,Too vague to identify
"325 mg, comprimé pelliculé",
"Inert refined sunflower oil (998mg) provided in 1000mg fill-weight oblong 20 soft capsules. Other ingredients: 2 mg dl-alpha-tocopherol (antioxidant), red iron oxide (for colorisation), and liquid peach flavour (for aromatization).",Placebo capsule description
Prick Test LETI Negativkontrolle Pricktestlösung,Negative control diluent
"ml 54 mg, Pulver und Lösungsmittel zur Herstellung einer Suspension",
N 250 I.E. Pulver und Lösungsmittel zur Herstellung einer Injektionslösung,
Various,placeholder
various ptx used in study,placeholder study-arm description
dose KwikPen solution for injection in pre-filled pen,
mL KwikPen solution for injection in a pre-filled pen,
Powder and solvent for prolongedrelease suspension for injection in pre-filled pen,
"Pre-filled pen containing 2.16mL solution, subcutaneous injection",
"ml DoubleStar, solution for injection in a pre-filled pen",
"infuusioneste, liuos",Finnish dosage form 'solution for infusion'
"ml infuusioneste, liuos",dosage language
"infuusioneste, dispersio.",dosage form dispersion for infusion
ml infuusioneste,dosage language
ml Pricktestlösung,dosage/form wording only
"0,4 ml solution injectable en seringue préremplie",
"0,45 ml, solution injectable en seringue préremplie",
"0,4 ml, solution injectable en seringue préremplie",
"0,5 ml, solution injectable en seringue préremplie",
"0,6 ml, solution injectable (S.C.) en seringue pré-remplie",
"0,75 ml, solution injectable en seringue pré-remplie",
125 mg comprimidos recubiertos con película EFG,
150 mg comprimidos recubiertos con película,
"2,5 ml, solution pour inhalation par nébuliseur",
"2,5 ml, solution pour inhalation par nébuliseur en récipient unidose",
"6 microgrammes par dose, poudre pour inhalation.",
"6 microgrammes par inhalation, poudre pour inhalation",
PAR,
24 uur,"Dosage/duration language, not a substance name"
"24 uur, pleisters voor transdermaal gebruik 4 mg","Dosage/duration language, not a substance name"
"24 uur, pleisters voor transdermaal gebruik 8 mg","Dosage/duration language, not a substance name"
"ml + 0,03 IE",
"25
mg FDC
tablets",
500 mg FDC,
It is a NS3-4A protease inhibitor reduces the amount of hepatitis C virus,"Descriptive prose, no substance named"
N-Acetyl-GED-0507-34-Levo corresponding vehicle,"Vehicle/placebo, no active substance"
N-acetyl-ged-0507-34-levo corresponding vehicle,"Vehicle/placebo, no active substance"
PFIZER,
Pfizer,
"Sprühstoß Nasenspray, Suspension","Dosage/administration language, not a substance"
"Dosis
Nasenspray, Suspension","Dosage/administration language, not a substance"
adjuvanted,"bare descriptor, no substance"
125 mg Filmtabletten,
"0,15 mg Filmtabletten",
2 ml soluție injectabilă,dosage form description
injectabila,dosage form description
"2,5 mg cápsulas duras.",dosage form only
10 mg cápsulas duras,dosage form only
10 mg cápsulas duras.,dosage form only
10 mg cápsulas duras de liberación modificada,dosage form only
"3 mg tabletti, kalvopäällysteinen",no substance name given
ml Konzentrat zur Herstellung einer Lösung zum Einnehmen.,
"ml i.v. infusievloeistof, oplossing voor infusie","Dosage/formulation language, not a substance name."
"150 mg, comprimé enrobé",
"Encapsulation of microcrystalline cellulose
into HPMC capsules to match the CRD-4730 active capsules in appearance","Placebo description, not a substance"
Vehicle (Isocyclosporin A 0 mg,
"30 Mikrogramm, überzogene Tabletten",
Powder for reconstitution for enteral administration,
Lyophilized powder for reconstitution,
TD Vaccine System,"Generic system/device label, not a specific substance"
Unavailable,placeholder text indicating no substance data provided
unavailable,placeholder text indicating no substance data provided
No proposed INN,
No proposed INN available,
no recommended INN,
infusie of rectale toediening,
"ml, oplossing voor orale of rectale toediening",
ml šķīdums injekcijām,"Dosage form language, not a substance"
ml šķīdums injekcijām vai infūzijām,"Dosage form language, not a substance"
"ml, sirop","Dosage form/packaging language, not a substance name"
"5 ml, sirop","Dosage form/packaging language, not a substance name"
"0,25 g infuusiokuiva-aine, liuosta varten",
"0,5 g infuusiokuiva-aine, liuosta varten",
"0,5 mg filmdragerade tabletter",
245 mg filmdragerade tabletter,
