cache_key,group_key,loser_id,winner_id,confidence,model_id,prompt_version,reason,decided_at_utc,batch_id
5d3facf6074aee330b31077919ebf0538e529cde25c77f223d8ba2002b495154,ent_000003|ent_002604|ent_007518,ent_007518,ent_000003,0.95,claude-opus-5,substance-consolidate-v1,NA,2026-08-20T17:45:40Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
e9f87d436c5971112563a4ac5be18f55bf252c4f01588416daa194aa7936fddf,ent_000005|ent_000006,NA,NA,NA,claude-opus-5,substance-consolidate-v1,no merges proposed (every entry stands alone),2026-08-20T17:45:38Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
e7632e1b33bac1a5d4d4c98001ce0d341c4a7208e017675cea76bd250abe7083,ent_000008|ent_012301|ent_014239,NA,NA,NA,claude-opus-5,substance-consolidate-v1,no merges proposed (every entry stands alone),2026-08-20T17:45:40Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
a6b7bfaf763e30d49422c971082c7f6ba95b84e03d220203c0edbdadbb393ad4,ent_000011|ent_009677|ent_009678,NA,NA,NA,claude-opus-5,substance-consolidate-v1,no merges proposed (every entry stands alone),2026-08-20T17:45:36Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
07b542908ed52973fb3ad4b2cfce88d37c0ccf1a6fd20fd77a5c1ad4bf3dca5c,ent_000012|ent_002840,ent_002840,ent_000012,0.9,claude-opus-5,substance-consolidate-v1,Radiolabeled tracer form of carfentanil merged into the bare name,2026-08-20T17:45:40Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
5b5d957e535a490922a2867e8458590e740957dfd40f24c3a003d2c5056ab029,ent_000014|ent_006529,ent_006529,ent_000014,0.85,claude-opus-5,substance-consolidate-v1,[18F]fluoromisonidazole is the radiolabeled form of fluoromisonidazole; bare name survives.,2026-08-20T17:45:39Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
de7528f9333292ebfb6c15d9fb2ffe3b185bd7ad4f8963677b0d6eb2d1ffd0d5,ent_000015|ent_000028,NA,NA,NA,claude-opus-5,substance-consolidate-v1,no merges proposed (every entry stands alone),2026-08-20T17:45:37Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
465c953c73b6124b9469f478085fbf14f63171c7f71366fa01c145a0cb11ffc0,ent_000026|ent_012261,NA,NA,NA,claude-opus-5,substance-consolidate-v1,no merges proposed (every entry stands alone),2026-08-20T17:45:39Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
31fd8d3db9f57b13b9b696ccf7e623664721a3921fb107692cc890b3c7748a61,ent_000029|ent_017382,NA,NA,NA,claude-opus-5,substance-consolidate-v1,no merges proposed (every entry stands alone),2026-08-20T17:45:36Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
97acca75523356497aa75fa91c3a8f229ec7aa3a53cddca85950d4358e194647,ent_000031|ent_019082,ent_019082,ent_000031,0.85,claude-opus-5,substance-consolidate-v1,2-hydroxypropyl-beta-cyclodextrin and hydroxypropyl-beta-cyclodextrin are the same excipient.,2026-08-20T17:45:39Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
50b9b1a08f1f51e95c769665c576311b70b514a10670f606c8dd76dc3f6f3acf,ent_000048|ent_017322|ent_019178,ent_000048,ent_019178,0.9,claude-opus-5,substance-consolidate-v1,NA,2026-08-20T17:45:39Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
0c389ed54f9ecd2d9981859d174a4bb25118324e3af7a483e7c62c370a05bb4c,ent_000056|ent_000769,ent_000056,ent_000769,0.92,claude-opus-5,substance-consolidate-v1,NA,2026-08-20T17:45:39Z,msgbatch_01PPA29F2bh3ai5FssZpoVQa
