loser_id,winner_id,loser_name,winner_name,salt_form,n_assigned,reason
ent_000027,ent_000026,2-(aminomethyl)phenol acetate,2-(aminomethyl)phenol,acetate,0,salt/ester rollup: '2-(aminomethyl)phenol acetate' -> '2-(aminomethyl)phenol' (acetate)
ent_000092,ent_000089,Abacavir sulfate,Abacavir,sulfate,5,salt/ester rollup: 'Abacavir sulfate' -> 'Abacavir' (sulfate)
ent_000120,ent_000119,Abetimus sodium,Abetimus,sodium,1,salt/ester rollup: 'Abetimus sodium' -> 'Abetimus' (sodium)
ent_000127,ent_000126,Abiraterone acetate,Abiraterone,acetate,6,salt/ester rollup: 'Abiraterone acetate' -> 'Abiraterone' (acetate)
ent_000129,ent_000126,Abiraterone decanoate,Abiraterone,decanoate,0,salt/ester rollup: 'Abiraterone decanoate' -> 'Abiraterone' (decanoate)
ent_000133,ent_000132,Abivertinib maleate,Abivertinib,maleate,0,salt/ester rollup: 'Abivertinib maleate' -> 'Abivertinib' (maleate)
ent_000164,ent_000163,Acalabrutinib maleate,Acalabrutinib,maleate,0,salt/ester rollup: 'Acalabrutinib maleate' -> 'Acalabrutinib' (maleate)
ent_000168,ent_000167,Acamprosate calcium,Acamprosate,calcium,3,salt/ester rollup: 'Acamprosate calcium' -> 'Acamprosate' (calcium)
ent_000178,ent_000177,Acebutolol hydrochloride,Acebutolol,hydrochloride,0,salt/ester rollup: 'Acebutolol hydrochloride' -> 'Acebutolol' (hydrochloride)
ent_000185,ent_000184,Acediasulfone sodium,Acediasulfone,sodium,0,salt/ester rollup: 'Acediasulfone sodium' -> 'Acediasulfone' (sodium)
ent_000202,ent_000201,Acesulfame potassium,Acesulfame,potassium,1,salt/ester rollup: 'Acesulfame potassium' -> 'Acesulfame' (potassium)
ent_000208,ent_000207,Acetazolamide sodium,Acetazolamide,sodium,1,salt/ester rollup: 'Acetazolamide sodium' -> 'Acetazolamide' (sodium)
ent_000217,ent_000216,Acetophenazine maleate,Acetophenazine,maleate,0,salt/ester rollup: 'Acetophenazine maleate' -> 'Acetophenazine' (maleate)
ent_000221,ent_000220,Acetosulfone sodium,Acetosulfone,sodium,0,salt/ester rollup: 'Acetosulfone sodium' -> 'Acetosulfone' (sodium)
ent_000227,ent_000226,Acetylcholine chloride,Acetylcholine,chloride,4,salt/ester rollup: 'Acetylcholine chloride' -> 'Acetylcholine' (chloride)
ent_000250,ent_000249,Aclidinium bromide,Aclidinium,bromide,8,salt/ester rollup: 'Aclidinium bromide' -> 'Aclidinium' (bromide)
ent_000256,ent_000255,Acolbifene hydrochloride,Acolbifene,hydrochloride,0,salt/ester rollup: 'Acolbifene hydrochloride' -> 'Acolbifene' (hydrochloride)
ent_000260,ent_000259,Acorafloxacin hydrochloride,Acorafloxacin,hydrochloride,0,salt/ester rollup: 'Acorafloxacin hydrochloride' -> 'Acorafloxacin' (hydrochloride)
ent_000262,ent_000261,Acoramidis hydrochloride,Acoramidis,hydrochloride,1,salt/ester rollup: 'Acoramidis hydrochloride' -> 'Acoramidis' (hydrochloride)
ent_000264,ent_000263,Acotiamide hydrochloride,Acotiamide,hydrochloride,1,salt/ester rollup: 'Acotiamide hydrochloride' -> 'Acotiamide' (hydrochloride)
ent_000272,ent_000271,Acriflavine hydrochloride,Acriflavine,hydrochloride,0,salt/ester rollup: 'Acriflavine hydrochloride' -> 'Acriflavine' (hydrochloride)
ent_000295,ent_000294,Acyclovir sodium,Acyclovir,sodium,3,salt/ester rollup: 'Acyclovir sodium' -> 'Acyclovir' (sodium)
ent_000327,ent_000326,Adenosine phosphate,Adenosine,phosphate,1,salt/ester rollup: 'Adenosine phosphate' -> 'Adenosine' (phosphate)
ent_000374,ent_000373,Afamelanotide acetate,Afamelanotide,acetate,0,salt/ester rollup: 'Afamelanotide acetate' -> 'Afamelanotide' (acetate)
ent_000380,ent_000379,Afegostat tartrate,Afegostat,tartrate,2,salt/ester rollup: 'Afegostat tartrate' -> 'Afegostat' (tartrate)
ent_000382,ent_000381,Afeletecan hydrochloride,Afeletecan,hydrochloride,0,salt/ester rollup: 'Afeletecan hydrochloride' -> 'Afeletecan' (hydrochloride)
