alias_clean,substance_clean,alias_type,source
cp-122991,prazosin,chembl_synonym,chembl
prazosin,prazosin,chembl_synonym,chembl
prazosin,prazosin,ban,chembl
prazosin,prazosin,chembl_synonym,chembl
prazosin,prazosin,chembl_synonym,chembl
prazosin,prazosin,chembl_synonym,chembl
prazosina,prazosin,chembl_synonym,chembl
prazosine,prazosin,chembl_synonym,chembl
habitrol,nicotine,trade_name,chembl
nicabate,nicotine,trade_name,chembl
nicoderm cq,nicotine,trade_name,chembl
nicopass,nicotine,trade_name,chembl
nicopatch,nicotine,trade_name,chembl
nicorette invisi,nicotine,trade_name,chembl
nicotine,nicotine,chembl_synonym,chembl
nicotine,nicotine,chembl_synonym,chembl
nicotine,nicotine,chembl_synonym,chembl
nicotine,nicotine,chembl_synonym,chembl
nicotine,nicotine,chembl_synonym,chembl
nicotine,nicotine,trade_name,chembl
nicotine,nicotine,chembl_synonym,chembl
nicotinell classic,nicotine,trade_name,chembl
nicotinell support,nicotine,trade_name,chembl
nicotinell tts 10,nicotine,trade_name,chembl
nicotinell tts 20,nicotine,trade_name,chembl
nicotinell tts 30,nicotine,trade_name,chembl
nicotrol,nicotine,trade_name,chembl
nicotrol inhaler,nicotine,trade_name,chembl
nicotrol ns,nicotine,trade_name,chembl
niquitin,nicotine,trade_name,chembl
niquitin clr,nicotine,trade_name,chembl
niquitin minis cherry,nicotine,trade_name,chembl
niquitin minis mint,nicotine,trade_name,chembl
niquitin minis orange,nicotine,trade_name,chembl
niquitin mint,nicotine,trade_name,chembl
niquitin pre-quit,nicotine,trade_name,chembl
niquitin strips mint,nicotine,trade_name,chembl
prostep,nicotine,trade_name,chembl
stoppers,nicotine,trade_name,chembl
stubit,nicotine,trade_name,chembl
1'-demethylnicotine,nornicotine,chembl_synonym,chembl
3-(2-pyrrolidinyl)-(s)-pyridine,nornicotine,chembl_synonym,chembl
nicotine related compound f,nornicotine,chembl_synonym,chembl
nornicotine,nornicotine,chembl_synonym,chembl
nornicotine,nornicotine,chembl_synonym,chembl
dl-8280,ofloxacin,chembl_synonym,chembl
exocin,ofloxacin,trade_name,chembl
floxin,ofloxacin,trade_name,chembl
floxin otic,ofloxacin,trade_name,chembl
hoe 280,ofloxacin,chembl_synonym,chembl
hoe-280,ofloxacin,chembl_synonym,chembl
j01ma01,ofloxacin,chembl_synonym,chembl
nsc-727071,ofloxacin,chembl_synonym,chembl
nsc-758178,ofloxacin,chembl_synonym,chembl
ocuflox,ofloxacin,trade_name,chembl
ofloxacin,ofloxacin,chembl_synonym,chembl
ofloxacin,ofloxacin,ban,chembl
ofloxacin,ofloxacin,chembl_synonym,chembl
ofloxacin,ofloxacin,chembl_synonym,chembl
ofloxacin,ofloxacin,chembl_synonym,chembl
ofloxacin,ofloxacin,chembl_synonym,chembl
ofloxacin,ofloxacin,chembl_synonym,chembl
ofloxacin,ofloxacin,chembl_synonym,chembl
ofloxacin,ofloxacin,trade_name,chembl
ofloxacin,ofloxacin,usan,chembl
ofloxacin,ofloxacin,chembl_synonym,chembl
ofloxacine,ofloxacin,chembl_synonym,chembl
ofloxacino,ofloxacin,chembl_synonym,chembl
tarivid,ofloxacin,trade_name,chembl
tarivid 400,ofloxacin,trade_name,chembl
tarivid i.v.,ofloxacin,trade_name,chembl
