alias_clean,substance_clean,alias_type,source
vumerity,diroximel fumarate (biib098),ema_product_name,epar
hyftor,sirolimus,ema_product_name,epar
tenkasi (previously orbactiv),oritavancin (diphosphate),ema_product_name,epar
docetaxel kabi,docetaxel,ema_product_name,epar
synjardy,empagliflozin|metformin,ema_product_name,epar
zynlonta,loncastuximab tesirine,ema_product_name,epar
thiotepa riemser,thiotepa,ema_product_name,epar
neuraceq,florbetaben (18f),ema_product_name,epar
cholib,fenofibrate|simvastatin,ema_product_name,epar
mabthera,rituximab,ema_product_name,epar
abrysvo,"respiratory syncytial virus vaccine (bivalent, recombinant)",ema_product_name,epar
breyanzi,lisocabtagene maraleucel,ema_product_name,epar
idacio,adalimumab,ema_product_name,epar
firazyr,icatibant,ema_product_name,epar
tepkinly,epcoritamab,ema_product_name,epar
comirnaty,"single-stranded, 5'-capped messenger rna produced using a cell-free in vitro transcription from the corresponding dna templates, encoding the viral spike (s) protein of sars-cov-2",ema_product_name,epar
cibinqo,abrocitinib,ema_product_name,epar
ozawade,pitolisant,ema_product_name,epar
deqtynet,oxodotreotide,ema_product_name,epar
spikevax (previously covid-19 vaccine moderna),"single-stranded, 5'-capped messenger rna (mrna) produced using a cell-free in vitro transcription from the corresponding dna templates, encoding the viral spike (s) protein of sars-cov-2",ema_product_name,epar
wakix,pitolisant,ema_product_name,epar
degarelix accord,degarelix acetate,ema_product_name,epar
ninlaro,ixazomib citrate,ema_product_name,epar
nexpovio,selinexor,ema_product_name,epar
kyprolis,carfilzomib,ema_product_name,epar
rolufta ellipta (previously rolufta),umeclidinium bromide,ema_product_name,epar
humira,adalimumab,ema_product_name,epar
leqembi,lecanemab,ema_product_name,epar
arikayce liposomal,amikacin sulfate,ema_product_name,epar
signifor,pasireotide,ema_product_name,epar
iqirvo,elafibranor,ema_product_name,epar
caprelsa,vandetanib,ema_product_name,epar
vantobra (previously tobramycin pari),tobramycin,ema_product_name,epar
kisqali,ribociclib succinate,ema_product_name,epar
loqtorzi,toripalimab,ema_product_name,epar
silapo,epoetin zeta,ema_product_name,epar
elmiron,pentosan polysulfate sodium,ema_product_name,epar
obodence,denosumab,ema_product_name,epar
bimervax,"covid-19 vaccine (recombinant, adjuvanted)",ema_product_name,epar
dzuveo,sufentanil citrate,ema_product_name,epar
vyxeos liposomal (previously vyxeos),daunorubicin hydrochloride|cytarabine,ema_product_name,epar
qinlock,ripretinib,ema_product_name,epar
somakit toc,edotreotide,ema_product_name,epar
orserdu,elacestrant,ema_product_name,epar
vitrakvi,larotrectinib sulfate,ema_product_name,epar
skyclarys,omaveloxolone,ema_product_name,epar
spinraza,nusinersen sodium,ema_product_name,epar
irbesartan hydrochlorothiazide zentiva (previously irbesartan hydrochlorothiazide winthrop),irbesartan|hydrochlorothiazide,ema_product_name,epar
leflunomide medac,leflunomide,ema_product_name,epar
twinrix adult,hepatitis a virus (inactivated)|hepatitis b surface antigen,ema_product_name,epar
orblid,bevacizumab,ema_product_name,epar
vabysmo,faricimab,ema_product_name,epar
clopidogrel zentiva (previously clopidogrel winthrop),clopidogrel,ema_product_name,epar
takhzyro,lanadelumab,ema_product_name,epar
lytenava,bevacizumab,ema_product_name,epar
opzelura,ruxolitinib,ema_product_name,epar
palsonify,paltusotine hydrochloride,ema_product_name,epar
ambirix,hepatitis a virus (inactivated)|hepatitis b surface antigen,ema_product_name,epar
twinrix paediatric,hepatitis a virus (inactivated)|hepatitis b surface antigen,ema_product_name,epar
svariya (previously rivaroxaban koanaa),rivaroxaban,ema_product_name,epar
iclusig,ponatinib,ema_product_name,epar
qoyvolma,ustekinumab,ema_product_name,epar
kaftrio,ivacaftor|tezacaftor|elexacaftor,ema_product_name,epar
multaq,dronedarone,ema_product_name,epar
aspaveli,pegcetacoplan,ema_product_name,epar
sylvant,siltuximab,ema_product_name,epar
privigen,human normal immunoglobulin (ivig),ema_product_name,epar
gilenya,fingolimod hydrochloride,ema_product_name,epar
xofigo,radium (223ra) dichloride,ema_product_name,epar
mayzent,siponimod fumaric acid,ema_product_name,epar
jascayd,nerandomilast,ema_product_name,epar
boey,trenibotulinumtoxine,ema_product_name,epar
leflunomide ratiopharm,leflunomide,ema_product_name,epar
hulio,adalimumab,ema_product_name,epar
pecfent,fentanyl,ema_product_name,epar
xtandi,enzalutamide,ema_product_name,epar
padcev,enfortumab vedotin,ema_product_name,epar
rxulti,brexpiprazole,ema_product_name,epar
itvisma,onasemnogene abeparvovec,ema_product_name,epar
trodelvy,sacituzumab govitecan,ema_product_name,epar
inflectra,infliximab,ema_product_name,epar
macitentan accord,macitentan,ema_product_name,epar
macitentan accordpharma,macitentan,ema_product_name,epar
