recorded_at_utc,pass,batch_id,model_id,n_requests,input_tokens,output_tokens,cache_read_tokens,cost_usd
2026-08-18T07:22:33Z,B_assign,sync_B_assign_20260818T072233.951,claude-sonnet-5,200,123535,15474,270839,0.4559778
2026-08-18T07:47:42Z,B_assign,sync_B_assign_20260818T074742.173,claude-sonnet-5,200,126143,16324,347454,0.4850168
2026-08-18T09:19:17Z,B_assign,msgbatch_017SqRGGFQySvkRp6bvEKxJc,claude-sonnet-5,10777,2785984,788609,17498412,8.4788702
2026-08-18T15:59:39Z,B_assign,msgbatch_01UEvNA9sujQfoHPk2yrKycS,claude-sonnet-5,4221,857576,185647,4385952,2.2244061999999998
2026-08-18T22:22:05Z,B_assign,msgbatch_01Tnya7QVMr4E1hymfKGx3A7,claude-sonnet-5,563,220935,28139,976014,0.4592314
2026-08-19T06:54:51Z,C_mint,sync_C_mint_20260819T065451.836,claude-opus-5,20,11545,14899,44137,0.4522685
2026-08-19T17:35:13Z,C_mint,msgbatch_01VUPZw8snBWJFhMBQVrcGFv,claude-opus-5,180,57800,75922,371680,1.186445
2026-08-20T11:12:06Z,C_mint,msgbatch_01DvhyyUsqtEdAM1b4DXLJNR,claude-opus-5,200,69392,89880,449312,1.409308
2026-08-20T14:37:20Z,C_mint,msgbatch_01MDVzxJ9R1XUomUqfoogHDs,claude-opus-5,3,1087,1369,5912,0.021308
2026-08-20T15:06:00Z,C_mint,msgbatch_019wNVxqVmyjbPnhmRDigT8k,claude-sonnet-5,1018,89127,152550,3006252,1.1525022
2026-08-20T16:02:13Z,C_mint,msgbatch_011AAhXm6PF8gazBfvEFxpy7,claude-sonnet-5,4001,238121,371186,11794440,3.273495
2026-08-20T16:23:43Z,C_mint,msgbatch_018Ae4uFjfv1UGifs1F4E2mX,claude-opus-5,23,2823,4626,65032,0.0811405
2026-08-20T16:37:43Z,C_mint,msgbatch_01RqGUY6ewCAdVwY2ASzyZ7F,claude-opus-5,3,1062,1277,5912,0.0200955
2026-08-20T17:12:43Z,C_mint,msgbatch_01KsnkaM5HeCV71VPpeBRJFK,claude-opus-5,17,1145,2238,47296,0.0426615
2026-08-20T17:18:30Z,D_consolidate,sync_D_consolidate_20260820T171830.306,claude-opus-5,5,1262,872,4132,0.030176
2026-08-20T17:45:41Z,D_consolidate,msgbatch_01PPA29F2bh3ai5FssZpoVQa,claude-opus-5,1522,208137,114535,1213775,2.25547375
2026-08-21T06:38:17Z,B_assign,sync_B_assign_20260821T063817.932,claude-sonnet-5,531,133589,38833,923634,0.8402348
2026-08-21T06:49:30Z,C_mint,sync_C_mint_20260821T064930.004,claude-sonnet-5,180,11074,15945,529124,0.2874228
2026-08-21T06:55:08Z,B_assign,sync_B_assign_20260821T065508.157,claude-sonnet-5,9,3351,116,0,0.007862
2026-08-21T06:55:17Z,C_mint,sync_C_mint_20260821T065517.782,claude-sonnet-5,4,385,0,0,7.7e-4
2026-08-21T07:01:51Z,B_assign,sync_B_assign_20260821T070151.326,claude-sonnet-5,7,2877,0,0,0.00575399999999999
2026-08-21T07:02:12Z,C_mint,sync_C_mint_20260821T070212.274,claude-sonnet-5,7,611,250,17736,0.0072692
2026-08-21T07:05:13Z,B_assign,sync_B_assign_20260821T070513.273,claude-sonnet-5,7,2877,0,0,0.00575399999999999
2026-08-21T07:05:22Z,C_mint,sync_C_mint_20260821T070522.386,claude-sonnet-5,4,391,0,11824,0.0031468000000000004
