entity_id,canonical,legal_entity,parent,entity_type,salt_form,brand,confidence,decided_by,decided_at_utc,model_id,prompt_version,merged_into,note
ent_000001,.Alpha.-pyrrolidinononanophenone,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,.alpha.-pyrrolidinononanophenone
ent_000002,.Alpha.-tocopheryloxyacetic acid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,.alpha.-tocopheryloxyacetic acid
ent_000003,.Alpha.1-proteinase inhibitor human,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,.alpha.1-proteinase inhibitor human
ent_000004,.Beta.-hydroxyisovaleric acid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,.beta.-hydroxyisovaleric acid
ent_000005,(-)-Epicatechin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,(-)-epicatechin
ent_000006,(+)-epicatechin,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,(+)-epicatechin
ent_000007,(+)-secoisolariciresinol,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,(+)-secoisolariciresinol
ent_000008,(D)-serine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,(d)-serine
ent_000009,(North)-methanocarbathymidine,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,(north)-methanocarbathymidine
ent_000010,(R)-ibuprophen,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,(r)-ibuprophen
ent_000011,(R)-melphalan,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,(r)-melphalan
ent_000012,[11c]-carfentanil,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,[11c]-carfentanil
ent_000013,[18f]-fba-a20fmdv2,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,[18f]-fba-a20fmdv2
ent_000014,[18f]fluoromisonidazole,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,[18f]fluoromisonidazole
ent_000015,"1-(4-(dimethylamino)piperidin-1-yl)-3-hydroxy-3-(1-methyl-1h-imidazol-2-yl)propan-1-one, (s)-",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"1-(4-(dimethylamino)piperidin-1-yl)-3-hydroxy-3-(1-methyl-1h-imidazol-2-yl)propan-1-one, (s)-"
ent_000016,1-13c-caprylic acid,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,1-13c-caprylic acid
ent_000017,"1,1'-methylenebis(4-((hydroxyimino)methyl)-pyridinium) dimethanesulfonate",,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,"1,1'-methylenebis(4-((hydroxyimino)methyl)-pyridinium) dimethanesulfonate"
ent_000018,1.alpha.-hydroxyvitamin d5,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,1.alpha.-hydroxyvitamin d5
ent_000019,1018 iss,,,,,,1,registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1,,1018 iss
