entity_id,alias,alias_type,source
ent_004839,vumerity,ema_product_name,epar
ent_014385,hyftor,ema_product_name,epar
ent_011448,tenkasi (previously orbactiv),ema_product_name,epar
ent_004893,docetaxel kabi,ema_product_name,epar
ent_005448,synjardy,ema_product_name,epar
ent_009170,zynlonta,ema_product_name,epar
ent_015572,thiotepa riemser,ema_product_name,epar
ent_006412,neuraceq,ema_product_name,epar
ent_006216,cholib,ema_product_name,epar
ent_013692,mabthera,ema_product_name,epar
ent_013493,abrysvo,ema_product_name,epar
ent_009064,breyanzi,ema_product_name,epar
ent_000307,idacio,ema_product_name,epar
ent_007684,firazyr,ema_product_name,epar
ent_005614,tepkinly,ema_product_name,epar
ent_014366,comirnaty,ema_product_name,epar
ent_000140,cibinqo,ema_product_name,epar
ent_012528,ozawade,ema_product_name,epar
ent_011603,deqtynet,ema_product_name,epar
ent_014365,spikevax (previously covid-19 vaccine moderna),ema_product_name,epar
ent_012528,wakix,ema_product_name,epar
ent_004292,degarelix accord,ema_product_name,epar
ent_008453,ninlaro,ema_product_name,epar
ent_014166,nexpovio,ema_product_name,epar
ent_002841,kyprolis,ema_product_name,epar
ent_016426,rolufta ellipta (previously rolufta),ema_product_name,epar
ent_000307,humira,ema_product_name,epar
ent_008747,leqembi,ema_product_name,epar
ent_000752,arikayce liposomal,ema_product_name,epar
ent_011830,signifor,ema_product_name,epar
ent_005290,iqirvo,ema_product_name,epar
ent_016572,caprelsa,ema_product_name,epar
ent_015859,vantobra (previously tobramycin pari),ema_product_name,epar
ent_013570,kisqali,ema_product_name,epar
ent_015978,loqtorzi,ema_product_name,epar
ent_005662,silapo,ema_product_name,epar
ent_012053,elmiron,ema_product_name,epar
ent_004368,obodence,ema_product_name,epar
ent_003869,bimervax,ema_product_name,epar
ent_014777,dzuveo,ema_product_name,epar
ent_004218,vyxeos liposomal (previously vyxeos),ema_product_name,epar
ent_013658,qinlock,ema_product_name,epar
ent_005202,somakit toc,ema_product_name,epar
ent_005285,orserdu,ema_product_name,epar
ent_008694,vitrakvi,ema_product_name,epar
ent_011306,skyclarys,ema_product_name,epar
ent_011113,spinraza,ema_product_name,epar
ent_008295,irbesartan hydrochlorothiazide zentiva (previously irbesartan hydrochlorothiazide winthrop),ema_product_name,epar
ent_008769,leflunomide medac,ema_product_name,epar
ent_007411,twinrix adult,ema_product_name,epar
ent_001974,orblid,ema_product_name,epar
ent_006095,vabysmo,ema_product_name,epar
ent_003659,clopidogrel zentiva (previously clopidogrel winthrop),ema_product_name,epar
ent_008642,takhzyro,ema_product_name,epar
ent_001974,lytenava,ema_product_name,epar
ent_013902,opzelura,ema_product_name,epar
ent_011729,palsonify,ema_product_name,epar
ent_007411,ambirix,ema_product_name,epar
ent_007411,twinrix paediatric,ema_product_name,epar
ent_013694,svariya (previously rivaroxaban koanaa),ema_product_name,epar
ent_012667,iclusig,ema_product_name,epar
ent_016492,qoyvolma,ema_product_name,epar
ent_008440,kaftrio,ema_product_name,epar
ent_005039,multaq,ema_product_name,epar
ent_011896,aspaveli,ema_product_name,epar
ent_014328,sylvant,ema_product_name,epar
ent_007534,privigen,ema_product_name,epar
