"register","raw","normalised","n_trials","changed"
"CTIS","France","France",1311,FALSE
"CTIS","Spain","Spain",915,FALSE
"CTIS","Netherlands","Netherlands",836,FALSE
"CTIS","Germany","Germany",744,FALSE
"CTIS","Italy","Italy",550,FALSE
"CTIS","Belgium","Belgium",412,FALSE
"CTIS","Denmark","Denmark",407,FALSE
"CTIS","Sweden","Sweden",254,FALSE
"CTIS","Poland","Poland",226,FALSE
"CTIS","Norway","Norway",129,FALSE
"CTIS","Austria","Austria",128,FALSE
"CTIS","Czechia","Czech Republic",119,TRUE
"CTIS","Finland","Finland",102,FALSE
"CTIS","Portugal","Portugal",99,FALSE
"CTIS","Romania","Romania",67,FALSE
"CTIS","Spain / France","France / Spain",67,TRUE
"CTIS","France / Spain","France / Spain",49,FALSE
"CTIS","Bulgaria","Bulgaria",47,FALSE
"CTIS","Greece","Greece",46,FALSE
"CTIS","Hungary","Hungary",43,FALSE
"CTIS","Spain / Italy","Italy / Spain",40,TRUE
"CTIS","Spain / Germany","Germany / Spain",37,TRUE
"CTIS","Germany / Spain","Germany / Spain",33,FALSE
"CTIS","Ireland","Ireland",33,FALSE
"CTIS","Italy / Spain","Italy / Spain",31,FALSE
"CTIS","Spain / France / Italy","France / Italy / Spain",25,TRUE
"CTIS","Spain / Poland","Poland / Spain",23,TRUE
"CTIS","France / Belgium","Belgium / France",21,TRUE
"CTIS","Germany / Austria","Austria / Germany",21,TRUE
"CTIS","Austria / Germany","Austria / Germany",19,FALSE
"CTIS","Belgium / France","Belgium / France",19,FALSE
"CTIS","Belgium / Spain","Belgium / Spain",19,FALSE
"CTIS","Italy / Germany","Germany / Italy",18,TRUE
"CTIS","France / Italy","France / Italy",17,FALSE
"CTIS","Italy / France / Spain","France / Italy / Spain",17,TRUE
"CTIS","Netherlands / Belgium","Belgium / Netherlands",17,TRUE
"CTIS","France / Germany","France / Germany",15,FALSE
"CTIS","Germany / Italy","Germany / Italy",15,FALSE
"CTIS","Germany / Poland","Germany / Poland",15,FALSE
"CTIS","Belgium / Netherlands","Belgium / Netherlands",14,FALSE
"CTIS","Germany / France","France / Germany",13,TRUE
"CTIS","Poland / Germany","Germany / Poland",13,TRUE
"CTIS","Spain / Belgium","Belgium / Spain",13,TRUE
"CTIS","Spain / Italy / France","France / Italy / Spain",13,TRUE
"CTIS","France / Spain / Italy","France / Italy / Spain",12,TRUE
"CTIS","Germany / Netherlands","Germany / Netherlands",12,FALSE
"CTIS","Italy / France","France / Italy",12,TRUE
"CTIS","Italy / Spain / France","France / Italy / Spain",11,TRUE
"CTIS","Netherlands / Spain","Netherlands / Spain",11,FALSE
"CTIS","Portugal / Spain","Portugal / Spain",11,FALSE
"CTIS","Spain / Netherlands","Netherlands / Spain",11,TRUE
"CTIS","France / Italy / Spain","France / Italy / Spain",10,FALSE
"CTIS","Latvia","Latvia",10,FALSE
"CTIS","Spain / France / Germany","France / Germany / Spain",10,TRUE
"CTIS","Spain / Portugal","Portugal / Spain",10,TRUE
"CTIS","Denmark / Spain","Denmark / Spain",9,FALSE
"CTIS","Spain / Germany / France","France / Germany / Spain",9,TRUE
"CTIS","Germany / France / Spain","France / Germany / Spain",8,TRUE
"CTIS","Italy / Spain / Germany","Germany / Italy / Spain",8,TRUE
"CTIS","Poland / Spain","Poland / Spain",8,FALSE
"CTIS","Slovakia","Slovakia",8,FALSE
"CTIS","Sweden / Denmark","Denmark / Sweden",8,TRUE
"CTIS","Sweden / Norway","Norway / Sweden",8,TRUE
"CTIS","Bulgaria / Romania","Bulgaria / Romania",7,FALSE
"CTIS","Denmark / Sweden","Denmark / Sweden",7,FALSE
"CTIS","France / Spain / Germany","France / Germany / Spain",7,TRUE
"CTIS","France / Spain / Italy / Germany","France / Germany / Italy / Spain",7,TRUE
"CTIS","Germany / Spain / France","France / Germany / Spain",7,TRUE
"CTIS","Germany / Spain / Italy","Germany / Italy / Spain",7,TRUE
"CTIS","Italy / Poland","Italy / Poland",7,FALSE
"CTIS","Italy / Spain / France / Germany","France / Germany / Italy / Spain",7,TRUE
"CTIS","Italy / Spain / Germany / France","France / Germany / Italy / Spain",7,TRUE
"CTIS","Italy / Spain / Poland","Italy / Poland / Spain",7,TRUE
"CTIS","Netherlands / France","France / Netherlands",7,TRUE
"CTIS","Poland / Italy","Italy / Poland",7,TRUE
"CTIS","Romania / Bulgaria","Bulgaria / Romania",7,TRUE
"CTIS","Spain / France / Belgium","Belgium / France / Spain",7,TRUE
"CTIS","Spain / Hungary","Hungary / Spain",7,TRUE
"CTIS","Spain / Italy / Germany","Germany / Italy / Spain",7,TRUE
"CTIS","Spain / Italy / Poland","Italy / Poland / Spain",7,TRUE
"CTIS","Estonia","Estonia",6,FALSE
"CTIS","France / Netherlands","France / Netherlands",6,FALSE
"CTIS","France / Spain / Belgium","Belgium / France / Spain",6,TRUE
"CTIS","Germany / France / Italy / Spain","France / Germany / Italy / Spain",6,TRUE
"CTIS","Netherlands / Germany","Germany / Netherlands",6,TRUE
"CTIS","Netherlands / Italy","Italy / Netherlands",6,TRUE
"CTIS","Slovenia","Slovenia",6,FALSE
"CTIS","Spain / Belgium / France","Belgium / France / Spain",6,TRUE
"CTIS","Spain / France / Germany / Italy","France / Germany / Italy / Spain",6,TRUE
"CTIS","Spain / Italy / France / Germany","France / Germany / Italy / Spain",6,TRUE
"CTIS","Belgium / France / Spain","Belgium / France / Spain",5,FALSE
"CTIS","Belgium / Poland","Belgium / Poland",5,FALSE
"CTIS","Belgium / Spain / Italy","Belgium / Italy / Spain",5,TRUE
"CTIS","Czechia / Bulgaria / Poland","Bulgaria / Czech Republic / Poland",5,TRUE
"CTIS","France / Belgium / Spain","Belgium / France / Spain",5,TRUE
"CTIS","France / Germany / Spain","France / Germany / Spain",5,FALSE
"CTIS","France / Italy / Germany / Spain","France / Germany / Italy / Spain",5,TRUE
"CTIS","Germany / Belgium","Belgium / Germany",5,TRUE
"CTIS","Germany / Italy / Spain","Germany / Italy / Spain",5,FALSE
"CTIS","Germany / Italy / Spain / France","France / Germany / Italy / Spain",5,TRUE
"CTIS","Germany / Spain / Poland","Germany / Poland / Spain",5,TRUE
"CTIS","Hungary / Poland","Hungary / Poland",5,FALSE
"CTIS","Iceland","Iceland",5,FALSE
"CTIS","Italy / Germany / France","France / Germany / Italy",5,TRUE
"CTIS","Italy / Germany / Spain","Germany / Italy / Spain",5,TRUE
"CTIS","Italy / Germany / Spain / France","France / Germany / Italy / Spain",5,TRUE
"CTIS","Netherlands / Italy / Spain","Italy / Netherlands / Spain",5,TRUE
"CTIS","Poland / Czechia","Czech Republic / Poland",5,TRUE
"CTIS","Poland / Spain / Germany","Germany / Poland / Spain",5,TRUE
"CTIS","Spain / France / Italy / Poland","France / Italy / Poland / Spain",5,TRUE
"CTIS","Belgium / Italy","Belgium / Italy",4,FALSE
"CTIS","Czechia / Poland","Czech Republic / Poland",4,TRUE
"CTIS","France / Germany / Italy / Spain","France / Germany / Italy / Spain",4,FALSE
"CTIS","France / Spain / Poland","France / Poland / Spain",4,TRUE
"CTIS","Germany / France / Spain / Italy","France / Germany / Italy / Spain",4,TRUE
"CTIS","Germany / Italy / France / Spain","France / Germany / Italy / Spain",4,TRUE
"CTIS","Germany / Spain / Netherlands","Germany / Netherlands / Spain",4,TRUE
"CTIS","Greece / Italy","Greece / Italy",4,FALSE
"CTIS","Netherlands / Belgium / Spain","Belgium / Netherlands / Spain",4,TRUE
"CTIS","Netherlands / France / Spain","France / Netherlands / Spain",4,TRUE
"CTIS","Netherlands / Spain / Italy","Italy / Netherlands / Spain",4,TRUE
"CTIS","Norway / Denmark","Denmark / Norway",4,TRUE
"CTIS","Norway / Sweden","Norway / Sweden",4,FALSE
"CTIS","Poland / Bulgaria","Bulgaria / Poland",4,TRUE
"CTIS","Poland / Italy / Spain","Italy / Poland / Spain",4,TRUE
"CTIS","Romania / Bulgaria / Poland","Bulgaria / Poland / Romania",4,TRUE
"CTIS","Spain / Belgium / Netherlands","Belgium / Netherlands / Spain",4,TRUE
"CTIS","Spain / Denmark","Denmark / Spain",4,TRUE
"CTIS","Spain / Germany / Netherlands","Germany / Netherlands / Spain",4,TRUE
"CTIS","Spain / Germany / Poland","Germany / Poland / Spain",4,TRUE
"CTIS","Spain / Greece","Greece / Spain",4,TRUE
"CTIS","Spain / Netherlands / France","France / Netherlands / Spain",4,TRUE
"CTIS","Spain / Norway","Norway / Spain",4,TRUE
"CTIS","Spain / Poland / Italy","Italy / Poland / Spain",4,TRUE
"CTIS","Spain / Romania","Romania / Spain",4,TRUE
"CTIS","Belgium / Germany","Belgium / Germany",3,FALSE
"CTIS","Belgium / Germany / Spain","Belgium / Germany / Spain",3,FALSE
"CTIS","Belgium / Spain / France / Italy","Belgium / France / Italy / Spain",3,TRUE
"CTIS","Bulgaria / Poland","Bulgaria / Poland",3,FALSE
"CTIS","Czechia / Germany","Czech Republic / Germany",3,TRUE
"CTIS","Denmark / France","Denmark / France",3,FALSE
"CTIS","Denmark / Norway","Denmark / Norway",3,FALSE
"CTIS","Denmark / Spain / France","Denmark / France / Spain",3,TRUE
"CTIS","France / Italy / Germany","France / Germany / Italy",3,TRUE
"CTIS","France / Italy / Germany / Belgium / Spain","Belgium / France / Germany / Italy / Spain",3,TRUE
"CTIS","France / Italy / Germany / Poland / Spain","France / Germany / Italy / Poland / Spain",3,TRUE
"CTIS","France / Poland","France / Poland",3,FALSE
"CTIS","France / Spain / Poland / Italy","France / Italy / Poland / Spain",3,TRUE
"CTIS","Germany / Belgium / Netherlands","Belgium / Germany / Netherlands",3,TRUE
"CTIS","Germany / Bulgaria","Bulgaria / Germany",3,TRUE
"CTIS","Germany / Denmark","Denmark / Germany",3,TRUE
"CTIS","Germany / France / Italy","France / Germany / Italy",3,TRUE
"CTIS","Germany / France / Netherlands","France / Germany / Netherlands",3,TRUE
"CTIS","Germany / Greece","Germany / Greece",3,FALSE
"CTIS","Germany / Spain / France / Italy / Poland","France / Germany / Italy / Poland / Spain",3,TRUE
"CTIS","Germany / Sweden","Germany / Sweden",3,FALSE
"CTIS","Hungary / Bulgaria / Poland","Bulgaria / Hungary / Poland",3,TRUE
"CTIS","Ireland / Spain / France","France / Ireland / Spain",3,TRUE
"CTIS","Italy / France / Belgium / Spain","Belgium / France / Italy / Spain",3,TRUE
"CTIS","Italy / France / Germany / Spain","France / Germany / Italy / Spain",3,TRUE
"CTIS","Italy / Germany / France / Spain","France / Germany / Italy / Spain",3,TRUE
"CTIS","Italy / Netherlands","Italy / Netherlands",3,FALSE
"CTIS","Italy / Poland / Spain","Italy / Poland / Spain",3,FALSE
"CTIS","Italy / Spain / France / Belgium","Belgium / France / Italy / Spain",3,TRUE
"CTIS","Lithuania","Lithuania",3,FALSE
"CTIS","Luxembourg","Luxembourg",3,FALSE
"CTIS","Netherlands / Denmark","Denmark / Netherlands",3,TRUE
"CTIS","Netherlands / France / Belgium","Belgium / France / Netherlands",3,TRUE
"CTIS","Netherlands / Spain / France","France / Netherlands / Spain",3,TRUE
"CTIS","Netherlands / Spain / France / Italy","France / Italy / Netherlands / Spain",3,TRUE
"CTIS","Netherlands / Spain / Germany","Germany / Netherlands / Spain",3,TRUE
"CTIS","Poland / Belgium","Belgium / Poland",3,TRUE
"CTIS","Poland / Croatia","Croatia / Poland",3,TRUE
"CTIS","Poland / France","France / Poland",3,TRUE
"CTIS","Poland / Germany / Spain","Germany / Poland / Spain",3,TRUE
"CTIS","Poland / Romania","Poland / Romania",3,FALSE
"CTIS","Poland / Spain / Italy","Italy / Poland / Spain",3,TRUE
"CTIS","Spain / Belgium / Poland","Belgium / Poland / Spain",3,TRUE
"CTIS","Spain / France / Italy / Germany","France / Germany / Italy / Spain",3,TRUE
"CTIS","Spain / France / Netherlands","France / Netherlands / Spain",3,TRUE
"CTIS","Spain / France / Portugal","France / Portugal / Spain",3,TRUE
"CTIS","Spain / Italy / France / Poland","France / Italy / Poland / Spain",3,TRUE
"CTIS","Spain / Italy / Germany / France","France / Germany / Italy / Spain",3,TRUE
"CTIS","Sweden / Finland","Finland / Sweden",3,TRUE
"CTIS","Sweden / Spain","Spain / Sweden",3,TRUE
"CTIS","Austria / Germany / Spain / Italy","Austria / Germany / Italy / Spain",2,TRUE
"CTIS","Austria / Italy","Austria / Italy",2,FALSE
"CTIS","Austria / Italy / Germany","Austria / Germany / Italy",2,TRUE
