"register","raw","normalised","n_trials","changed"
"CTIS",NA,NA,3195,FALSE
"CTIS","Multiple myeloma","Multiple myeloma",123,FALSE
"CTIS","Non-small cell lung cancer","Non-small cell lung cancer",118,FALSE
"CTIS","Solid tumor","Solid tumour",109,TRUE
"CTIS","Ulcerative colitis","Ulcerative colitis",50,FALSE
"CTIS","Malignant solid tumor","Malignant solid tumour",47,TRUE
"CTIS","Atopic dermatitis","Atopic dermatitis",41,FALSE
"CTIS","Asthma","Asthma",40,FALSE
"CTIS","Acute myeloid leukemia","Acute myeloid leukaemia",38,TRUE
"CTIS","Metastatic colorectal cancer","Colorectal cancer",35,TRUE
"CTIS","Rheumatoid arthritis","Rheumatoid arthritis",34,FALSE
"CTIS","Hidradenitis suppurativa","Hidradenitis suppurativa",32,FALSE
"CTIS","HIV-1 infection","HIV-1 infection",31,FALSE
"CTIS","Myasthenia gravis","Myasthenia gravis",31,FALSE
"CTIS","Non-small cell lung cancer metastatic","Non-small cell lung cancer",31,TRUE
"CTIS","Chronic obstructive pulmonary disease","Chronic obstructive pulmonary disease",30,FALSE
"CTIS","Glioblastoma","Glioblastoma",30,FALSE
"CTIS","Systemic lupus erythematosus","Systemic lupus erythematosus",30,FALSE
"CTIS","Alzheimer's disease","Alzheimer's disease",29,FALSE
"CTIS","Amyotrophic lateral sclerosis","Amyotrophic lateral sclerosis",29,FALSE
"CTIS","Plaque psoriasis","Plaque psoriasis",29,FALSE
"CTIS","Parkinson's disease","Parkinson's disease",28,FALSE
"CTIS","Colitis ulcerative","Colitis ulcerative",27,FALSE
"CTIS","Obesity","Obesity",27,FALSE
"CTIS","Idiopathic pulmonary fibrosis","Idiopathic pulmonary fibrosis",26,FALSE
"CTIS","Prostate cancer","Prostate cancer",26,FALSE
"CTIS","Dermatitis atopic","Dermatitis atopic",25,FALSE
"CTIS","Knee osteoarthritis","Knee osteoarthritis",25,FALSE
"CTIS","Metastatic breast cancer","Breast cancer",25,TRUE
"CTIS","Multiple sclerosis","Multiple sclerosis",25,FALSE
"CTIS","Neoplasms benign malignant and unspecified (incl cysts and polyps)","Neoplasms benign malignant and unspecified (incl cysts and polyps)",25,FALSE
"CTIS","Small cell lung cancer extensive stage","Small cell lung cancer extensive stage",25,FALSE
"CTIS","Type II diabetes mellitus","Type 2 diabetes mellitus",24,TRUE
"CTIS","Advanced cancer","Cancer",23,TRUE
"CTIS","Prostate cancer metastatic","Prostate cancer",23,TRUE
"CTIS","Psoriatic arthritis","Psoriatic arthritis",23,FALSE
"CTIS","Pulmonary arterial hypertension","Pulmonary arterial hypertension",23,FALSE
"CTIS","Squamous cell carcinoma of head and neck","Squamous cell carcinoma of head and neck",23,FALSE
"CTIS","Castration-resistant prostate cancer","Castration-resistant prostate cancer",22,FALSE
"CTIS","Colorectal cancer","Colorectal cancer",22,FALSE
"CTIS","Advanced breast cancer","Breast cancer",20,TRUE
"CTIS","Chronic kidney disease","Chronic kidney disease",20,FALSE
"CTIS","Crohn's disease","Crohn's disease",20,FALSE
"CTIS","Major depressive disorder","Major depressive disorder",20,FALSE
"CTIS","Ovarian cancer","Ovarian cancer",20,FALSE
"CTIS","Acute myeloid leukaemia","Acute myeloid leukaemia",19,FALSE
"CTIS","Chronic hepatitis B","Chronic hepatitis b",19,TRUE
"CTIS","Colorectal cancer metastatic","Colorectal cancer",19,TRUE
"CTIS","Schizophrenia","Schizophrenia",19,FALSE
"CTIS","Solid tumour","Solid tumour",19,FALSE
"CTIS","Breast cancer","Breast cancer",18,FALSE
"CTIS","Clinical trial healthy volunteer","Clinical trial healthy volunteer",18,FALSE
"CTIS","Hereditary angioedema","Hereditary angioedema",18,FALSE
"CTIS","Non-squamous non-small cell lung cancer","Non-squamous non-small cell lung cancer",18,FALSE
"CTIS","Pharmacokinetic study","Pharmacokinetic study",18,FALSE
"CTIS","Triple negative breast cancer","Triple negative breast cancer",18,FALSE
"CTIS","Chronic lymphocytic leukemia","Chronic lymphocytic leukaemia",17,TRUE
"CTIS","Duchenne muscular dystrophy","Duchenne muscular dystrophy",17,FALSE
"CTIS","Obesity / Overweight","Obesity / Overweight",17,FALSE
"CTIS","Bladder cancer","Bladder cancer",16,FALSE
"CTIS","Chronic spontaneous urticaria","Chronic spontaneous urticaria",16,FALSE
"CTIS","Diffuse large B-cell lymphoma","Diffuse large b-cell lymphoma",16,TRUE
"CTIS","Psoriasis","Psoriasis",16,FALSE
"CTIS","Hepatocellular carcinoma non-resectable","Hepatocellular carcinoma non-resectable",15,FALSE
"CTIS","IgA nephropathy","Iga nephropathy",14,TRUE
"CTIS","Melanoma","Melanoma",14,FALSE
"CTIS","COPD","COPD",13,FALSE
"CTIS","Ischaemic stroke","Ischaemic stroke",13,FALSE
"CTIS","Kidney transplant","Kidney transplant",13,FALSE
"CTIS","Migraine","Migraine",13,FALSE
"CTIS","Non-alcoholic steatohepatitis","Non-alcoholic steatohepatitis",13,FALSE
"CTIS","Non-small cell lung cancer NOS","Non-small cell lung cancer NOS",13,FALSE
"CTIS","Relapsing multiple sclerosis","Relapsing multiple sclerosis",13,FALSE
"CTIS","Respiratory syncytial virus infection","Respiratory syncytial virus infection",13,FALSE
"CTIS","Small cell lung cancer","Small cell lung cancer",13,FALSE
"CTIS","Type 2 diabetes mellitus","Type 2 diabetes mellitus",13,FALSE
"CTIS","Vitiligo","Vitiligo",13,FALSE
"CTIS","COVID-19","COVID-19",12,FALSE
"CTIS","Hepatocellular carcinoma","Hepatocellular carcinoma",12,FALSE
"CTIS","Metastatic melanoma","Melanoma",12,TRUE
"CTIS","Non-small cell lung cancer stage III","Non-small cell lung cancer",12,TRUE
"CTIS","Non-small cell lung cancer stage IV","Non-small cell lung cancer",12,TRUE
"CTIS","Relapsed/refractory multiple myeloma","Relapsed/refractory multiple myeloma",12,FALSE
"CTIS","Sickle cell disease","Sickle cell disease",12,FALSE
"CTIS","Urothelial carcinoma","Urothelial carcinoma",12,FALSE
"CTIS","Achondroplasia","Achondroplasia",11,FALSE
"CTIS","Castration-resistant prostate cancer / Prostate cancer metastatic","Castration-resistant prostate cancer / Prostate cancer",11,TRUE
"CTIS","Chronic graft versus host disease","Chronic graft versus host disease",11,FALSE
"CTIS","Crohn's disease / Crohns disease","Crohn's disease / Crohns disease",11,FALSE
"CTIS","Cystic fibrosis","Cystic fibrosis",11,FALSE
"CTIS","Juvenile idiopathic arthritis","Juvenile idiopathic arthritis",11,FALSE
"CTIS","Major depression","Major depression",11,FALSE
"CTIS","Malignant solid tumour","Malignant solid tumour",11,FALSE
"CTIS","Relapsing-remitting multiple sclerosis","Relapsing-remitting multiple sclerosis",11,FALSE
"CTIS","Triple negative breast cancer metastatic","Triple negative breast cancer",11,TRUE
"CTIS","Type 1 diabetes mellitus","Type 1 diabetes mellitus",11,FALSE
"CTIS","Acute lymphoblastic leukemia","Acute lymphoblastic leukaemia",10,TRUE
"CTIS","Atrial fibrillation","Atrial fibrillation",10,FALSE
"CTIS","Chronic rhinosinusitis with nasal polyps","Chronic rhinosinusitis with nasal polyps",10,FALSE
"CTIS","Congenital adrenal hyperplasia","Congenital adrenal hyperplasia",10,FALSE
"CTIS","Focal epilepsy","Focal epilepsy",10,FALSE
"CTIS","HER2 positive breast cancer","Her2 positive breast cancer",10,TRUE
"CTIS","HIV infection","HIV infection",10,FALSE
"CTIS","Heart failure","Heart failure",10,FALSE
"CTIS","Influenza","Influenza",10,FALSE
"CTIS","Kidney transplant rejection","Kidney transplant rejection",10,FALSE
"CTIS","Malignant mast cell tumors unspecified site extranodal and solid organ sites","Malignant mast cell tumour unspecified site extranodal and solid organ sites",10,TRUE
"CTIS","Neoplasms benign malignant and unspecified (incl cysts and polyps) / Neoplasms benign, malignant and unspecified incl cysts and polyps","Neoplasms benign malignant and unspecified (incl cysts and polyps) / Neoplasms benign, malignant and unspecified incl cysts and polyps",10,FALSE
"CTIS","Pancreatic adenocarcinoma metastatic","Pancreatic adenocarcinoma",10,TRUE
"CTIS","Atherosclerotic cardiovascular disease","Atherosclerotic cardiovascular disease",9,FALSE
"CTIS","CLL","CLL",9,FALSE
"CTIS","Classical Hodgkin lymphoma","Classical hodgkin lymphoma",9,TRUE
"CTIS","Eosinophilic asthma","Eosinophilic asthma",9,FALSE
"CTIS","Glioblastoma multiforme","Glioblastoma multiforme",9,FALSE
"CTIS","Head and neck cancer","Head and neck cancer",9,FALSE
"CTIS","Heart failure with reduced ejection fraction","Heart failure with reduced ejection fraction",9,FALSE
"CTIS","Hypercholesterolemia","Hypercholesterolemia",9,FALSE
"CTIS","Myelofibrosis","Myelofibrosis",9,FALSE
"CTIS","Neoplasm malignant","Neoplasm malignant",9,FALSE
"CTIS","Neovascular age-related macular degeneration","Neovascular age-related macular degeneration",9,FALSE
"CTIS","Rectal cancer","Rectal cancer",9,FALSE
"CTIS","Retinitis pigmentosa","Retinitis pigmentosa",9,FALSE
"CTIS","Systemic sclerosis","Systemic sclerosis",9,FALSE
"CTIS","Actinic keratosis","Actinic keratosis",8,FALSE
"CTIS","Acute myeloid leukemia / Myelodysplastic syndrome","Acute myeloid leukaemia / Myelodysplastic syndrome",8,TRUE
"CTIS","Acute pain / Chronic pain","Acute pain / Chronic pain",8,FALSE
