"register","raw","normalised","n_trials","changed"
"CTIS",NA,NA,1180,FALSE
"CTIS","100000004864","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",261,TRUE
"CTIS","100000004850","Congenital, familial and genetic disorders",60,TRUE
"CTIS","100000004852","Nervous system disorders",55,TRUE
"CTIS","100000004864 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",43,TRUE
"CTIS","100000004862","Infections and infestations",42,TRUE
"CTIS","100000004848","Investigations",38,TRUE
"CTIS","100000004858","Skin and subcutaneous tissue disorders",30,TRUE
"CTIS","100000004855","Respiratory, thoracic and mediastinal disorders",28,TRUE
"CTIS","100000004873","Psychiatric disorders",24,TRUE
"CTIS","100000004859","Musculoskeletal and connective tissue disorders",23,TRUE
"CTIS","100000004861","Metabolism and nutrition disorders",23,TRUE
"CTIS","100000004856","Gastrointestinal disorders",22,TRUE
"CTIS","100000004857","Renal and urinary disorders",19,TRUE
"CTIS","10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",17,TRUE
"CTIS","100000004849","Cardiac disorders",16,TRUE
"CTIS","100000004865","Surgical and medical procedures",11,TRUE
"CTIS","100000004850 / 10010331 - Congenital, familial and genetic disorders","Congenital, familial and genetic disorders",9,TRUE
"CTIS","100000004852 / 10029205 - Nervous system disorders","Nervous system disorders",8,TRUE
"CTIS","100000004851","Blood and lymphatic system disorders",7,TRUE
"CTIS","100000004853","Eye disorders",7,TRUE
"CTIS","100000004855 / 10038738 - Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders",6,TRUE
"CTIS","100000004871","Hepatobiliary disorders",6,TRUE
"CTIS","100000004856 / 10017947 - Gastrointestinal disorders","Gastrointestinal disorders",5,TRUE
"CTIS","100000004866","Vascular disorders",5,TRUE
"CTIS","100000004870","Immune system disorders",5,TRUE
"CTIS","100000004872","Reproductive system and breast disorders",5,TRUE
"CTIS","100000004848 / 100000004864","Investigations / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",4,TRUE
"CTIS","100000004850 / 100000004864","Congenital, familial and genetic disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",4,TRUE
"CTIS","100000004858 / 100000004859","Skin and subcutaneous tissue disorders / Musculoskeletal and connective tissue disorders",4,TRUE
"CTIS","100000004863","Injury, poisoning and procedural complications",4,TRUE
"CTIS","100000004848 / 100000004853","Investigations / Eye disorders",3,TRUE
"CTIS","100000004859 / 10028395 - Musculoskeletal and connective tissue disorders","Musculoskeletal and connective tissue disorders",3,TRUE
"CTIS","100000004860","Endocrine disorders",3,TRUE
"CTIS","100000004870 / 10021428 - Immune system disorders","Immune system disorders",3,TRUE
"CTIS","100000004871 / 10019805 - Hepatobiliary disorders","Hepatobiliary disorders",3,TRUE
"CTIS","10005329 - Blood and lymphatic system disorders","Blood and lymphatic system disorders",3,TRUE
"CTIS","10010331 - Congenital, familial and genetic disorders","Congenital, familial and genetic disorders",3,TRUE
"CTIS","100000004848 / 100000004865","Investigations / Surgical and medical procedures",2,TRUE
"CTIS","100000004848 / 100000004871","Investigations / Hepatobiliary disorders",2,TRUE
"CTIS","100000004851 / 100000004864","Blood and lymphatic system disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2,TRUE
"CTIS","100000004851 / 10005329 - Blood and lymphatic system disorders","Blood and lymphatic system disorders",2,TRUE
"CTIS","100000004857 / 10038359 - Renal and urinary disorders","Renal and urinary disorders",2,TRUE
"CTIS","10027433 - Metabolism and nutrition disorders","Metabolism and nutrition disorders",2,TRUE
"CTIS","100000004848 / 100000004850 / 100000004864","Investigations / Congenital, familial and genetic disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",1,TRUE
"CTIS","100000004848 / 100000004850 / 100000004870","Investigations / Congenital, familial and genetic disorders / Immune system disorders",1,TRUE
"CTIS","100000004848 / 100000004852","Investigations / Nervous system disorders",1,TRUE
"CTIS","100000004848 / 100000004855","Investigations / Respiratory, thoracic and mediastinal disorders",1,TRUE
"CTIS","100000004848 / 100000004859","Investigations / Musculoskeletal and connective tissue disorders",1,TRUE
"CTIS","100000004848 / 100000004866 / 10022891 - Investigations / 10038359 - Renal and urinary disorders / 10047065 - Vascular disorders","Investigations / Vascular disorders / Renal and urinary disorders",1,TRUE
"CTIS","100000004848 / 100000004873","Investigations / Psychiatric disorders",1,TRUE
"CTIS","100000004848 / 10010331 - Congenital, familial and genetic disorders","Investigations / Congenital, familial and genetic disorders",1,TRUE
"CTIS","100000004849 / 100000004850 / 10007541 - Cardiac disorders / 10010331 - Congenital, familial and genetic disorders","Cardiac disorders / Congenital, familial and genetic disorders",1,TRUE
"CTIS","100000004849 / 100000004852","Cardiac disorders / Nervous system disorders",1,TRUE
"CTIS","100000004849 / 100000004857","Cardiac disorders / Renal and urinary disorders",1,TRUE
"CTIS","100000004849 / 100000004857 / 100000004861","Cardiac disorders / Renal and urinary disorders / Metabolism and nutrition disorders",1,TRUE
"CTIS","100000004849 / 100000004867","Cardiac disorders / General disorders and administration site conditions",1,TRUE
"CTIS","100000004849 / 10007541 - Cardiac disorders","Cardiac disorders",1,TRUE
"CTIS","100000004850 / 100000004852","Congenital, familial and genetic disorders / Nervous system disorders",1,TRUE
"CTIS","100000004850 / 100000004852 / 10029205 - Nervous system disorders","Congenital, familial and genetic disorders / Nervous system disorders",1,TRUE
"CTIS","100000004850 / 100000004857","Congenital, familial and genetic disorders / Renal and urinary disorders",1,TRUE
"CTIS","100000004850 / 100000004858","Congenital, familial and genetic disorders / Skin and subcutaneous tissue disorders",1,TRUE
"CTIS","100000004850 / 10010331 - Congenital, familial and genetic disorders / 10027433 - Metabolism and nutrition disorders","Congenital, familial and genetic disorders / Metabolism and nutrition disorders",1,TRUE
"CTIS","100000004851 / 100000004858 / 100000004859 / 100000004866","Blood and lymphatic system disorders / Skin and subcutaneous tissue disorders / Musculoskeletal and connective tissue disorders / Vascular disorders",1,TRUE
"CTIS","100000004851 / 100000004862","Blood and lymphatic system disorders / Infections and infestations",1,TRUE
"CTIS","100000004852 / 100000004855 / 10029205 - Nervous system disorders / 10038738 - Respiratory, thoracic and mediastinal disorders","Nervous system disorders / Respiratory, thoracic and mediastinal disorders",1,TRUE
"CTIS","100000004852 / 100000004857 / 100000004859","Nervous system disorders / Renal and urinary disorders / Musculoskeletal and connective tissue disorders",1,TRUE
"CTIS","100000004852 / 100000004864","Nervous system disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",1,TRUE
"CTIS","100000004852 / 100000004865 / 10042613 - Surgical and medical procedures","Nervous system disorders / Surgical and medical procedures",1,TRUE
"CTIS","100000004852 / 100000004873","Nervous system disorders / Psychiatric disorders",1,TRUE
"CTIS","100000004852 / 10022117 - Injury, poisoning and procedural complications","Nervous system disorders / Injury, poisoning and procedural complications",1,TRUE
"CTIS","100000004853 / 10015919 - Eye disorders","Eye disorders",1,TRUE
"CTIS","100000004854","Ear and labyrinth disorders",1,TRUE
"CTIS","100000004855 / 100000004863 / 100000004866","Respiratory, thoracic and mediastinal disorders / Injury, poisoning and procedural complications / Vascular disorders",1,TRUE
"CTIS","100000004856 / 100000004858","Gastrointestinal disorders / Skin and subcutaneous tissue disorders",1,TRUE
"CTIS","100000004856 / 100000004859","Gastrointestinal disorders / Musculoskeletal and connective tissue disorders",1,TRUE
"CTIS","100000004856 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps / 10042613 - Surgical and medical procedures","Gastrointestinal disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Surgical and medical procedures",1,TRUE
