"register","raw","normalised","n_trials","changed"
"CTIS","Therapeutic exploratory (Phase II)","Phase II",608,TRUE
"CTIS","Therapeutic confirmatory  (Phase III)","Phase III",572,TRUE
"CTIS","Therapeutic use (Phase IV)","Phase IV",203,TRUE
"CTIS","Human Pharmacology (Phase I)-  Other","Phase I",191,TRUE
"CTIS","Human Pharmacology (Phase I)- First administration to humans","Phase I",133,TRUE
"CTIS","Phase I and Phase II (Integrated)- Other","Phase I",108,TRUE
"CTIS","Phase I and Phase II (Integrated)- First administration to humans","Phase I",87,TRUE
"CTIS","Phase II and Phase III (Integrated)","Phase III",65,TRUE
"CTIS","Human Pharmacology (Phase I)- Bioequivalence Study","Phase I",63,TRUE
"CTIS","Phase III and phase IV (Integrated)","Phase IV",34,TRUE
"CTIS","Phase I and Phase II (Integrated)- Bioequivalence Study","Phase I",1,TRUE
"EUCTR","Phase III","Phase III",5935,FALSE
"EUCTR","Phase II","Phase II",5025,FALSE
"EUCTR","Phase IV","Phase IV",2084,FALSE
"EUCTR","Phase I / Phase II","Phase I / Phase II",585,FALSE
"EUCTR","Phase II / Phase III","Phase II / Phase III",283,FALSE
"EUCTR","Phase I","Phase I",127,FALSE
"EUCTR","Phase III / Phase IV","Phase III / Phase IV",57,FALSE
"EUCTR","Phase I / Phase III","Phase I / Phase III",16,FALSE
"EUCTR",NA,NA,13,FALSE
"EUCTR","Phase I / Phase II / Phase III","Phase I / Phase II / Phase III",8,FALSE
"EUCTR","Phase I / Phase IV","Phase I / Phase IV",6,FALSE
"EUCTR","Phase II / Phase IV","Phase II / Phase IV",4,FALSE
"EUCTR","Phase II / Phase III / Phase IV","Phase II / Phase III / Phase IV",1,FALSE
