"canonical_suggestion","sponsor_a","sponsor_b","n_a","n_b","total_n","similarity_score","token_overlap","key_a","key_b","informative_common","suggested_pattern","suggested_match_type","approved","notes"
"University College London","University College London","University College Dublin",148,28,176,0.8,0.667,"university college london","university college dublin","college","University College Dublin","exact",FALSE,""
"Azienda Ospedaliera Di Bologna Policlinico S. Orsola M. Malpighi","Azienda Ospedaliera Di Bologna Policlinico S. Orsola M. Malpighi","Azienda Ospedaliera Policlinico Di Modena",128,39,167,0.576,0.75,"azienda ospedaliera bologna policlinico s orsola m malpighi","azienda ospedaliera policlinico modena","policlinico","Azienda Ospedaliera Policlinico Di Modena","exact",FALSE,""
"Oslo University Hospital","Oslo University Hospital","University Of Oslo",143,9,152,0.542,1,"oslo university hospital","university oslo","oslo","University Of Oslo","exact",FALSE,""
"University Of Oxford","University Of Oxford","Oxford University Hospitals Nhs Trust",143,5,148,0.462,1,"university oxford","oxford university hospital","oxford","Oxford University Hospitals Nhs Trust","exact",FALSE,""
"University Of Birmingham","University Of Birmingham","University Hospitals Birmingham NHS Foundation Trust",115,26,141,0.7,1,"university birmingham","university hospital birmingham","birmingham","University Hospitals Birmingham NHS Foundation Trust","exact",FALSE,""
"Fondazione Irccs Istituto Nazionale Dei Tumori","Fondazione Irccs Istituto Nazionale Dei Tumori","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale",72,51,123,0.296,0.833,"fondazione irccs istituto nazionale dei tumori","istituto nazionale per lo studio e cura dei tumori fondazione g pascale","istituto / nazionale / dei / tumori","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","exact",FALSE,""
"Universitaetsklinikum Erlangen","Universitaetsklinikum Erlangen","Universitaetsklinikum Tuebingen Aör",71,25,96,0.765,0.5,"universitaetsklinikum erlangen","universitaetsklinikum tuebingen or","universitaetsklinikum","Universitaetsklinikum Tuebingen Aör","exact",FALSE,""
"Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Istituto Nazionale Per La Cura Tumori",51,44,95,0.479,1,"istituto nazionale per lo studio e cura dei tumori fondazione g pascale","istituto nazionale per cura tumori","istituto / nazionale / per / cura / tumori","Istituto Nazionale Per La Cura Tumori","exact",FALSE,""
"Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori",51,31,82,0.479,0.8,"istituto nazionale per lo studio e cura dei tumori fondazione g pascale","istituto scientifico romagnolo per lo studio e cura dei tumori","istituto / per / lo / studio / e / cura / dei / tumori","Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori","exact",FALSE,""
"Universitaetsklinikum Erlangen","Universitaetsklinikum Erlangen","Universitaetsklinikum Ulm Aör",71,6,77,0.767,0.5,"universitaetsklinikum erlangen","universitaetsklinikum ulm or","universitaetsklinikum","Universitaetsklinikum Ulm Aör","exact",FALSE,""
