raw_sponsor,block_id,n_trials,block_size
Novartis Pharma Services AG,blk_00001,736,40
AstraZeneca AB,blk_00002,675,40
Novartis Pharma AG,blk_00001,447,40
Novo Nordisk A/S,blk_00003,331,20
Bristol-Myers Squibb International Corporation,blk_00004,293,25
Merck Sharp & Dohme LLC,blk_00005,274,40
F. Hoffmann-La Roche Ltd,blk_00006,268,40
GlaxoSmithKline Biologicals,blk_00007,266,40
ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS AP-HP,blk_00008,248,40
Eli Lilly and Company,blk_00009,239,38
Assistance Publique Hopitaux De Paris,blk_00008,237,40
Pfizer Inc.,blk_00010,230,40
F. Hoffmann-La Roche AG,blk_00006,201,40
GlaxoSmithKline Research  Development Ltd,blk_00007,175,40
"Merck Sharp  Dohme Corp., a subsidiary of Merck  Co., Inc.",blk_00005,173,40
Amgen Inc.,blk_00011,172,15
AbbVie Deutschland GmbH  Co. KG,blk_00012,163,18
Janssen-Cilag International NV,blk_00013,154,40
Rigshospitalet,blk_00014,153,40
Bayer AG,blk_00015,147,40
"Gilead Sciences, Inc.",blk_00016,146,18
Amgen Inc,blk_00011,134,15
POLICLINICO UNIVERSITARIO AGOSTINO GEMELLI,blk_00017,134,9
Eli Lilly & Co.,blk_00009,130,38
Boehringer Ingelheim International GmbH,blk_00018,128,40
University College London,blk_00019,126,40
Novartis Pharma GmbH,blk_00001,123,40
GlaxoSmithKline Research  Development Limited,blk_00007,119,40
AZIENDA OSPEDALIERA DI BOLOGNA POLICLINICO S. ORSOLA M. MALPIGHI,blk_00020,115,8
University Medical Center Groningen,blk_00021,114,22
UZ Leuven,blk_00022,109,39
Leiden University Medical Center,blk_00023,108,20
Janssen - Cilag International,blk_00013,107,40
AbbVie Deutschland GmbH & Co. KG,blk_00012,105,18
Sanofi-Aventis Recherche & Developpement,blk_00024,103,40
University of Oxford,blk_00025,103,35
Bayer HealthCare AG,blk_00015,101,40
Karolinska University Hospital,blk_00026,98,40
Institut de Recherches Internationales Servier,blk_00027,97,25
Odense University Hospital,blk_00028,96,40
Janssen-Cilag International N.V.,blk_00013,95,40
Erasmus Universitair Medisch Centrum Rotterdam (Erasmus MC),blk_00029,91,40
SCS Boehringer Ingelheim Comm.V,blk_00018,91,40
Erasmus MC,blk_00029,89,40
Imperial College London,blk_00019,89,40
"Pfizer Inc., 235 East 42nd Street, New York, NY 10017",blk_00010,89,40
Celgene Corporation,blk_00030,87,15
H. Lundbeck A/S,blk_00031,87,10
Vertex Pharmaceuticals Incorporated,blk_00032,84,5
sanofi-aventis recherche  dveloppement,blk_00033,84,40
Chiesi Farmaceutici S.p.A.,blk_00034,83,19
Boehringer Ingelheim Pharma GmbH  Co. KG,blk_00018,82,40
F. Hoffmann-La Roche Ltd.,blk_00006,82,40
University of Birmingham,blk_00035,82,36
Aarhus University Hospital,blk_00036,81,40
Bristol-Myers Squibb Services Unlimited Company,blk_00004,81,25
Janssen Cilag International,blk_00013,80,40
Biogen Idec Research Limited,blk_00037,78,20
Glaxosmithkline Research & Development Limited,blk_00007,77,40
University Medical Center Utrecht,blk_00038,76,30
Hospices Civils de Lyon,blk_00039,74,8
Regeneron Pharmaceuticals Inc.,blk_00040,74,4
Medical University Of Vienna,blk_00041,73,40
Medical University of Vienna,blk_00041,72,40
Amsterdam UMC Stichting,blk_00042,70,36
Incyte Corporation,blk_00043,69,8
Merck KGaA,blk_00005,69,40
Universitair Medisch Centrum Groningen,blk_00021,69,22
Bristol Myers Squibb International Corporation,blk_00004,67,25
ISTITUTO EUROPEO DI ONCOLOGIA,blk_00044,67,9
Ghent University Hospital,blk_00045,65,5
Gilead Sciences Inc.,blk_00016,65,18
"Regeneron Pharmaceuticals, Inc.",blk_00040,64,4
Takeda Development Center Americas Inc.,blk_00046,63,38
Karolinska Institutet,blk_00026,62,40
Oslo University Hospital HF,blk_00047,62,36
University Hospital Ghent,blk_00045,62,5
University of Leeds,blk_00048,62,17
Amsterdam UMC,blk_00042,60,36
LEO Pharma A/S,blk_00049,60,6
Eisai Limited,blk_00050,59,9
OSPEDALE S. RAFFAELE,blk_00051,59,19
Astrazeneca AB,blk_00002,57,40
GlaxoSmithKline Research and Development Ltd,blk_00007,57,40
Unicancer,blk_00052,57,4
VU University Medical Center,blk_00053,57,33
"Merck  Co., Inc.",blk_00005,56,40
Incyte Corp.,blk_00043,54,8
Institut Gustave Roussy,blk_00054,54,5
Dr. Falk Pharma GmbH,blk_00055,53,3
PIERRE FABRE MEDICAMENT,blk_00056,53,33
"Pfizer Inc, 235 East 42nd Street, New York, NY 10017",blk_00010,53,40
University of Cologne,blk_00057,53,9
Ferring Pharmaceuticals A/S,blk_00058,52,12
Region Midtjylland,blk_00059,52,2
University of Nottingham,blk_00060,51,19
Radboud University Nijmegen Medical Centre,blk_00061,50,31
UZ Brussel,blk_00022,50,39
Centre Hospitalier Universitaire De Nantes,blk_00062,49,10
Eli Lilly and Company Limited,blk_00009,49,38
"Otsuka Pharmaceutical Development  Commercialization, Inc.",blk_00063,49,13
NV Organon,blk_00064,48,4
CHU de Bordeaux,blk_00065,47,9
Genmab A/S,blk_00066,47,4
Oslo University Hospital,blk_00047,47,36
University of Dundee,blk_00067,47,21
Charit - Universittsmedizin Berlin,blk_00068,46,40
Daiichi Sankyo Inc.,blk_00069,46,23
Genentech Inc.,blk_00070,46,9
ROCHE,blk_00006,46,40
Celgene Corp.,blk_00030,45,15
University Hospitals Leuven,blk_00022,45,39
Cardiff University,blk_00071,44,9
Het Nederlands Kanker Instituut-Antoni van Leeuwenhoek Ziekenhuis Stichting,blk_00072,44,24
ISTITUTO NAZIONALE PER LA CURA TUMORI,blk_00073,44,32
Sheffield Teaching Hospitals NHS Foundation Trust,blk_00074,44,13
AIO-Studien-gGmbH,blk_00075,43,6
AZIENDA SANITARIA OSPEDALIERA S. GIOVANNI BATTISTA DI TORINO,blk_00076,43,5
Boehringer Ingelheim RCV GmbH  Co KG,blk_00018,43,40
OSPEDALE POLICLINICO S. MATTEO,blk_00077,43,4
Abbott GmbH  Co. KG,blk_00078,42,19
Actelion Pharmaceuticals Ltd.,blk_00079,42,13
Allergan Limited,blk_00080,42,13
Astellas Pharma Europe B.V.,blk_00081,42,28
Novartis Vaccines and Diagnostics S.r.l.,blk_00001,42,40
Radboudumc,blk_00082,42,6
"Teva Branded Pharmaceutical Products RD, Inc.",blk_00083,42,14
Fundaci Clnic per a la Recerca Biomdica,blk_00084,41,32
Grnenthal GmbH,blk_00085,41,4
NOVARTIS FARMA,blk_00001,41,40
Turku University Hospital,blk_00086,41,13
"Genentech, Inc.",blk_00070,40,9
GlaxoSmithKline Research and Development Limited,blk_00007,40,40
Merz Pharmaceuticals GmbH,blk_00087,40,4
Genzyme Corporation,blk_00088,39,10
Merck Healthcare KGaA,blk_00005,39,40
Sanofi-Aventis Recherche  Dveloppement,blk_00033,39,40
Sun Pharmaceutical Industries Limited,blk_00089,39,23
Universitair Medisch Centrum Utrecht,blk_00029,39,40
Alexion Pharmaceuticals Inc.,blk_00090,38,12
Baxter Innovations GmbH,blk_00091,38,14
HOVON Foundation,blk_00092,38,7
Hospices Civils De Lyon,blk_00039,38,8
AZIENDA OSPEDALIERA POLICLINICO DI MODENA,blk_00020,37,8
European Organisation for Research and Treatment of Cancer,blk_00093,37,29
UNICANCER,blk_00052,37,4
CHU de Clermont-Ferrand,blk_00094,36,12
FONDAZIONE POLICLINICO UNIVERSITARIO AGOSTINO GEMELLI IRCCS UNIVERSITA CATTOLICA DEL SACRO CUORE,blk_00017,36,9
SCS Boehringer Ingelheim Comm. V,blk_00018,36,40
University Medical Center Hamburg-Eppendorf,blk_00095,36,13
Centre for Human Drug Research,blk_00096,35,20
LYSARC,blk_00097,35,2
Maastricht University,blk_00098,35,18
BioMarin Pharmaceutical Inc.,blk_00099,34,6
CSL Behring GmbH,blk_00100,34,4
ISTITUTO GIANNINA GASLINI,blk_00101,34,5
Actelion Pharmaceuticals Ltd,blk_00079,33,13
Argenx,blk_00102,33,4
BioNTech SE,blk_00103,33,3
Boehringer Ingelheim International GmbH / Boehringer Ingelheim Espana S.A.,blk_00018,33,40
Centre Hospitalier Universitaire De Toulouse,blk_00104,33,11
FONDAZIONE CENTRO S. RAFFAELE DEL MONTE TABOR,blk_00051,33,19
Institut Jules Bordet,blk_00105,33,8
UCB Biopharma,blk_00106,33,40
Wyeth Research Division of Wyeth Pharmaceuticals Inc.,blk_00107,33,40
Abbvie Deutschland GmbH & Co. KG,blk_00012,32,18
Leids Universitair Medisch Centrum (LUMC),blk_00108,32,18
Radboud University Medical Center,blk_00061,32,31
Region Hovedstaden,blk_00109,32,5
Vaestra Goetalandsregionen,blk_00110,32,5
CHU de Nantes,blk_00062,31,10
Charit Universittsmedizin Berlin,blk_00068,31,40
ISTITUTI FISIOTERAPICI OSPITALIERI,blk_00111,31,7
Lilly S.A.,blk_00009,31,38
Medical University of Graz,blk_00112,31,40
Medizinische Universitt Wien,blk_00113,31,40
AZIENDA UNIVERSITARIA POLICLINICO UMBERTO I DI ROMA,blk_00114,30,9
IST. DI RICERCHE FARMACOLOG. M. NEGRI,blk_00115,30,7
Pfizer Pharma GmbH,blk_00010,30,40
Seagen Inc.,blk_00116,30,2
UCB Biopharma SRL,blk_00106,30,40
UMC Utrecht,blk_00038,30,30
BeOne Medicines AG,blk_00117,29,6
