raw_sponsor,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status,match_score,match_source,match_reason,suggested_clean,n_trials
Novartis Pharma Services AG,Novartis,Novartis,Novartis,industry,accepted,97,manual,alias match: 'novartis' → 'Novartis',Novartis,736
AstraZeneca AB,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted,99,manual,alias match: 'astrazeneca ab' → 'AstraZeneca',AstraZeneca,680
Novartis Pharma AG,Novartis,Novartis,Novartis,industry,accepted,99,manual,alias match: 'novartis pharma ag' → 'Novartis',Novartis,453
Novo Nordisk A/S,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted,98,manual,alias match: 'novo nordisk' → 'Novo Nordisk',Novo Nordisk,335
Bristol-Myers Squibb International Corporation,BMS,Bristol-Myers Squibb,BMS,industry,accepted,99,manual,alias match: 'bristol-myers squibb international corporation' → 'BMS',BMS,293
Merck Sharp & Dohme LLC,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted,99,manual,alias match: 'merck sharp and dohme llc' → 'MSD',MSD,279
F. Hoffmann-La Roche Ltd,Roche,Roche,Roche,industry,accepted,98,manual,alias match: 'f hoffmann-la roche' → 'Roche',Roche,268
GlaxoSmithKline Biologicals,GSK,GSK,GSK,industry,accepted,98,manual,alias match: 'glaxosmithkline' → 'GSK',GSK,266
ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS AP-HP,AP-HP,NA,NA,hospital,accepted,95,final_family_map,entity-family match: assistance publique paris hospital → 'AP-HP',AP-HP,248
Assistance Publique Hopitaux De Paris,AP-HP,NA,NA,hospital,accepted,95,final_family_map,entity-family match: assistance publique paris hospital → 'AP-HP',AP-HP,241
Eli Lilly and Company,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted,99,manual,alias match: 'eli lilly and company' → 'Eli Lilly',Eli Lilly,239
Pfizer Inc.,Pfizer,Pfizer,Pfizer,industry,accepted,99,manual,alias match: 'pfizer inc' → 'Pfizer',Pfizer,231
F. Hoffmann-La Roche AG,Roche,Roche,Roche,industry,accepted,99,manual,alias match: 'f hoffmann-la roche ag' → 'Roche',Roche,208
GlaxoSmithKline Research  Development Ltd,GSK,GSK,GSK,industry,accepted,97,manual,alias match: 'glaxosmithkline' → 'GSK',GSK,175
Amgen Inc.,Amgen,Amgen,Amgen,industry,accepted,99,manual,alias match: 'amgen inc' → 'Amgen',Amgen,174
"Merck Sharp  Dohme Corp., a subsidiary of Merck  Co., Inc.",MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted,97,manual,alias match: 'merck sharp dohme' → 'MSD',MSD,173
AbbVie Deutschland GmbH  Co. KG,AbbVie,AbbVie,AbbVie,industry,accepted,96,manual,alias match: 'abbvie' → 'AbbVie',AbbVie,163
Janssen-Cilag International NV,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,unknown,accepted,97,manual,alias match: 'janssen-cilag' → 'Janssen-Cilag International',Janssen-Cilag International,154
Rigshospitalet,Rigshospitalet,Rigshospitalet,Rigshospitalet,hospital,accepted,99,manual,alias match: 'rigshospitalet' → 'Rigshospitalet',Rigshospitalet,153
Bayer AG,Bayer,Bayer,Bayer,industry,accepted,99,manual,alias match: 'bayer ag' → 'Bayer',Bayer,147
"Gilead Sciences, Inc.",Gilead Sciences,Gilead Sciences,Gilead Sciences,industry,accepted,99,manual,alias match: 'gilead sciences inc' → 'Gilead Sciences',Gilead Sciences,146
Amgen Inc,Amgen,Amgen,Amgen,industry,accepted,99,manual,alias match: 'amgen inc' → 'Amgen',Amgen,134
POLICLINICO UNIVERSITARIO AGOSTINO GEMELLI,Policlinico Universitario Agostino Gemelli,NA,NA,hospital,accepted,95,final_family_map,entity-family match: agostino gemelli hospital → 'Policlinico Universitario Agostino Gemelli',Policlinico Universitario Agostino Gemelli,134
Eli Lilly & Co.,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted,96,manual,alias match: 'eli lilly' → 'Eli Lilly',Eli Lilly,134
