raw_sponsor,sponsor_clean,sponsor_parent,sponsor_type,match_status,confidence,decided_by,n_trials
Novartis Pharma Services AG,Novartis,,industry,accepted,0.95,model,736
AstraZeneca AB,AstraZeneca,,industry,accepted,0.95,model,700
Novartis Pharma AG,Novartis,,industry,accepted,0.95,model,463
Novo Nordisk A/S,Novo Nordisk,,industry,accepted,0.95,model,342
Bristol-Myers Squibb International Corporation,Bristol Myers Squibb,,industry,accepted,0.97,model,294
Merck Sharp & Dohme LLC,MSD,,industry,accepted,0.93,model,294
F. Hoffmann-La Roche Ltd,Roche,,industry,accepted,0.97,model,267
GlaxoSmithKline Biologicals,GlaxoSmithKline,,industry,accepted,0.97,model,267
Assistance Publique Hopitaux De Paris,Assistance Publique - Hôpitaux de Paris,,hospital,accepted,0.93,model,260
ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS AP-HP,Assistance Publique - Hôpitaux de Paris,,hospital,accepted,0.93,model,248
Pfizer Inc.,Pfizer,,industry,accepted,0.97,model,242
Eli Lilly and Company,Eli Lilly,,industry,accepted,0.96,model,238
F. Hoffmann-La Roche AG,Roche,,industry,accepted,0.97,model,219
Amgen Inc.,Amgen,,industry,accepted,0.97,model,177
GlaxoSmithKline Research  Development Ltd,GlaxoSmithKline,,industry,accepted,0.97,model,175
"Merck Sharp  Dohme Corp., a subsidiary of Merck  Co., Inc.",MSD,,industry,accepted,0.93,model,173
AbbVie Deutschland GmbH  Co. KG,AbbVie,,industry,accepted,0.95,model,163
Rigshospitalet,Rigshospitalet,,hospital,accepted,0.95,model,156
Janssen-Cilag International NV,Janssen,Johnson & Johnson,industry,accepted,0.95,model,154
Bayer AG,Bayer,,industry,accepted,0.95,model,150
Eli Lilly & Co.,Eli Lilly,,industry,accepted,0.96,model,150
"Gilead Sciences, Inc.",Gilead Sciences,,industry,accepted,0.98,model,146
Boehringer Ingelheim International GmbH,Boehringer Ingelheim,,industry,accepted,0.97,model,138
Amgen Inc,Amgen,,industry,accepted,0.97,model,134
POLICLINICO UNIVERSITARIO AGOSTINO GEMELLI,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,hospital,accepted,0.9,model,134
University College London,University College London,,academic,accepted,0.9,model,126
