"register","raw","normalised","n_trials","changed"
"CTIS","Ongoing, recruiting","Ongoing",2702,TRUE
"CTIS","Ended","Completed",2643,TRUE
"CTIS","Ongoing, recruitment ended","Ongoing",1510,TRUE
"CTIS","Authorised, recruitment pending","Ongoing",1085,TRUE
"CTIS","Authorised, recruiting","Ongoing",533,TRUE
"CTIS","Authorised / Authorised","Ongoing",468,TRUE
"CTIS","Authorised","Ongoing",460,TRUE
"CTIS","Authorised / Authorised / Authorised","Ongoing",300,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised","Ongoing",217,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",206,TRUE
"CTIS","Ended / Ended","Completed",173,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",143,TRUE
"CTIS","Ended / Ended / Ended","Completed",119,TRUE
"CTIS","Not authorised","Not Authorised",106,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",100,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",92,TRUE
"CTIS","Ended / Ended / Ended / Ended","Completed",88,TRUE
"CTIS","Temporarily halted","Ongoing",69,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",64,TRUE
"CTIS","Ended / Ended / Ended / Ended / Ended","Completed",51,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",42,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",40,TRUE
"CTIS","Ended / Ended / Ended / Ended / Ended / Ended","Completed",39,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",29,TRUE
"CTIS","Ended / Ended / Ended / Ended / Ended / Ended / Ended","Completed",26,TRUE
"CTIS","Ended / Ended / Ended / Ended / Ended / Ended / Ended / Ended","Completed",25,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",20,TRUE
"CTIS","Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised / Authorised","Ongoing",18,TRUE
