raw_substance,substance_clean,substance_salt,substance_type,match_status,confidence,decided_by,n_trials
mL concentrate for solution for infusion,,,,rejected,,,453
PACLITAXEL,Paclitaxel,,,accepted,1,registry,440
A,,,,rejected,,,374
KEYTRUDA 25 mg,Pembrolizumab,,,accepted,1,registry,355
-,,,,rejected,,,347
mL concentrate for solution for infusion.,,,,rejected,,,333
N,,,,rejected,,,331
CISPLATIN,Cisplatin,,,accepted,1,registry,330
RITUXIMAB,Rituximab,,,accepted,1,registry,322
CARBOPLATIN,Carboplatin,,,accepted,1,registry,313
DEXAMETHASONE,Dexamethasone,acetate,,accepted,1,registry,306
CYCLOPHOSPHAMIDE,Cyclophosphamide,anhydrous,,accepted,1,registry,297
BEVACIZUMAB,Bevacizumab,,,accepted,1,registry,288
OXALIPLATIN,Oxaliplatin,,,accepted,1,registry,286
FLUOROURACIL,Fluorouracil,,,accepted,1,registry,256
GEMCITABINE,Gemcitabine,hydrochloride,,accepted,1,registry,245
PEMBROLIZUMAB,Pembrolizumab,,,accepted,1,registry,224
Not available,,,,rejected,,,209
DOCETAXEL,Docetaxel,,,accepted,1,registry,207
Cisplatin,Cisplatin,,,accepted,1,registry,185
ml concentrate for solution for infusion,,,,rejected,,,184
PREDNISONE,Prednisone,,,accepted,1,registry,183
NIVOLUMAB,Nivolumab,,,accepted,1,registry,182
Docetaxel,Docetaxel,,,accepted,1,registry,173
CAPECITABINE,Capecitabine,,,accepted,1,registry,172
CETUXIMAB,Cetuximab,,,accepted,1,registry,170
IRINOTECAN,Irinotecan,hydrochloride,,accepted,1,registry,168
Capecitabine,Capecitabine,,,accepted,1,registry,165
Rituximab,Rituximab,,,accepted,1,registry,163
Bevacizumab,Bevacizumab,,,accepted,1,registry,162
OPDIVO 10 mg,Nivolumab,,,accepted,1,registry,159
ADALIMUMAB,Adalimumab,,,accepted,1,registry,157
LENALIDOMIDE,Lenalidomide,,,accepted,1,registry,153
RITONAVIR,Ritonavir,,,accepted,1,registry,152
SODIUM CHLORIDE,Sodium chloride,,,accepted,1,registry,149
PARACETAMOL,Paracetamol,,,accepted,1,registry,145
INFLIXIMAB,Infliximab,,,accepted,1,registry,144
ml,,,,rejected,,,144
DOXORUBICIN,Doxorubicin,hydrochloride,,accepted,1,registry,143
PEMETREXED,Pemetrexed,,,accepted,1,registry,142
ETOPOSIDE,Etoposide,phosphate,,accepted,1,registry,141
TRASTUZUMAB,Trastuzumab,,,accepted,1,registry,140
Dexamethasone,Dexamethasone,acetate,,accepted,1,registry,138
Cyclophosphamide,Cyclophosphamide,anhydrous,,accepted,1,registry,136
Paclitaxel,Paclitaxel,,,accepted,1,registry,135
Carboplatin,Carboplatin,,,accepted,1,registry,132
PREDNISOLONE,Prednisolone,acetate,,accepted,1,registry,132
IMFINZI 50 mg,Durvalumab,,,accepted,1,registry,130
METHOTREXATE,Methotrexate,sodium,,accepted,1,registry,130
TACROLIMUS,Tacrolimus,,,accepted,1,registry,128
IPILIMUMAB,Ipilimumab,,,accepted,1,registry,127
ATEZOLIZUMAB,Atezolizumab,,,accepted,1,registry,125
LETROZOLE,Letrozole,,,accepted,1,registry,122
Placebo,Placebo,,placebo,accepted,1,registry,119
Gemcitabine,Gemcitabine,hydrochloride,,accepted,1,registry,116
Oxaliplatin,Oxaliplatin,,,accepted,1,registry,113
Fluorouracil,Fluorouracil,,,accepted,1,registry,110
ml Konzentrat zur Herstellung einer Infusionslösung,,,,rejected,,,109
CYTARABINE,Cytarabine,hydrochloride,,accepted,1,registry,108
not available,,,,rejected,,,107
INSULIN GLARGINE,Insulin glargine,,,accepted,1,registry,104
Everolimus,Everolimus,,,accepted,1,registry,102
CALCIUM FOLINATE,Leucovorin,,,accepted,1,registry,101
LIRAGLUTIDE,Liraglutide,,,accepted,1,registry,101
BUDESONIDE,Budesonide,,,accepted,1,registry,100
RIBAVIRIN,Ribavirin,,,accepted,1,registry,100
Cetuximab,Cetuximab,,,accepted,1,registry,98
ml concentrate for solution for infusion.,,,,rejected,,,97
Doxorubicin,Doxorubicin,hydrochloride,,accepted,1,registry,96
EMTRICITABINE,Emtricitabine,,,accepted,1,registry,94
Not applicable,,,,rejected,,,94
TOCILIZUMAB,Tocilizumab,,,accepted,1,registry,92
Nivolumab,Nivolumab,,,accepted,1,registry,91
ACETYLSALICYLIC ACID,Acetylsalicylic acid,,,accepted,1,registry,90
