raw_substance,n_trials,reason
mL concentrate for solution for infusion,453,only dose/form/unit language remains after stripping
A,374,shorter than 3 characters
-,347,shorter than 3 characters
mL concentrate for solution for infusion.,333,only dose/form/unit language remains after stripping
N,331,shorter than 3 characters
Not available,209,"placeholder text, not a substance"
ml concentrate for solution for infusion,184,only dose/form/unit language remains after stripping
ml,144,shorter than 3 characters
ml Konzentrat zur Herstellung einer Infusionslösung,109,only dose/form/unit language remains after stripping
not available,107,"placeholder text, not a substance"
ml concentrate for solution for infusion.,97,only dose/form/unit language remains after stripping
Not applicable,94,"placeholder text, not a substance"
ml solution for injection,82,only dose/form/unit language remains after stripping
mL solution for injection,81,only dose/form/unit language remains after stripping
infusion,77,only dose/form/unit language remains after stripping
Not yet assigned,61,"placeholder text, not a substance"
mL,56,shorter than 3 characters
"ml, solution à diluer pour perfusion",55,only dose/form/unit language remains after stripping
mL solution for infusion,54,only dose/form/unit language remains after stripping
a,50,shorter than 3 characters
ml Concentrate for Solution for Infusion,50,only dose/form/unit language remains after stripping
Not assigned,49,"placeholder text, not a substance"
ml powder for dispersion for infusion.,48,only dose/form/unit language remains after stripping
ml solution for infusion,48,only dose/form/unit language remains after stripping
n,48,shorter than 3 characters
not applicable,47,"placeholder text, not a substance"
Not yet available,44,"placeholder text, not a substance"
7,42,shorter than 3 characters
Not Applicable,42,"placeholder text, not a substance"
B,37,shorter than 3 characters
ml Injektionslösung,36,only dose/form/unit language remains after stripping
ml concentraat voor oplossing voor infusie,36,only dose/form/unit language remains after stripping
"ml, solution injectable",36,only dose/form/unit language remains after stripping
n.a.,35,only dose/form/unit language remains after stripping
"ml, solution pour perfusion",34,only dose/form/unit language remains after stripping
None,32,"placeholder text, not a substance"
not yet available,32,"placeholder text, not a substance"
pour perfusion,31,only dose/form/unit language remains after stripping
Infusionslösung,28,only dose/form/unit language remains after stripping
Not available yet,28,"placeholder text, not a substance"
Not Available,27,"placeholder text, not a substance"
"mL, solution injectable",27,only dose/form/unit language remains after stripping
not yet assigned,27,"placeholder text, not a substance"
2506,26,only dose/form/unit language remains after stripping
ml oplossing voor injectie,26,only dose/form/unit language remains after stripping
67,24,shorter than 3 characters
"mL, solution à diluer pour perfusion",24,only dose/form/unit language remains after stripping
ml Solution for Injection or Infusion,24,only dose/form/unit language remains after stripping
2004,23,only dose/form/unit language remains after stripping
6.14 mg film-coated tablets,22,only dose/form/unit language remains after stripping
Not established,22,"placeholder text, not a substance"
