_id,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status
2004-000007-18-SE,GSK,GSK,GSK,industry,accepted
2004-000012-13-CZ,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000015-25-GB,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000016-10-FI,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000020-32-BE,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000022-75-ES,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000023-15-AT,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000025-29-BE,Novartis,Novartis,Novartis,industry,accepted
2004-000028-34-DK,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000029-31-IE,InterMune,NA,NA,industry,accepted
2004-000033-11-DE,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000035-28-GB,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000039-27-AT,MedImmune,AstraZeneca,AstraZeneca,industry,accepted
2004-000046-21-CZ,Centocor,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2004-000047-18-SE,Biogen,Biogen,Biogen,industry,accepted
2004-000050-23-CZ,Organon,Organon,Organon,industry,accepted
2004-000053-34-CZ,Orion,NA,NA,industry,accepted
2004-000060-27-IT,GSK,GSK,GSK,industry,accepted
2004-000063-10-GB,Galderma Research and Development,NA,NA,industry,accepted
2004-000073-64-FI,"Merck Co., Inc./Suomen MSD Oy",NA,NA,industry,accepted
2004-000074-31-BE,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000081-13-GB,Roche,Roche,Roche,industry,accepted
2004-000083-27-AT,ALK-Abello,ALK-Abello,ALK-Abello,industry,accepted
2004-000086-35-FI,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000087-27-FI,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000088-92-ES,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000089-11-AT,Axonyx,NA,NA,industry,accepted
2004-000091-14-ES,GSK,GSK,GSK,industry,accepted
2004-000100-40-DK,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000106-41-SE,GSK,GSK,GSK,industry,accepted
2004-000107-18-GB,Alliance Pharmaceuticals,NA,NA,industry,accepted
2004-000108-42-GB,Alliance Pharmaceuticals,NA,NA,industry,accepted
2004-000113-18-ES,Novartis,Novartis,Novartis,industry,accepted
2004-000114-40-AT,Novartis,Novartis,Novartis,industry,accepted
2004-000119-24-ES,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000120-32-BE,Schering-Plough,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000134-37-CZ,Amgen,Amgen,Amgen,industry,accepted
2004-000137-11-CZ,Merck,Merck KGaA,Merck KGaA / EMD Serono,industry,accepted
