_id,raw_sponsor,is_commercial
2004-000007-18-SE,GlaxoSmithKline AB,TRUE
2004-000012-13-CZ,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",TRUE
2004-000015-25-LV,Wyeth Research Division of Wyeth Pharmaceuticals Inc. Clinical Research and Development,TRUE
2004-000016-10-SE,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development",TRUE
2004-000020-32-BE,Bristol Myers Squibb International Corporation,TRUE
2004-000022-75-LV,Bristol-Myers Squibb International Corporation,TRUE
2004-000023-15-SE,Eli Lilly and Company Limited,TRUE
2004-000025-29-BE,Novartis Pharma AG,TRUE
2004-000028-34-DK,Eli Lilly and Company Limited,TRUE
2004-000029-31-IE,InterMune,TRUE
2004-000033-11-DE,Bristol Myers Squibb International Corporation,TRUE
2004-000035-28-GB,Wyeth Consumer Healthcare,TRUE
2004-000039-27-CZ,"MedImmune, Inc.",TRUE
2004-000046-21-HU,Centocor BV,TRUE
2004-000047-18-SE,Biogen Idec Ltd.,TRUE
2004-000050-23-CZ,NV Organon,TRUE
2004-000053-34-CZ,"Orion Corporation, Orion Pharma, Orionintie,",TRUE
2004-000060-27-IT,GLAXO SMITHKLINE,TRUE
2004-000063-10-GB,Galderma RD,TRUE
2004-000073-64-FI,"Merck  Co., Inc./Suomen MSD Oy",TRUE
2004-000074-31-BE,Merck Sharp  Dohme BV,TRUE
2004-000081-13-GB,F Hoffmann-La Roche Ltd,TRUE
2004-000083-27-SE,ALK-Abell A/S,TRUE
2004-000086-35-SE,Novo Nordisk Scandinavia AB,TRUE
2004-000087-27-FI,Novo Nordisk Farma Oy,TRUE
2004-000088-92-FI,Novo Nordisk A/S,TRUE
2004-000089-11-AT,Axonyx Inc,TRUE
2004-000091-14-IT,GLAXO SMITHKLINE,TRUE
2004-000100-40-ES,Novo Nordisk A/S,TRUE
2004-000106-41-SE,GlaxoSmithKline Research  Development Ltd,TRUE
2004-000107-18-GB,Alliance Pharmaceuticals,TRUE
2004-000108-42-GB,Alliance Pharmaceuticals,TRUE
2004-000113-18-ES,"Novartis Farmacutica, S.A.",TRUE
2004-000114-40-AT,Novartis Pharma AG,TRUE
2004-000119-24-ES,Bristol-Myers Squibb International Corporation,TRUE
2004-000120-32-BE,Schering-Plough Research Institute,TRUE
2004-000134-37-IT,Amgen Inc,TRUE
2004-000137-11-IT,MERCK S.P.A.,TRUE
2004-000138-35-NO,Amgen Inc,TRUE
2004-000139-27-SE,Pfizer AB,TRUE
2004-000140-25-GB,Procter  Gamble Pharmaceuticals,TRUE
2004-000142-20-AT,Procter  Gamble Pharmaceuticals,TRUE
2004-000145-38-HU,Centocor B.V.,TRUE
2004-000148-26-HU,Schwarz BioSciences Inc.,TRUE
2004-000149-39-IT,Genzyme Corporation,TRUE
2004-000152-16-CZ,SCHWARZ BIOSCIENCES GmbH A member of the UCB group,TRUE
2004-000156-16-ES,Pfizer SA,TRUE
2004-000160-28-GB,Department of Health,FALSE
2004-000166-13-DE,GBG Forschungs GmbH,TRUE
2004-000167-95-DE,Eli Lilly and Company Limited,TRUE
2004-000168-28-BE,International Breast Cancer Study Group IBCSG,FALSE
2004-000172-13-BE,Amgen Inc.,TRUE
2004-000173-65-ES,Amgen Inc,TRUE
2004-000174-31-ES,Amgen Inc,TRUE
2004-000185-12-IT,NOVARTIS FARMA,TRUE
2004-000186-35-HU,Novartis Pharma GmbH,TRUE
2004-000193-31-GB,University College London,FALSE
2004-000195-13-GB,Novartis Vaccines and Diagnostics,TRUE
2004-000199-14-BE,UCB S.A.  Pharma Sector / UCB Pharma Inc.,TRUE
2004-000200-40-BE,UCB S.A. Pharma Sector / UCB Pharma Inc.,TRUE
2004-000202-49-IT,BRISTOL-M.SQUIBB,TRUE
2004-000211-26-SE,AstraZeneca AB,TRUE
2004-000213-19-LT,Lundbeck SA,TRUE
2004-000219-24-BE,Wyeth Pharmaceuticals,TRUE
2004-000231-29-ES,Roche Products Ltd,TRUE
2004-000232-91-ES,Fresenius Biotech GmbH,TRUE
2004-000235-28-GB,Sepracor Inc.,TRUE
2004-000238-36-PT,The University of Edinburgh  Lothian Health Board,FALSE
2004-000240-25-SK,Novartis s.r.o.,TRUE
2004-000242-20-BE,University Hospital Ghent,FALSE
2004-000243-23-DK,Genmab A/S,TRUE
2004-000244-24-IT,PFIZER,TRUE
2004-000245-38-FR,ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS AP-HP,FALSE
2004-000248-25-ES,Novartis Pharma AG,TRUE
2004-000254-23-DK,Alizyme Therapeutics Limited,TRUE
2004-000280-99-CZ,"Ark Therapeutics, Ltd.",TRUE
2004-000282-35-IT,ROCHE,TRUE
2004-000283-27-GB,Vertex Pharmaceuticals Incorporated,TRUE
2004-000288-89-ES,ALTANA Pharma AG,TRUE
2004-000290-58-ES,SCHWARZ BIOSCIENCES GmbH,TRUE
2004-000299-15-SE,Algeta AS,TRUE
2004-000304-41-SE,Astellas Pharma GmbH,TRUE
2004-000305-21-LT,Solvay Pharmaceuticals,TRUE
2004-000306-46-IT,FUJISAWA,TRUE
2004-000311-26-IT,MERCK SHARP DOHME,TRUE
2004-000312-93-BE,Merck Sharp  Dohme BV,TRUE
2004-000313-19-HU,"Merck  Co., Inc.",TRUE
2004-000315-26-HU,F. Hoffmann-La Roche Ltd.,TRUE
2004-000320-32-AT,H. Lundbeck A/S,TRUE
2004-000326-70-CZ,"Janssen-Cilag, Johnson  Johnson spol. s.r.o.",TRUE
2004-000327-15-BE,Helsinn Healthcare SA,TRUE
2004-000329-31-IT,E.O.R.T.C. - EUROPEAN ORGANIZATION FOR RESEARCH AND TREATMENT OF CANCER,FALSE
2004-000330-36-ES,"Telik, Inc.",TRUE
2004-000333-10-GB,"Research  Innovation Services, University of Dundee",FALSE
2004-000335-28-IT,SERONO INTERNATIONAL SA,TRUE
2004-000336-81-IT,GLAXO SMITHKLINE,TRUE
2004-000337-12-HU,Serono International SA,TRUE
2004-000344-24-SE,AstraZeneca AB,TRUE
2004-000345-38-SE,Basilea Pharmaceutica Ltd,TRUE
