_id,substance_label
2004-000007-18-SE,Fluticasone / Salmeterol
2004-000015-25-LV,Letrozole
2004-000016-10-SE,Donepezil hydrochloride
2004-000020-32-BE,Hydrochlorothiazide / Irbesartan
2004-000022-75-LV,Irbesartan / Ramipril
2004-000023-15-SE,Clopidogrel
2004-000025-29-BE,Indacaterol
2004-000028-34-DK,Cisplatin / Gemcitabine / Pemetrexed
2004-000033-11-DE,Hydrochlorothiazide / Irbesartan
2004-000035-28-GB,Diclofenac sodium
2004-000039-27-CZ,Palivizumab
2004-000047-18-SE,Natalizumab
2004-000050-23-CZ,Org-34517
2004-000053-34-CZ,Indinavir
2004-000060-27-IT,Lopinavir
2004-000063-10-GB,Methyl aminolevulinate hydrochloride
2004-000081-13-GB,Epoetin beta
2004-000086-35-SE,Insulin aspart / Insulin detemir / Insulin glargine
2004-000087-27-FI,Insulin aspart / Insulin detemir / Insulin glargine
2004-000088-92-FI,Eptacog alfa (activated)
2004-000089-11-AT,Pheneridine
2004-000100-40-ES,Eptacog alfa (activated)
2004-000107-18-GB,Dinoprostone / Misoprostol
2004-000108-42-GB,Dinoprostone / Misoprostol
2004-000113-18-ES,Licarbazepine
2004-000114-40-AT,Licarbazepine / Lithium
2004-000119-24-ES,Bms-275183
2004-000120-32-BE,Eptifibatide
2004-000134-37-IT,Darbepoetin alfa
2004-000137-11-IT,Cetuximab
2004-000138-35-NO,Denosumab
2004-000139-27-SE,Torcetrapib
2004-000140-25-GB,Pexelizumab
2004-000142-20-AT,Pexelizumab
2004-000148-26-HU,Rotigotine
2004-000149-39-IT,Alemtuzumab / Fludarabine
2004-000152-16-CZ,Lacosamide
2004-000156-16-ES,Atorvastatin / Torcetrapib
2004-000160-28-GB,Acetaminophen / Cliprofen
2004-000166-13-DE,Exemestane / Goserelin / Tamoxifen / Triptorelin
2004-000167-95-DE,Duloxetine
2004-000168-28-BE,Exemestane / Goserelin / Tamoxifen / Triptorelin
2004-000173-65-ES,Romiplostim
2004-000174-31-ES,Romiplostim
2004-000185-12-IT,Carbidopa / Entacapone / Levodopa
2004-000186-35-HU,Lisinopril / Valsartan
2004-000193-31-GB,Abiraterone / Apalutamide / Celecoxib / Docetaxel / Enzalutamide / Estradiol / Goserelin / Leuprorelin / Metformin / Triptorelin / Zoledronic acid
2004-000199-14-BE,Levetiracetam
2004-000200-40-BE,Levetiracetam
2004-000202-49-IT,Aripiprazole
2004-000211-26-SE,Budesonide / Formoterol
2004-000213-19-LT,Risperidone / Sertindole
2004-000231-29-ES,Valganciclovir
2004-000238-36-PT,Alteplase
2004-000240-25-SK,Aliskiren / Hydrochlorothiazide
2004-000242-20-BE,Cisplatin / Doxorubicin / Etoposide / Ifosfamide / Methotrexate / Peginterferon alfa-2b
2004-000243-23-DK,Zanolimumab
2004-000245-38-FR,Hydroxyurea
2004-000248-25-ES,Risedronic acid / Zoledronic acid
