_id,raw_substance
2004-000007-18-SE,salmeterol
2004-000007-18-SE,fluticasone propionate
2004-000007-18-SE,Salmeterol
2004-000012-13-CZ,Not yet established
2004-000015-25-GB,Pending
2004-000015-25-GB,Letrozole
2004-000016-10-FI,N
2004-000016-10-FI,A
2004-000016-10-FI,Donepezil Hydrochloride
2004-000020-32-BE,Irbesartan
2004-000020-32-BE,Hydrochlorothiazide
2004-000022-75-ES,Irbesartan
2004-000022-75-ES,Ramipril
2004-000023-15-AT,Clopidogrel
2004-000025-29-BE,"Indacaterol 0,05"
2004-000025-29-BE,"Indacaterol 0,4"
2004-000025-29-BE,"Indacaterol 0,1"
2004-000025-29-BE,"Indacaterol 0,2"
2004-000028-34-DK,pemetrexed
2004-000028-34-DK,gemcitabine hydrochloride
2004-000028-34-DK,Cisplatin
2004-000029-31-IE,Interferon gamma-1b
2004-000033-11-DE,Irbesartan
2004-000033-11-DE,Hydrochlorothiazide
2004-000035-28-GB,Diclofenac Sodium
2004-000039-27-AT,Palivizumab
2004-000046-21-CZ,Golimumab
2004-000047-18-SE,natalizumab
2004-000050-23-CZ,Org 34517
2004-000053-34-CZ,Indivina
2004-000060-27-IT,Lopinavir
2004-000063-10-GB,Methyl aminolevulinate hydrochloride
2004-000074-31-BE,not available
2004-000081-13-GB,Epoetin beta
2004-000083-27-AT,ALK Grass Tablet Phleum Pratense
2004-000086-35-FI,Insulin detemir
2004-000086-35-FI,Insulin glargine
2004-000086-35-FI,Insulin aspart
2004-000087-27-FI,Insulin detemir
2004-000087-27-FI,Insulin glargine
2004-000087-27-FI,Insulin aspart
2004-000088-92-ES,Eptacog alfa activated
2004-000089-11-AT,Phenserine Tartrate
2004-000091-14-ES,GW685698X
2004-000100-40-DK,NovoSeven
2004-000106-41-SE,GW406381
2004-000107-18-GB,misoprostol
2004-000107-18-GB,dinoprostone
2004-000108-42-GB,misoprostol
2004-000108-42-GB,dinoprostone
2004-000113-18-ES,Licarbazepina
2004-000114-40-AT,Licarbazepine
2004-000114-40-AT,lithium
2004-000119-24-ES,BMS-275183
2004-000119-24-ES,BMS 275183
2004-000120-32-BE,Integrilin 0.75 mg
2004-000120-32-BE,ml solution for infusion
2004-000120-32-BE,INTEGRILIN BOLUS
2004-000134-37-CZ,darbepoetin alfa
2004-000137-11-CZ,Cetuximab
2004-000138-35-AT,AMG 162 solution for injection
2004-000139-27-SE,Torcetrapib
2004-000139-27-SE,Lipitor
2004-000140-25-GB,pexelizumab
2004-000142-20-AT,pexelizumab
2004-000145-38-CZ,Human monoclonal antibody CNTO 1275 to interleukin-12p40
2004-000148-26-AT,Rotigotine
2004-000149-39-IT,Alemtuzumab
2004-000149-39-IT,Fludarabine
2004-000152-16-CZ,Lacosamide
2004-000156-16-ES,Torcetrapib
2004-000156-16-ES,Atorvastatina
2004-000160-28-GB,Calpol Sugar-Free Infant Suspension
2004-000160-28-GB,Calprofen
2004-000166-13-DE,Tamoxifen citrate
2004-000166-13-DE,Exemestane
2004-000166-13-DE,Triptorelin acetate
2004-000166-13-DE,Goserelin acetate
2004-000167-95-DE,Duloxetine
2004-000168-28-BE,Tamoxifen citrate
2004-000168-28-BE,Exemestane
2004-000168-28-BE,Triptorelin acetate
2004-000168-28-BE,Goserelin acetate
2004-000173-65-ES,AMG 531
2004-000174-31-ES,AMG 531
2004-000185-12-AT,Levodopa
2004-000185-12-AT,Carbidopa
2004-000185-12-AT,Entacapone
2004-000186-35-HU,Valsartan
2004-000186-35-HU,Lisinopril
2004-000193-31-GB,Zoledronic Acid
2004-000193-31-GB,Docetaxel
2004-000193-31-GB,Celecoxib
2004-000193-31-GB,Abiraterone Acetate
2004-000193-31-GB,Enzalutamide
2004-000193-31-GB,Metformin Hydrochloride
2004-000193-31-GB,Oestradiol Hemihydrate
2004-000193-31-GB,estradiol hemihydrate
2004-000193-31-GB,docetaxel
2004-000193-31-GB,Goserelin Acetate
2004-000193-31-GB,Triptorelin
2004-000193-31-GB,Leuprorelin
2004-000193-31-GB,Degarelix Acetate
2004-000193-31-GB,apalutamide
2004-000195-13-GB,Novartis Meningococcal ACWY Conjugate Vaccine
2004-000195-13-GB,Menomune
2004-000195-13-GB,Menjugate
2004-000199-14-BE,Levetiracetam
2004-000200-40-BE,Levetiracetam
2004-000202-49-EE,Valproate semisodium
2004-000202-49-EE,Lithium carbonate
2004-000202-49-EE,Aripiprazole
2004-000211-26-SE,Formoterol
2004-000211-26-SE,Budesonide
2004-000211-26-SE,formoterol
2004-000213-19-LT,Sertindole
2004-000213-19-LT,Risperidone
2004-000231-29-ES,Valganciclovir
2004-000232-91-ES,ATeGe-Fresenius
2004-000235-28-GB,N
2004-000235-28-GB,A
2004-000240-25-FI,Aliskiren
2004-000240-25-FI,Hydrochlorothiazide
2004-000242-20-BE,Peginterferon alfa-2b
2004-000242-20-BE,Methotrexate
2004-000242-20-BE,Doxorubicin
2004-000242-20-BE,Cisplatin
2004-000242-20-BE,Ifosfamide
2004-000242-20-BE,Etoposide
2004-000243-23-DK,zanolimumab
2004-000245-38-FR,Acide actylsalicylique
2004-000245-38-FR,Hydroxycarbamide
2004-000248-25-CZ,zoledronic acid
2004-000248-25-CZ,risedronate
2004-000254-23-DK,Orlistat
2004-000280-99-CZ,Imidapril
2004-000282-35-CZ,Bevacizumab
2004-000282-35-CZ,Interferon-alfa-2a
2004-000283-27-GB,None
2004-000288-89-ES,Roflumilast
2004-000290-58-ES,SPM 927
2004-000299-15-GB,Alpharadin
2004-000304-41-AT,Tacrolimus
2004-000305-21-DK,Amlodipine
2004-000306-46-ES,Tacrolimus
2004-000311-26-AT,MK-0431
2004-000311-26-AT,ACTOS pioglitazone HCl
2004-000312-93-BE,MK-0431
2004-000312-93-BE,Glipizide
2004-000312-93-BE,Pioglitazone 15 mg
2004-000312-93-BE,metformin
2004-000313-19-GB,MK-0431
2004-000315-26-ES,Bevacizumab
2004-000320-32-AT,Escitalopram
2004-000320-32-AT,Citalopram
2004-000326-70-CZ,paliperidone
2004-000327-15-BE,Becatecarin
2004-000327-15-BE,Fluorouracil
2004-000327-15-BE,Calcium Leucovorin
2004-000329-31-IT,Cisplatin
2004-000330-36-ES,canfosfamide HCl
2004-000330-36-ES,GEFITINIB
2004-000333-10-GB,lidocaine 0.5
2004-000333-10-GB,lidocaine 2
2004-000333-10-GB,levobupivacaine 0.25
2004-000333-10-GB,levobupivacaine 0.75
2004-000333-10-GB,ropivacaine 0.2
2004-000333-10-GB,ropivacaine 0.75
2004-000335-28-AT,Follitropin alfa
2004-000336-81-IT,fosamprenavir
2004-000337-12-HU,Interferon beta-1a
2004-000345-38-CZ,Alitretinoin
2004-000346-21-ES,Tedisamil
2004-000347-14-BE,Tesaglitazar
2004-000347-14-BE,Glibenclamide
2004-000348-25-IT,TESAGLITAZAR
2004-000349-40-IT,Exenatide
2004-000349-40-IT,Insulin glargine
2004-000350-24-GB,Tesaglitazar
2004-000350-24-GB,Metformin
2004-000352-16-CZ,clopidogrel hydrogen sulphate
